L,V,W,mu,sample_count,chi_typ_r,chi_typ_r_sem,chi_av_r,chi_av_r_sem,tilde_chi_typ_r,tilde_chi_typ_r_sem,tilde_chi_av_r,tilde_chi_av_r_sem,av_typ_ratio,av_typ_ratio_sem
7,343,16.5,0.02,4,10.400948805935395,0.9207035357732448,19.197846995133787,1.7102969250241884,0.20801897611870787,0.018414070715464893,0.38395693990267576,0.03420593850048377,1.8484954578266937,0.07136537218247162
7,343,16.5,0.05,4,4.983038143755097,0.19910403200165214,7.383095516901964,0.20872618482676614,0.24915190718775487,0.00995520160008261,0.36915477584509826,0.010436309241338308,1.485372678434709,0.04382898026936377
7,343,16.5,0.1,4,2.5259856297218413,0.06295534123236156,3.2351259425616674,0.1312951595401549,0.25259856297218414,0.006295534123236152,0.32351259425616674,0.01312951595401548,1.2800433091028456,0.03303709752953318
7,343,16.5,0.2,4,1.2588417817682478,0.042444735432324486,1.4602275544651546,0.0632949367721624,0.2517683563536496,0.008488947086464894,0.29204551089303094,0.01265898735443248,1.1588633760554787,0.012175099850435193
7,343,16.5,0.5,4,0.5141346710277367,0.017781683147888864,0.557071731181463,0.022261079864520285,0.25706733551386834,0.008890841573944432,0.2785358655907315,0.011130539932260142,1.0829341988937953,0.007194230388930369
7,343,20.0,0.02,4,7.2733099374830275,1.8424219729303792,16.892330002362534,3.7599341656313934,0.14546619874966055,0.036848439458607586,0.3378466000472507,0.07519868331262787,2.3651764671950333,0.2353254203200152
7,343,20.0,0.05,4,3.350118621828619,0.6533278623690179,5.229927245154716,0.9517880913036258,0.16750593109143097,0.03266639311845089,0.2614963622577358,0.0475894045651813,1.5663894374758733,0.06839123885486444
7,343,20.0,0.1,4,1.7867296702350226,0.26029443032093286,2.3804482765638504,0.3340769573673908,0.17867296702350227,0.026029443032093293,0.23804482765638507,0.03340769573673908,1.3347168483954783,0.038621045567637
7,343,20.0,0.2,4,0.9698793594093673,0.11177991024681075,1.1877320175698842,0.13606815253050444,0.19397587188187346,0.02235598204936215,0.23754640351397682,0.027213630506100886,1.2253896511138678,0.03076748687946025
7,343,20.0,0.5,4,0.4229310115722183,0.03299394400002616,0.47978683712364056,0.03890762548033066,0.21146550578610915,0.01649697200001308,0.23989341856182028,0.01945381274016533,1.1342239264069283,0.02567037946566552
7,343,25.0,0.02,4,3.841491668199416,0.577371663975751,11.115808116157671,1.5739604067878916,0.07682983336398831,0.01154743327951502,0.22231616232315343,0.03147920813575784,3.0079097619893993,0.5108552809565241
7,343,25.0,0.05,4,2.235124576261671,0.3137004913296867,4.519330579902497,0.6287400474503092,0.11175622881308356,0.015685024566484337,0.22596652899512487,0.03143700237251547,2.0360861634607206,0.09950999176482372
7,343,25.0,0.1,4,1.3537184052629803,0.1772055002024118,2.158204827877124,0.28673637438008365,0.13537184052629803,0.01772055002024118,0.21582048278771243,0.028673637438008374,1.5927717604608482,0.02169714602797652
7,343,25.0,0.2,4,0.7877913145920301,0.08889127842413243,1.101553046769282,0.11962700780557013,0.15755826291840602,0.017778255684826483,0.22031060935385638,0.023925401561114022,1.400120103037398,0.04868368974203436
7,343,25.0,0.5,4,0.3822569746717337,0.035661503841383876,0.46841642774079306,0.03882200725293312,0.19112848733586685,0.017830751920691938,0.23420821387039653,0.01941100362646656,1.2293620330828903,0.037575323471016546
7,343,30.0,0.02,4,2.324824482010165,0.5129948970787543,8.835652672524459,1.4999235684503887,0.04649648964020331,0.010259897941575087,0.1767130534504892,0.029998471369007768,4.026242003858748,0.6985724247956111
7,343,30.0,0.05,4,1.458471480422042,0.24805313074681254,3.368894885234023,0.2856972659732,0.0729235740211021,0.012402656537340627,0.16844474426170114,0.014284863298660001,2.4278627288514225,0.30492061727165165
7,343,30.0,0.1,4,0.9719058860641595,0.12724434612868293,1.719234800723699,0.09122771370314131,0.09719058860641594,0.012724434612868292,0.1719234800723699,0.009122771370314132,1.8232221394958137,0.15172200264906402
7,343,30.0,0.2,4,0.6295824836872378,0.06385314409475948,0.9175199364870031,0.06954711327451069,0.12591649673744756,0.012770628818951897,0.18350398729740067,0.013909422654902139,1.4732227830216322,0.0780589327160185
7,343,30.0,0.5,4,0.3203855812812847,0.02335474403383432,0.39758206168405213,0.025972558648644558,0.16019279064064235,0.01167737201691716,0.19879103084202607,0.012986279324322279,1.2431583215650799,0.014003537708548511
7,343,40.0,0.02,4,0.7466319974578808,0.05944304735168871,2.7096519940412924,0.6292115573422882,0.014932639949157616,0.0011888609470337747,0.05419303988082585,0.012584231146845763,3.5630947519255853,0.5903947501170453
7,343,40.0,0.05,4,0.6116781676978578,0.036436199404842044,1.694649951775291,0.18707921117398668,0.03058390838489289,0.0018218099702421026,0.08473249758876455,0.009353960558699335,2.7716183287675924,0.2547062643056813
7,343,40.0,0.1,4,0.5072121338273977,0.027526193301908974,1.1572516943545375,0.031536458057348005,0.050721213382739765,0.002752619330190898,0.11572516943545375,0.003153645805734802,2.2919536360110984,0.06408760842055387
7,343,40.0,0.2,4,0.3899046410984411,0.025064910996737067,0.7517974113481588,0.04926773296601432,0.07798092821968822,0.005012982199347414,0.15035948226963178,0.009853546593202868,1.9352821385595012,0.09961205823215957
7,343,40.0,0.5,4,0.2337097105184026,0.015793712222900325,0.34580132900581906,0.021422082038590962,0.1168548552592013,0.007896856111450162,0.17290066450290953,0.010711041019295481,1.4845257736639341,0.05901359091819661
