displacement_um,field_v_m,excess_energy_mk,density_cm3,density_over_peak,classical_rate_s,classical_survival,parameter_status
-20.6,-5.205913919958661,261.09454441375067,1271099561.1610708,0.007944372257256693,3.1901180546457917e-06,0.9999993619765926,printed_shape_reconstructed_peak_density
-20.4,-5.155371066366829,256.049358099789,1370852199.3504705,0.00856782624594044,3.7642264370367167e-06,0.999999247154996,printed_shape_reconstructed_peak_density
-20.2,-5.104828212774998,251.05339311571979,1477553934.4252276,0.009234712090157672,4.4369795441653725e-06,0.9999991126044849,printed_shape_reconstructed_peak_density
-20.0,-5.054285359183166,246.10664946154276,1591613804.9694157,0.009947586281058848,5.224478328436101e-06,0.9999989551048802,printed_shape_reconstructed_peak_density
-19.8,-5.003742505591334,241.209127137258,1713458921.9822845,0.010709118262389279,6.145304506268066e-06,0.999998770939854,printed_shape_reconstructed_peak_density
-19.6,-4.953199651999503,236.36082614286568,1843534809.1033885,0.011522092556896178,7.220878468932163e-06,0.999998555825349,printed_shape_reconstructed_peak_density
-19.4,-4.90265679840767,231.56174647836548,1982305712.1711066,0.012389410701069416,8.475865038944509e-06,0.999998304828429,printed_shape_reconstructed_peak_density
-19.2,-4.852113944815838,226.81188814375767,2130254874.621772,0.013314092966386075,9.938632915397906e-06,0.9999980122753924,printed_shape_reconstructed_peak_density
-19.0,-4.801571091224007,222.11125113904225,2287884775.1178703,0.014299279844486689,1.1641774291336159e-05,0.9999976716478524,printed_shape_reconstructed_peak_density
-18.8,-4.751028237632175,217.4598354642191,2455717323.6837444,0.015348233273023404,1.362269182728024e-05,0.9999972754653461,printed_shape_reconstructed_peak_density
-18.6,-4.700485384040344,212.85764111928825,2634294012.527771,0.016464337578298568,1.5924260932347085e-05,0.9999968151528852,printed_shape_reconstructed_peak_density
-18.4,-4.649942530448512,208.3046681042497,2824176017.6411567,0.01765110011025723,1.8595576143468946e-05,0.9999962808916872,printed_shape_reconstructed_peak_density
-18.2,-4.599399676856681,203.80091641910354,3025944247.1882377,0.018912151544926484,2.169279130987429e-05,0.9999956614511496,printed_shape_reconstructed_peak_density
-18.0,-4.54885682326485,199.34638606384965,3240199332.6413527,0.020251245829008453,2.5280064290513467e-05,0.9999949439999235,printed_shape_reconstructed_peak_density
-17.8,-4.498313969673018,194.94107703848803,3467561558.567192,0.02167225974104495,2.943061796331894e-05,0.9999941138937305,printed_shape_reconstructed_peak_density
-17.6,-4.447771116081187,190.58498934301878,3708670726.9425073,0.02317919204339067,3.422793053447091e-05,0.9999931544373241,printed_shape_reconstructed_peak_density
-17.4,-4.397228262489354,186.27812297744165,3964185951.8656235,0.024776162199160148,3.9767069431211784e-05,0.9999920466177421,printed_shape_reconstructed_peak_density
-17.2,-4.346685408897522,182.02047794175695,4234785380.539003,0.026467408628368768,4.61561844720038e-05,0.9999907688057134,printed_shape_reconstructed_peak_density
-17.0,-4.296142555305691,177.8120542359646,4521165836.427289,0.028257286477670555,5.351817754254139e-05,0.9999892964217751,printed_shape_reconstructed_peak_density
-16.799999999999997,-4.245599701713858,173.65285186006443,4824042380.5466385,0.030150264878416492,6.199256767587905e-05,0.9999876015633261,printed_shape_reconstructed_peak_density
