case,epsilon,frequency,amplitude
noninteracting,0.140000,0.307142857143,0.006438175164
noninteracting,0.140000,0.314285714286,0.006803389029
noninteracting,0.140000,0.321428571429,0.007215951841
noninteracting,0.140000,0.328571428571,0.007684746583
noninteracting,0.140000,0.335714285714,0.008220922068
noninteracting,0.140000,0.342857142857,0.008838639346
noninteracting,0.140000,0.350000000000,0.009556127924
noninteracting,0.140000,0.357142857143,0.010397211197
noninteracting,0.140000,0.364285714286,0.011393561014
noninteracting,0.140000,0.371428571429,0.012588119016
noninteracting,0.140000,0.378571428571,0.014040449128
noninteracting,0.140000,0.385714285714,0.015835414144
noninteracting,0.140000,0.392857142857,0.018097844710
noninteracting,0.140000,0.400000000000,0.021018624924
noninteracting,0.140000,0.407142857143,0.024904046245
noninteracting,0.140000,0.414285714286,0.030276755250
noninteracting,0.140000,0.421428571429,0.038104245537
noninteracting,0.140000,0.428571428571,0.050392451542
noninteracting,0.140000,0.435714285714,0.072070422958
noninteracting,0.140000,0.442857142857,0.119298690265
noninteracting,0.140000,0.450000000000,0.293282746889
noninteracting,0.140000,0.457142857143,1.000000000000
noninteracting,0.140000,0.464285714286,0.208033249288
noninteracting,0.140000,0.471428571429,0.125389412596
noninteracting,0.140000,0.478571428571,0.095477971663
noninteracting,0.140000,0.485714285714,0.081452830395
noninteracting,0.140000,0.492857142857,0.074812497989
noninteracting,0.140000,0.500000000000,0.072826451553
interacting,0.000000,0.207142857143,0.000000000000
interacting,0.000000,0.214285714286,0.000000000000
interacting,0.000000,0.221428571429,0.000000000000
interacting,0.000000,0.228571428571,0.000000000000
interacting,0.000000,0.235714285714,0.000000000000
interacting,0.000000,0.242857142857,0.000000000000
interacting,0.000000,0.250000000000,0.000000000000
interacting,0.000000,0.257142857143,0.000000000000
interacting,0.000000,0.264285714286,0.000000000000
interacting,0.000000,0.271428571429,0.000000000000
interacting,0.000000,0.278571428571,0.000000000000
interacting,0.000000,0.285714285714,0.000000000000
interacting,0.000000,0.292857142857,0.000000000000
interacting,0.000000,0.300000000000,0.000000000000
interacting,0.000000,0.307142857143,0.000000000000
interacting,0.000000,0.314285714286,0.000000000000
interacting,0.000000,0.321428571429,0.000000000000
interacting,0.000000,0.328571428571,0.000000000000
interacting,0.000000,0.335714285714,0.000000000000
interacting,0.000000,0.342857142857,0.000000000000
interacting,0.000000,0.350000000000,0.000000000000
interacting,0.000000,0.357142857143,0.000000000000
interacting,0.000000,0.364285714286,0.000000000000
interacting,0.000000,0.371428571429,0.000000000000
interacting,0.000000,0.378571428571,0.000000000000
interacting,0.000000,0.385714285714,0.000000000000
interacting,0.000000,0.392857142857,0.000000000000
interacting,0.000000,0.400000000000,0.000000000000
interacting,0.000000,0.407142857143,0.000000000000
interacting,0.000000,0.414285714286,0.000000000000
interacting,0.000000,0.421428571429,0.000000000000
interacting,0.000000,0.428571428571,0.000000000000
interacting,0.000000,0.435714285714,0.000000000000
interacting,0.000000,0.442857142857,0.000000000000
interacting,0.000000,0.450000000000,0.000000000000
interacting,0.000000,0.457142857143,0.000000000000
interacting,0.000000,0.464285714286,0.000000000000
interacting,0.000000,0.471428571429,0.000000000000
interacting,0.000000,0.478571428571,0.000000000000
interacting,0.000000,0.485714285714,0.000000000000
interacting,0.000000,0.492857142857,0.000000000000
interacting,0.000000,0.500000000000,1.000000000000
interacting,0.030000,0.207142857143,0.002184650307
