paper_point_index,job_index,job_id,paper_id,target_id,target_label,profile,panel,L,J_z,epsilon,epsilon_c,beta,nu,sample_start,sample_count,seed,endpoint_mutual_information,scaling_x,scaling_y,chunk_job_count,source_job_indices,compute_backend
31,96,T003-medium-fig3c-L12-eps0.0945,1608.02589,T003,Fig. 3b-d endpoint mutual information scaling collapse,medium,Fig. 3c,12,0.1,0.0945,0.081,0.44,1.24,0,300,1302145,0.2575256062062754,0.10014775656177702,0.7685288344039719,3,96;97;98,cupy
32,99,T003-medium-fig3c-L12-eps0.1619,1608.02589,T003,Fig. 3b-d endpoint mutual information scaling collapse,medium,Fig. 3c,12,0.1,0.1619,0.081,0.44,1.24,0,300,1302819,0.04378001444937588,0.6001447041368712,0.1306518756353014,3,99;100;101,cupy
33,102,T003-medium-fig3c-L12-eps0.2310,1608.02589,T003,Fig. 3b-d endpoint mutual information scaling collapse,medium,Fig. 3c,12,0.1,0.231,0.081,0.44,1.24,0,300,1303510,0.009024159554962224,1.1127528506864117,0.02693063003100149,3,102;103;104,cupy
34,105,T003-medium-fig3c-L12-eps0.3506,1608.02589,T003,Fig. 3b-d endpoint mutual information scaling collapse,medium,Fig. 3c,12,0.1,0.3506,0.081,0.44,1.24,0,300,1304706,0.0016656795027100565,1.999987790300377,0.004970856085211899,3,105;106;107,cupy
35,108,T003-medium-fig3c-L12-eps0.4500,1608.02589,T003,Fig. 3b-d endpoint mutual information scaling collapse,medium,Fig. 3c,12,0.1,0.45,0.081,0.44,1.24,0,300,1305700,0.0006897467799271642,2.7373720126885726,0.0020583983729630345,3,108;109;110,cupy
36,111,T003-medium-fig3d-L8-eps0.0000,1608.02589,T003,Fig. 3b-d endpoint mutual information scaling collapse,medium,Fig. 3d,8,0.15,0.0,0.13,0.47,1.35,0,1000,1800800,0.6931471805598761,-0.6065951005795807,1.8419496517818013,2,111;112,cupy
37,113,T003-medium-fig3d-L8-eps0.0764,1608.02589,T003,Fig. 3b-d endpoint mutual information scaling collapse,medium,Fig. 3d,8,0.15,0.0764,0.13,0.47,1.35,0,1000,1801564,0.5288491227242885,-0.25010382608511944,1.4053486543222944,2,113;114,cupy
38,115,T003-medium-fig3d-L8-eps0.1514,1608.02589,T003,Fig. 3b-d endpoint mutual information scaling collapse,medium,Fig. 3d,8,0.15,0.1514,0.13,0.47,1.35,0,1000,1802314,0.2442927439060969,0.09985488578771559,0.6491766066294858,2,115;116,cupy
39,117,T003-medium-fig3d-L8-eps0.2586,1608.02589,T003,Fig. 3b-d endpoint mutual information scaling collapse,medium,Fig. 3d,8,0.15,0.2586,0.13,0.47,1.35,0,1000,1803386,0.06780307783840228,0.6000625379579543,0.18017797535193333,2,117;118,cupy
40,119,T003-medium-fig3d-L8-eps0.3443,1608.02589,T003,Fig. 3b-d endpoint mutual information scaling collapse,medium,Fig. 3d,8,0.15,0.3443,0.13,0.47,1.35,0,1000,1804243,0.029197049447312134,0.999948692724647,0.07758741082823604,2,119;120,cupy
