case,L,samples,epsilon,frequency,amplitude
interacting,14,16,0.060000000000,0.314285714286,0.006022653855
interacting,14,16,0.060000000000,0.321428571429,0.006240058326
interacting,14,16,0.060000000000,0.328571428571,0.006477602251
interacting,14,16,0.060000000000,0.335714285714,0.006738258451
interacting,14,16,0.060000000000,0.342857142857,0.007025538036
interacting,14,16,0.060000000000,0.350000000000,0.007344068917
interacting,14,16,0.060000000000,0.357142857143,0.007700040105
interacting,14,16,0.060000000000,0.364285714286,0.008104413482
interacting,14,16,0.060000000000,0.371428571429,0.008570687712
interacting,14,16,0.060000000000,0.378571428571,0.009094326448
interacting,14,16,0.060000000000,0.385714285714,0.009802085462
interacting,14,16,0.060000000000,0.392857142857,0.010494330503
interacting,14,16,0.060000000000,0.400000000000,0.011109769833
interacting,14,16,0.060000000000,0.407142857143,0.011507551606
interacting,14,16,0.060000000000,0.414285714286,0.012634149079
interacting,14,16,0.060000000000,0.421428571429,0.013458441698
interacting,14,16,0.060000000000,0.428571428571,0.014788271743
interacting,14,16,0.060000000000,0.435714285714,0.016196127935
interacting,14,16,0.060000000000,0.442857142857,0.018422939473
interacting,14,16,0.060000000000,0.450000000000,0.021045509873
interacting,14,16,0.060000000000,0.457142857143,0.026160404923
interacting,14,16,0.060000000000,0.464285714286,0.030307715115
interacting,14,16,0.060000000000,0.471428571429,0.032840688819
interacting,14,16,0.060000000000,0.478571428571,0.047403255821
interacting,14,16,0.060000000000,0.485714285714,0.047021011257
interacting,14,16,0.060000000000,0.492857142857,0.079643841997
interacting,14,16,0.060000000000,0.500000000000,1.000000000000
noninteracting,14,1,0.100000000000,0.207142857143,0.005079463093
noninteracting,14,1,0.100000000000,0.214285714286,0.005205456240
noninteracting,14,1,0.100000000000,0.221428571429,0.005341673342
noninteracting,14,1,0.100000000000,0.228571428571,0.005489136280
noninteracting,14,1,0.100000000000,0.235714285714,0.005649011674
noninteracting,14,1,0.100000000000,0.242857142857,0.005822636080
noninteracting,14,1,0.100000000000,0.250000000000,0.006011546552
noninteracting,14,1,0.100000000000,0.257142857143,0.006217517870
noninteracting,14,1,0.100000000000,0.264285714286,0.006442608190
noninteracting,14,1,0.100000000000,0.271428571429,0.006689215350
noninteracting,14,1,0.100000000000,0.278571428571,0.006960146806
noninteracting,14,1,0.100000000000,0.285714285714,0.007258707097
noninteracting,14,1,0.100000000000,0.292857142857,0.007588808096
noninteracting,14,1,0.100000000000,0.300000000000,0.007955109116
noninteracting,14,1,0.100000000000,0.307142857143,0.008363196549
noninteracting,14,1,0.100000000000,0.314285714286,0.008819816421
noninteracting,14,1,0.100000000000,0.321428571429,0.009333178580
noninteracting,14,1,0.100000000000,0.328571428571,0.009913359135
noninteracting,14,1,0.100000000000,0.335714285714,0.010572839524
noninteracting,14,1,0.100000000000,0.342857142857,0.011327238469
noninteracting,14,1,0.100000000000,0.350000000000,0.012196320907
noninteracting,14,1,0.100000000000,0.357142857143,0.013205412093
noninteracting,14,1,0.100000000000,0.364285714286,0.014387416815
noninteracting,14,1,0.100000000000,0.371428571429,0.015785763716
noninteracting,14,1,0.100000000000,0.378571428571,0.017458801617
noninteracting,14,1,0.100000000000,0.385714285714,0.019486544490
noninteracting,14,1,0.100000000000,0.392857142857,0.021981349249
noninteracting,14,1,0.100000000000,0.400000000000,0.025105450466
noninteracting,14,1,0.100000000000,0.407142857143,0.029101034342
noninteracting,14,1,0.100000000000,0.414285714286,0.034344595758
noninteracting,14,1,0.100000000000,0.421428571429,0.041451744473
noninteracting,14,1,0.100000000000,0.428571428571,0.051496510364
noninteracting,14,1,0.100000000000,0.435714285714,0.066522222239
noninteracting,14,1,0.100000000000,0.442857142857,0.090921347114
noninteracting,14,1,0.100000000000,0.450000000000,0.136078986925
noninteracting,14,1,0.100000000000,0.457142857143,0.243089457406
noninteracting,14,1,0.100000000000,0.464285714286,0.756300153617
noninteracting,14,1,0.100000000000,0.471428571429,1.000000000000
noninteracting,14,1,0.100000000000,0.478571428571,0.353269057908
noninteracting,14,1,0.100000000000,0.485714285714,0.240859666754
noninteracting,14,1,0.100000000000,0.492857142857,0.202023518578
noninteracting,14,1,0.100000000000,0.500000000000,0.191685430803
interacting,14,16,0.100000000000,0.207142857143,0.004419797836
interacting,14,16,0.100000000000,0.214285714286,0.004498969213
interacting,14,16,0.100000000000,0.221428571429,0.004583425553
interacting,14,16,0.100000000000,0.228571428571,0.004673532951
interacting,14,16,0.100000000000,0.235714285714,0.004769727865
interacting,14,16,0.100000000000,0.242857142857,0.004872520222
interacting,14,16,0.100000000000,0.250000000000,0.004982466917
interacting,14,16,0.100000000000,0.257142857143,0.005100203562
interacting,14,16,0.100000000000,0.264285714286,0.005226460150
interacting,14,16,0.100000000000,0.271428571429,0.005362053502
interacting,14,16,0.100000000000,0.278571428571,0.005507965198
interacting,14,16,0.100000000000,0.285714285714,0.005664978951
interacting,14,16,0.100000000000,0.292857142857,0.005835055928
interacting,14,16,0.100000000000,0.300000000000,0.006018853343
interacting,14,16,0.100000000000,0.307142857143,0.006218682817
interacting,14,16,0.100000000000,0.314285714286,0.006436933950
interacting,14,16,0.100000000000,0.321428571429,0.006675930320
interacting,14,16,0.100000000000,0.328571428571,0.006934459880
interacting,14,16,0.100000000000,0.335714285714,0.007226027832
interacting,14,16,0.100000000000,0.342857142857,0.007574307467
interacting,14,16,0.100000000000,0.350000000000,0.007913219536
interacting,14,16,0.100000000000,0.357142857143,0.008334166203
interacting,14,16,0.100000000000,0.364285714286,0.008819787968
interacting,14,16,0.100000000000,0.371428571429,0.009409950588
interacting,14,16,0.100000000000,0.378571428571,0.009474197808
interacting,14,16,0.100000000000,0.385714285714,0.010522209744
interacting,14,16,0.100000000000,0.392857142857,0.010589194908
interacting,14,16,0.100000000000,0.400000000000,0.010791864193
interacting,14,16,0.100000000000,0.407142857143,0.012678947384
interacting,14,16,0.100000000000,0.414285714286,0.012528530143
interacting,14,16,0.100000000000,0.421428571429,0.013779312041
interacting,14,16,0.100000000000,0.428571428571,0.015210162043
interacting,14,16,0.100000000000,0.435714285714,0.016670375649
interacting,14,16,0.100000000000,0.442857142857,0.019478844777
interacting,14,16,0.100000000000,0.450000000000,0.021678987869
interacting,14,16,0.100000000000,0.457142857143,0.017031396092
interacting,14,16,0.100000000000,0.464285714286,0.031423285674
interacting,14,16,0.100000000000,0.471428571429,0.024280286269
interacting,14,16,0.100000000000,0.478571428571,0.039810697968
interacting,14,16,0.100000000000,0.485714285714,0.043160658825
interacting,14,16,0.100000000000,0.492857142857,0.010691105947
interacting,14,16,0.100000000000,0.500000000000,1.000000000000
noninteracting,14,1,0.140000000000,0.207142857143,0.003858397083
noninteracting,14,1,0.140000000000,0.214285714286,0.003955932859
noninteracting,14,1,0.140000000000,0.221428571429,0.004061507485
noninteracting,14,1,0.140000000000,0.228571428571,0.004175944663
noninteracting,14,1,0.140000000000,0.235714285714,0.004300187855
noninteracting,14,1,0.140000000000,0.242857142857,0.004435321810
noninteracting,14,1,0.140000000000,0.250000000000,0.004582598840
noninteracting,14,1,0.140000000000,0.257142857143,0.004743471047
noninteracting,14,1,0.140000000000,0.264285714286,0.004919630150
noninteracting,14,1,0.140000000000,0.271428571429,0.005113057013
noninteracting,14,1,0.140000000000,0.278571428571,0.005326083713
noninteracting,14,1,0.140000000000,0.285714285714,0.005561471951
noninteracting,14,1,0.140000000000,0.292857142857,0.005822512950
noninteracting,14,1,0.140000000000,0.300000000000,0.006113155955
noninteracting,14,1,0.140000000000,0.307142857143,0.006438175164
noninteracting,14,1,0.140000000000,0.314285714286,0.006803389029
noninteracting,14,1,0.140000000000,0.321428571429,0.007215951841
noninteracting,14,1,0.140000000000,0.328571428571,0.007684746583
noninteracting,14,1,0.140000000000,0.335714285714,0.008220922068
noninteracting,14,1,0.140000000000,0.342857142857,0.008838639346
noninteracting,14,1,0.140000000000,0.350000000000,0.009556127924
noninteracting,14,1,0.140000000000,0.357142857143,0.010397211197
noninteracting,14,1,0.140000000000,0.364285714286,0.011393561014
noninteracting,14,1,0.140000000000,0.371428571429,0.012588119016
noninteracting,14,1,0.140000000000,0.378571428571,0.014040449128
noninteracting,14,1,0.140000000000,0.385714285714,0.015835414144
noninteracting,14,1,0.140000000000,0.392857142857,0.018097844710
noninteracting,14,1,0.140000000000,0.400000000000,0.021018624924
noninteracting,14,1,0.140000000000,0.407142857143,0.024904046245
noninteracting,14,1,0.140000000000,0.414285714286,0.030276755250
noninteracting,14,1,0.140000000000,0.421428571429,0.038104245537
noninteracting,14,1,0.140000000000,0.428571428571,0.050392451542
noninteracting,14,1,0.140000000000,0.435714285714,0.072070422958
noninteracting,14,1,0.140000000000,0.442857142857,0.119298690265
noninteracting,14,1,0.140000000000,0.450000000000,0.293282746889
noninteracting,14,1,0.140000000000,0.457142857143,1.000000000000
noninteracting,14,1,0.140000000000,0.464285714286,0.208033249288
noninteracting,14,1,0.140000000000,0.471428571429,0.125389412596
noninteracting,14,1,0.140000000000,0.478571428571,0.095477971663
noninteracting,14,1,0.140000000000,0.485714285714,0.081452830395
noninteracting,14,1,0.140000000000,0.492857142857,0.074812497989
noninteracting,14,1,0.140000000000,0.500000000000,0.072826451553
interacting,14,16,0.140000000000,0.207142857143,0.001878563332
interacting,14,16,0.140000000000,0.214285714286,0.001911236003
interacting,14,16,0.140000000000,0.221428571429,0.001945958197
interacting,14,16,0.140000000000,0.228571428571,0.001983189279
interacting,14,16,0.140000000000,0.235714285714,0.002023015708
interacting,14,16,0.140000000000,0.242857142857,0.002065787702
interacting,14,16,0.140000000000,0.250000000000,0.002111584778
interacting,14,16,0.140000000000,0.257142857143,0.002160500606
interacting,14,16,0.140000000000,0.264285714286,0.002213005369
interacting,14,16,0.140000000000,0.271428571429,0.002270565352
