convention,hopping_pi,delta_difference_pi,sigma_z_coefficient_pi,gap_zero_pi,gap_pi_pi,coarse_winding_zero_raw,coarse_winding_pi_raw,winding_zero_raw,winding_pi_raw,chern_upper_raw,winding_zero,winding_pi,chern_upper,quantization_residual,bulk_edge_relation_residual,winding_momentum_points_used,winding_time_points_used,adaptive_refinement_used,status
onsite_difference,3.0,0.0,0.0,0.0,0.6066947087496223,,,,,,,,,,,,,False,gap_closing
onsite_difference,0.3,0.1,0.05,0.048509910836676655,0.7580112684039036,0.0004694842227035487,3.610763604328294e-05,0.0004694842227035487,3.610763604328294e-05,2.208718528794109e-18,0,0,0,0.0004694842227035487,0,11,23,False,gapped_quantized
onsite_difference,0.35,0.1,0.05,0.047978212879051844,0.7193511924577662,0.0009242263622530003,6.957012696114505e-05,0.0009242263622530003,6.957012696114505e-05,2.208718528794109e-18,0,0,0,0.0009242263622530003,0,11,23,False,gapped_quantized
onsite_difference,0.4,0.1,0.05,0.047368901744545965,0.6805480208424809,0.0016379793068275444,0.0001228470056438737,0.0016379793068275444,0.0001228470056438737,-2.208718528794109e-18,0,0,0,0.0016379793068275444,0,11,23,False,gapped_quantized
onsite_difference,0.45,0.1,0.05,0.046683747799361575,0.6416688659670351,0.0026778437370767183,0.0002023341966570905,0.0026778437370767183,0.0002023341966570905,-4.417437057588218e-18,0,0,0,0.0026778437370767183,0,11,23,False,gapped_quantized
onsite_difference,0.5,0.1,0.05,0.045924741925043554,0.6027600906196322,0.004108756340805735,0.0003146485899048138,0.004108756340805735,0.0003146485899048138,-0.0,0,0,0,0.004108756340805735,0,11,23,False,gapped_quantized
onsite_difference,0.55,0.1,0.05,0.045094090023734705,0.5638580949093976,0.005991096341686549,0.00046630381301499755,0.005991096341686549,0.00046630381301499755,-0.0,0,0,0,0.005991096341686549,0,11,23,False,gapped_quantized
onsite_difference,0.6000000000000001,0.1,0.05,0.04419420708154687,0.5249955166820387,0.008378264428485471,0.000663883151441549,0.008378264428485471,0.000663883151441549,8.834874115176436e-18,0,0,0,0.008378264428485471,0,11,23,False,gapped_quantized
onsite_difference,0.65,0.1,0.05,0.04322771086788422,0.48620557794581376,0.01131418965418175,0.0009154233889648614,0.01131418965418175,0.0009154233889648614,-4.417437057588218e-18,0,0,0,0.01131418965418175,0,11,23,False,gapped_quantized
onsite_difference,0.7,0.1,0.05,0.04219741536363166,0.4475259982778083,0.014830927665082167,0.0012342579142958564,0.014830927665082167,0.0012342579142958564,8.834874115176436e-18,0,0,0,0.014830927665082167,0,11,23,False,gapped_quantized
onsite_difference,0.75,0.1,0.05,0.04110632402981818,0.40900350437851213,0.018946628112086736,0.0016475676442594274,0.018946628112086736,0.0016475676442594274,-8.834874115176436e-18,0,0,0,0.018946628112086736,0,11,23,False,gapped_quantized
onsite_difference,0.8,0.1,0.05,0.03995762305205008,0.37070007367817165,0.023664190312272296,0.0022139460059321906,0.023664190312272296,0.0022139460059321906,8.834874115176436e-18,0,0,0,0.023664190312272296,0,11,23,False,gapped_quantized
onsite_difference,0.8500000000000001,0.1,0.05,0.03875467472663001,0.33270265135376326,0.02897090693748555,0.003058917434530774,0.02897090693748555,0.003058917434530774,5.300924469105861e-17,0,0,0,0.02897090693748555,0,11,23,False,gapped_quantized
onsite_difference,0.9000000000000001,0.1,0.05,0.03750101119453885,0.29513949261010575,0.03483932425694613,0.004448718074023083,0.03483932425694613,0.004448718074023083,-0.0,0,0,0,0.03483932425694613,0,11,23,False,gapped_quantized
onsite_difference,0.95,0.1,0.05,0.03620032878322714,0.25820936861091454,0.04122943381537251,0.006952766139941243,0.04122943381537251,0.006952766139941243,1.766974823035287e-17,0,0,0,0.04122943381537251,0,11,23,False,gapped_quantized
onsite_difference,1.0,0.1,0.05,0.034856483288975344,0.22223669415352293,0.048092167995291535,0.01182898246875939,0.048092167995291535,0.01182898246875939,1.766974823035287e-17,0,0,0,0.048092167995291535,0,11,23,False,gapped_quantized
onsite_difference,1.05,0.1,0.05,0.03347348663246197,0.18778080826283608,0.05537401902283361,0.021993643714002146,0.05537401902283361,0.021993643714002146,-3.533949646070574e-17,0,0,0,0.05537401902283361,0,11,23,False,gapped_quantized
onsite_difference,1.1,0.1,0.05,0.03205550545887759,0.1558590883787901,0.0630224595381617,0.04443024463832912,0.0630224595381617,0.04443024463832912,-4.417437057588218e-17,0,0,0,0.0630224595381617,0,11,23,False,gapped_quantized
onsite_difference,1.1500000000000001,0.1,0.05,0.030606862448853068,0.12838409743185497,0.070991735972035,0.0949407488957264,0.070991735972035,0.0949407488957264,1.766974823035287e-17,0,0,0,0.0949407488957264,0,11,23,False,gapped_quantized
onsite_difference,1.2,0.1,0.05,0.02913204138369659,0.10878678418602337,0.07924855497309065,0.19970098802336084,0.07924855497309065,0.19970098802336084,-6.847027439261738e-17,0,0,0,0.19970098802336084,0,11,23,False,gapped_quantized
onsite_difference,1.25,0.1,0.05,0.02763569740745581,0.10173328097594644,0.08777720466219162,0.36805054966502465,0.0660802204668112,0.44707566293237694,-7.951386703658792e-17,0,0,0,0.44707566293237694,0,21,49,True,gap_closing_neighborhood
onsite_difference,1.3,0.1,0.05,0.026122674509583093,0.10967599279870073,0.09658375645471515,0.5482102585136167,0.07561115340067817,0.7613231325981141,1.0,0,1,1,0.23867686740188587,0,21,49,True,gapped_quantized
onsite_difference,1.35,0.1,0.05,0.024598033108952973,0.12989558925937125,0.10569918227001601,0.6779077966130354,0.08598897783486374,0.8795742273914068,1.0000000000000002,0,1,1,0.12042577260859322,0,21,49,True,gapped_quantized
onsite_difference,1.4000000000000001,0.1,0.05,0.023067091898347675,0.15774146982516538,0.11518149341166758,0.7517619459770776,0.09728067457149799,0.9195019115318195,0.9999999999999999,0,1,1,0.09728067457149799,0,21,49,True,gapped_quantized
onsite_difference,1.4500000000000002,0.1,0.05,0.021535490036503603,0.18988873099196096,0.12511735787432535,0.7909498960749141,0.12511735787432535,0.7909498960749141,1.0,0,1,1,0.20905010392508594,0,11,23,False,gapped_quantized
onsite_difference,1.5000000000000002,0.1,0.05,0.020009278709690548,0.22449751678055438,0.13562408651331295,0.8118232383191322,0.13562408651331295,0.8118232383191322,1.0,0,1,1,0.18817676168086783,0,11,23,False,gapped_quantized
onsite_difference,1.55,0.1,0.05,0.01849505557978718,0.26058894259466414,0.14685341888294073,0.8229144807659273,0.14685341888294073,0.8229144807659273,1.0,0,1,1,0.17708551923407267,0,11,23,False,gapped_quantized
onsite_difference,1.6,0.1,0.05,0.017000162520724643,0.2976238337780776,0.15899924218595932,0.8284173470676712,0.15899924218595932,0.8284173470676712,1.0,0,1,1,0.17158265293232877,0,11,23,False,gapped_quantized
onsite_difference,1.6500000000000001,0.1,0.05,0.015532977470274812,0.3352891750175613,0.1723123315375574,0.8305038153104363,0.1723123315375574,0.8305038153104363,1.0,0,1,1,0.1723123315375574,0,11,23,False,gapped_quantized
onsite_difference,1.7000000000000002,0.1,0.05,0.01410334646597716,0.3733935025042046,0.1871264777470629,0.8303936638802139,0.1871264777470629,0.8303936638802139,1.0,0,1,1,0.1871264777470629,0,11,23,False,gapped_quantized
onsite_difference,1.7500000000000002,0.1,0.05,0.012723222292646483,0.41181407296207995,0.2039017656922421,0.8288235952188773,0.2039017656922421,0.8288235952188773,1.0000000000000002,0,1,1,0.2039017656922421,0,11,23,False,gapped_quantized
onsite_difference,1.8,0.1,0.05,0.011407596940360134,0.4504688991037376,,,,,,,,,,,,,False,gap_closing
onsite_difference,1.85,0.1,0.05,0.010175814164524177,0.48930121238366836,,,,,,,,,,,,,False,gap_closing
onsite_difference,1.9000000000000001,0.1,0.05,0.00905325385402073,0.5282704280692708,,,,,,,,,,,,,False,gap_closing
onsite_difference,1.9500000000000002,0.1,0.05,0.008073005934391314,0.5673466652314042,,,,,,,,,,,,,False,gap_closing
onsite_difference,2.0,0.1,0.05,0.007276169262777101,0.6065072855194527,,,,,,,,,,,,,False,gap_closing
onsite_difference,2.05,0.1,0.05,0.006707772691077349,0.6457346092840377,,,,,,,,,,,,,False,gap_closing
onsite_difference,2.1,0.1,0.05,0.00640494270956117,0.6850143171215758,,,,,,,,,,,,,False,gap_closing
onsite_difference,2.15,0.1,0.05,0.00637960843242526,0.7243342110591529,,,,,,,,,,,,,False,gap_closing
onsite_difference,2.2,0.1,0.05,0.006608409126798784,0.7636830471441898,,,,,,,,,,,,,False,gap_closing
onsite_difference,2.25,0.1,0.05,0.007040631948433402,0.8030490154766305,,,,,,,,,,,,,False,gap_closing
onsite_difference,2.3,0.1,0.05,0.007616976579372027,0.8424168377204403,,,,,,,,,,,,,False,gap_closing
onsite_difference,2.35,0.1,0.05,0.008284226978821089,0.881759909881732,,,,,,,,,,,,,False,gap_closing
onsite_difference,2.4,0.1,0.05,0.009000693622029685,0.9210099278705843,,,,,,,,,,,,,False,gap_closing
