temperature_k,detuning_regime,background_over_rho0,many_body_over_rho0,phonon_over_rho0,total_over_rho0
6.0,Delta/Delta_star -> infinity,1.0,0.0,0.002753541076487252,1.0027535410764872
6.25,Delta/Delta_star -> infinity,1.0,0.0,0.0033096801525100616,1.00330968015251
6.5,Delta/Delta_star -> infinity,1.0,0.0,0.003938173853554023,1.003938173853554
6.75,Delta/Delta_star -> infinity,1.0,0.0,0.00464149469454536,1.0046414946945454
7.0,Delta/Delta_star -> infinity,1.0,0.0,0.005421175711636157,1.0054211757116363
7.25,Delta/Delta_star -> infinity,1.0,0.0,0.006277742563311818,1.0062777425633118
7.5,Delta/Delta_star -> infinity,1.0,0.0,0.007210682492581602,1.0072106824925815
7.75,Delta/Delta_star -> infinity,1.0,0.0,0.00821845224989314,1.0082184522498931
8.0,Delta/Delta_star -> infinity,1.0,0.0,0.009298524404086267,1.0092985244040862
8.25,Delta/Delta_star -> infinity,1.0,0.0,0.010447468860128123,1.0104474688601282
8.5,Delta/Delta_star -> infinity,1.0,0.0,0.011661064138205739,1.0116610641382058
8.75,Delta/Delta_star -> infinity,1.0,0.0,0.012934431275973528,1.0129344312759736
9.0,Delta/Delta_star -> infinity,1.0,0.0,0.014262182235372263,1.0142621822353723
9.25,Delta/Delta_star -> infinity,1.0,0.0,0.01563857446763886,1.0156385744676388
9.5,Delta/Delta_star -> infinity,1.0,0.0,0.017057663758391572,1.0170576637583917
9.75,Delta/Delta_star -> infinity,1.0,0.0,0.01851344850589142,1.0185134485058913
10.0,Delta/Delta_star -> infinity,1.0,0.0,0.02,1.02
10.25,Delta/Delta_star -> infinity,1.0,0.0,0.02151157487307736,1.0215115748730774
10.5,Delta/Delta_star -> infinity,1.0,0.0,0.023042707507595614,1.0230427075075956
10.75,Delta/Delta_star -> infinity,1.0,0.0,0.02458828166383193,1.0245882816638319
11.0,Delta/Delta_star -> infinity,1.0,0.0,0.0261435818351528,1.0261435818351528
11.25,Delta/Delta_star -> infinity,1.0,0.0,0.027704325795251946,1.0277043257952518
11.5,Delta/Delta_star -> infinity,1.0,0.0,0.02926668045952969,1.0292666804595296
11.75,Delta/Delta_star -> infinity,1.0,0.0,0.030827263561434958,1.030827263561435
12.0,Delta/Delta_star -> infinity,1.0,0.0,0.03238313378448725,1.0323831337844873
12.25,Delta/Delta_star -> infinity,1.0,0.0,0.033931771942656654,1.0339317719426566
12.5,Delta/Delta_star -> infinity,1.0,0.0,0.03547105561861521,1.0354710556186153
12.75,Delta/Delta_star -> infinity,1.0,0.0,0.036999229399988266,1.0369992293999883
13.0,Delta/Delta_star -> infinity,1.0,0.0,0.03851487253961257,1.0385148725396125
13.25,Delta/Delta_star -> infinity,1.0,0.0,0.04001686553949047,1.0400168655394906
13.5,Delta/Delta_star -> infinity,1.0,0.0,0.041504356843172455,1.0415043568431726
13.75,Delta/Delta_star -> infinity,1.0,0.0,0.042976730533169666,1.0429767305331696
14.0,Delta/Delta_star -> infinity,1.0,0.0,0.044433575677461985,1.044433575677462
14.25,Delta/Delta_star -> infinity,1.0,0.0,0.045874657755820544,1.0458746577558204
14.5,Delta/Delta_star -> infinity,1.0,0.0,0.047299892422409805,1.0472998924224097
14.75,Delta/Delta_star -> infinity,1.0,0.0,0.048709321723435166,1.0487093217234351
15.0,Delta/Delta_star -> infinity,1.0,0.0,0.05010309278350515,1.050103092783505
15.25,Delta/Delta_star -> infinity,1.0,0.0,0.051481438897280546,1.0514814388972806
15.5,Delta/Delta_star -> infinity,1.0,0.0,0.05284466290916374,1.0528446629091637
15.75,Delta/Delta_star -> infinity,1.0,0.0,0.05419312272876025,1.0541931227287602
16.0,Delta/Delta_star -> infinity,1.0,0.0,0.055527218809574244,1.0555272188095743
16.25,Delta/Delta_star -> infinity,1.0,0.0,0.05684738340937625,1.0568473834093763
16.5,Delta/Delta_star -> infinity,1.0,0.0,0.05815407144995881,1.0581540714499589
16.75,Delta/Delta_star -> infinity,1.0,0.0,0.05944775279916831,1.0594477527991684
17.0,Delta/Delta_star -> infinity,1.0,0.0,0.060728905807251855,1.0607289058072518
17.25,Delta/Delta_star -> infinity,1.0,0.0,0.06199801194119615,1.0619980119411963
17.5,Delta/Delta_star -> infinity,1.0,0.0,0.06325555137372978,1.0632555513737298
17.75,Delta/Delta_star -> infinity,1.0,0.0,0.06450199939717603,1.064501999397176
18.0,Delta/Delta_star -> infinity,1.0,0.0,0.06573782354578347,1.0657378235457835
18.25,Delta/Delta_star -> infinity,1.0,0.0,0.06696348132311522,1.0669634813231152
18.5,Delta/Delta_star -> infinity,1.0,0.0,0.06817941844327956,1.0681794184432796
18.75,Delta/Delta_star -> infinity,1.0,0.0,0.06938606750607627,1.0693860675060762
19.0,Delta/Delta_star -> infinity,1.0,0.0,0.07058384703643789,1.070583847036438
19.25,Delta/Delta_star -> infinity,1.0,0.0,0.07177316082784202,1.071773160827842
19.5,Delta/Delta_star -> infinity,1.0,0.0,0.07295439753768132,1.0729543975376814
19.75,Delta/Delta_star -> infinity,1.0,0.0,0.07412793048994532,1.0741279304899454
20.0,Delta/Delta_star -> infinity,1.0,0.0,0.07529411764705883,1.0752941176470587
20.25,Delta/Delta_star -> infinity,1.0,0.0,0.07645330171840244,1.0764533017184024
20.5,Delta/Delta_star -> infinity,1.0,0.0,0.07760581037799075,1.0776058103779906
20.75,Delta/Delta_star -> infinity,1.0,0.0,0.07875195656807434,1.0787519565680743
21.0,Delta/Delta_star -> infinity,1.0,0.0,0.079892038869137,1.079892038869137
21.25,Delta/Delta_star -> infinity,1.0,0.0,0.08102634191994705,1.081026341919947
21.5,Delta/Delta_star -> infinity,1.0,0.0,0.08215513687405364,1.0821551368740536
21.75,Delta/Delta_star -> infinity,1.0,0.0,0.08327868188145314,1.083278681881453
22.0,Delta/Delta_star -> infinity,1.0,0.0,0.08439722258613913,1.0843972225861391
22.25,Delta/Delta_star -> infinity,1.0,0.0,0.0855109926319374,1.0855109926319373
22.5,Delta/Delta_star -> infinity,1.0,0.0,0.08662021417045622,1.0866202141704562
22.75,Delta/Delta_star -> infinity,1.0,0.0,0.08772509836618875,1.0877250983661888
23.0,Delta/Delta_star -> infinity,1.0,0.0,0.08882584589481819,1.0888258458948181
23.25,Delta/Delta_star -> infinity,1.0,0.0,0.08992264743162756,1.0899226474316275
23.5,Delta/Delta_star -> infinity,1.0,0.0,0.09101568412762633,1.0910156841276264
23.75,Delta/Delta_star -> infinity,1.0,0.0,0.0921051280715981,1.092105128071598
24.0,Delta/Delta_star -> infinity,1.0,0.0,0.09319114273676325,1.0931911427367633
24.25,Delta/Delta_star -> infinity,1.0,0.0,0.0942738834111557,1.0942738834111556
24.5,Delta/Delta_star -> infinity,1.0,0.0,0.09535349761114341,1.0953534976111434
24.75,Delta/Delta_star -> infinity,1.0,0.0,0.09643012547779423,1.0964301254777942
25.0,Delta/Delta_star -> infinity,1.0,0.0,0.09750390015600624,1.0975039001560063
