detuning_over_ef,exciton_density_cm2,rho_kubo,rho_boltzmann,rho_kubo_minus_boltzmann
0.8479166666666668,200000000000.0,9.238134073770821,2.3844890861516177,6.853644987619203
0.8808333333333335,200000000000.0,8.820324250680034,2.23166852358367,6.588655727096365
0.9137500000000002,200000000000.0,7.353723015899275,2.1334078631645226,5.220315152734752
0.9466666666666668,200000000000.0,5.966176384988992,1.8792990236215603,4.086877361367431
0.9795833333333335,200000000000.0,5.788750502085508,1.7245259534428456,4.064224548642662
1.0125000000000002,200000000000.0,4.489641766706425,1.6971858956434107,2.7924558710630145
1.0454166666666667,200000000000.0,3.8405647697393386,1.498788926147709,2.3417758435916296
1.0783333333333334,200000000000.0,3.682014991650297,1.4335362323978886,2.2484787592524085
1.11125,200000000000.0,2.7915986922662963,1.357261861878586,1.4343368303877102
1.1441666666666668,200000000000.0,2.4527117619678735,1.2566190920735067,1.1960926698943668
1.1770833333333335,200000000000.0,2.364939448421027,1.2481887974086763,1.1167506510123508
1.21,200000000000.0,1.897712050448548,1.1857413302612194,0.7119707201873287
1.2429166666666667,200000000000.0,1.7543503664322633,1.1277465402978089,0.6266038261344544
1.2758333333333334,200000000000.0,1.6971661946985395,1.124799645920331,0.5723665487782084
1.30875,200000000000.0,1.4467230136385474,1.087783396412344,0.3589396172262034
1.3416666666666668,200000000000.0,1.3656526251103536,1.087449012890716,0.27820361221963763
1.3745833333333335,200000000000.0,1.3412618590805465,1.058581444317064,0.2826804147634825
1.4075,200000000000.0,1.233281801602751,1.0590915771362701,0.1741902244664808
1.4404166666666667,200000000000.0,1.187858349312315,1.0392748548598874,0.14858349445242758
1.4733333333333334,200000000000.0,1.1729126006439154,1.0429403560513868,0.12997224459252865
1.50625,200000000000.0,1.1292831654473685,1.026270513079207,0.1030126523681616
1.5391666666666668,200000000000.0,1.1019876073530521,1.0254577524211472,0.0765298549319049
1.5720833333333335,200000000000.0,1.0966212096421037,1.0159967391824047,0.080624470459699
1.605,200000000000.0,1.0769026817766476,1.0193080398036174,0.057594641973030214
1.6379166666666667,200000000000.0,1.0581382659428158,1.0106573387772102,0.04748092716560559
1.6708333333333334,200000000000.0,1.0532137215444028,1.0116647223710904,0.04154899917331245
1.70375,200000000000.0,1.0469471587843286,1.0058566812855496,0.04109047749877903
1.7366666666666668,200000000000.0,1.0380180724378485,1.006186916412,0.031831156025848406
1.7695833333333335,200000000000.0,1.0342657633531758,1.0039391031636282,0.03032666018954755
1.8025000000000002,200000000000.0,1.0306919333102862,1.0051755482703648,0.025516385039921374
1.8354166666666667,200000000000.0,1.0265083447525731,1.001965633326399,0.024542711426174035
1.8683333333333334,200000000000.0,1.0238885741380892,1.0021317018570777,0.02175687228101153
1.90125,200000000000.0,1.0219689260318254,1.0011860070606122,0.020782918971213205
1.9341666666666668,200000000000.0,1.020040982276175,1.0014753713247737,0.01856561095140119
1.9670833333333335,200000000000.0,1.0181195016964424,1.000689388250446,0.01743011344599643
2.0,200000000000.0,1.0168171602668306,1.000653926008804,0.01616323425802646
