detuning_over_ef,tunnel_mev,exciton_density_cm2,rho_over_rho0,sigma_h_real,sigma_h_imag,sigma_x_real,sigma_x_imag,sigma_t_real,sigma_t_imag,event_count,momentum_residual,collision_min_eigenvalue,condition_number
0.35416666666666674,0.5,100000000000.0,1.2362930302545363,0.8088697222487078,0.0,-0.030038072885894107,0.0,0.08373698133467042,0.0,426,3.3458231790711985e-20,-1.1158533449771887e-19,2971357957139.6455
0.3870833333333334,0.5,100000000000.0,1.299066614424436,0.7697834652174936,0.0,-0.031098047637623166,0.0,0.09747238351294729,0.0,443,2.8100817696818796e-20,-1.7791077185728429e-19,2448339643239.96
0.42000000000000004,0.5,100000000000.0,1.345450600139914,0.7432454226829358,0.0,-0.027896458725376525,0.0,0.10418400508300117,0.0,453,4.2682099789727843e-20,-3.6754416078670356e-19,3353339557014.814
0.45291666666666675,0.5,100000000000.0,1.4553577117265306,0.6871162958374493,0.0,-0.028656755169460146,0.0,0.12340057832756282,0.0,469,2.126762910058407e-20,-2.512348260387135e-19,3758176148496.654
0.4858333333333334,0.5,100000000000.0,1.5022780448627249,0.6656557375777784,0.0,-0.02213888634450731,0.0,0.1262088518641607,0.0,480,5.624530790933881e-20,-2.8034533705419204e-19,7417174621350.441
0.51875,0.5,100000000000.0,1.6586803466395768,0.6028889183054239,0.0,-0.02050453501685867,0.0,0.14604155740296837,0.0,490,5.286628070053255e-20,-2.4211243869080975e-19,3913244632908.161
0.5516666666666667,0.5,100000000000.0,1.7090512769287762,0.5851199513434344,0.0,-0.012488749708850859,0.0,0.14662068951836266,0.0,501,6.552941231691554e-20,-3.700699422977814e-19,3707344191228.933
0.5845833333333335,0.5,100000000000.0,1.8736364073476466,0.5337214819686483,0.0,-0.007053515571443826,0.0,0.16013002321832867,0.0,514,8.74850829476585e-20,-5.3664700771284105e-19,5783417512647.693
0.6175,0.5,100000000000.0,1.9183423256176777,0.5212833948591604,0.0,-0.0010270794025644624,0.0,0.1602584281423174,0.0,524,6.680725253658022e-20,-2.499618478436655e-19,4269689368354.6846
0.6504166666666668,0.5,100000000000.0,1.8146483958284736,0.5510709415106568,0.0,0.00824493729677513,0.0,0.1441479014589865,0.0,533,4.215266866064455e-20,-4.551345776730845e-19,3770268339740.1284
0.6833333333333335,0.5,100000000000.0,1.9382251479262487,0.5159359329693575,0.0,0.017918880089661342,0.0,0.1494102757775125,0.0,544,1.1797802680765493e-19,-9.284472961352257e-19,6797701853820.405
0.71625,0.5,100000000000.0,1.9027298245544668,0.5255606902751707,0.0,0.022939770035754578,0.0,0.14285476337819192,0.0,550,2.882768699691078e-20,-5.17337041387437e-19,6878288269657.04
0.7491666666666668,0.5,100000000000.0,1.7921573514646973,0.5579867187346682,0.0,0.02934989430932924,0.0,0.12777267104243,0.0,559,2.188761224986869e-20,-4.0436041472675384e-19,3186442682045.2075
0.7820833333333335,0.5,100000000000.0,1.692292247935347,0.5909144837246837,0.0,0.03312014532336023,0.0,0.11428324870304395,0.0,565,5.071314403774496e-20,-2.1072330613668018e-19,3528206108312.7437
0.8150000000000001,0.5,100000000000.0,1.7430955720170134,0.5736920086618403,0.0,0.04290464084361274,0.0,0.11350107671059957,0.0,574,6.80448129900414e-20,-1.8473618103589249e-19,5265378986665.16
0.8479166666666668,0.5,100000000000.0,1.5740181956254615,0.6353166709122025,0.0,0.0432635184856407,0.0,0.09272027086583759,0.0,580,4.420571702899584e-20,-1.2975545569397673e-19,2445502285195.371
0.8808333333333335,0.5,100000000000.0,1.4822983699497638,0.6746280103066502,0.0,0.04290917923340319,0.0,0.0798527172358309,0.0,587,1.2901493732609422e-20,-2.444571422658459e-19,2749986451002.7017
0.9137500000000002,0.5,100000000000.0,1.4909988670487726,0.6706913211673746,0.0,0.050374315302268276,0.0,0.0761881895697458,0.0,594,3.4826442693523725e-20,-1.3985415518451704e-19,4710066377555.154
0.9466666666666668,0.5,100000000000.0,1.3621796490956581,0.7341175597975592,0.0,0.04545418742379986,0.0,0.05832619527869321,0.0,599,1.3761155839294036e-20,-1.1032586017813673e-19,3480482384759.749
0.9795833333333335,0.5,100000000000.0,1.2811116160232883,0.7805721121350147,0.0,0.040382898059537944,0.0,0.046222204075727594,0.0,604,7.41092313947358e-21,-6.204092643871584e-20,4096785475109.4937
1.0125000000000002,0.5,100000000000.0,1.295601949041315,0.7718420003458263,0.0,0.04602965604136607,0.0,0.0453677360173751,0.0,607,1.1405122709176377e-20,-1.3716312191575928e-19,2693058619271.639
1.0454166666666667,0.5,100000000000.0,1.1984536872746614,0.8344085471287972,0.0,0.037111087864432915,0.0,0.03045793254105886,0.0,613,9.472541474941698e-21,-5.32424154079463e-20,2213884848182.5347
1.0783333333333334,0.5,100000000000.0,1.1854691537310598,0.843547887224794,0.0,0.034869357644470834,0.0,0.028905972655757433,0.0,620,1.1266702610170432e-20,-5.2532934695976025e-20,2234487346939.679
1.11125,0.5,100000000000.0,1.1478433505463064,0.8711990181622418,0.0,0.03367809882143948,0.0,0.020483101558658963,0.0,626,3.647575524357891e-21,-4.320654542636985e-20,2222741751731.6753
1.1441666666666668,0.5,100000000000.0,1.098565032816516,0.9102783814592992,0.0,0.023796038919989892,0.0,0.014044687060590175,0.0,633,3.4421583122117694e-21,-1.8636731412422774e-20,2580415271905.28
1.1770833333333335,0.5,100000000000.0,1.1088623179175738,0.9018252165679003,0.0,0.029171923258786252,0.0,0.01327848579856058,0.0,637,5.344844357857809e-21,-3.273265510014617e-20,3470154857509.374
