temperature_k,detuning_over_ef,many_body_rho_over_rho0,rho_over_rho0,sigma_h_real,sigma_h_imag,sigma_x_real,sigma_x_imag,sigma_t_real,sigma_t_imag,event_count,momentum_residual,collision_min_eigenvalue,condition_number
23.185,0.5,0.9765844498330392,1.9765844498330392,0.5059232354501572,0.0,0.028227609728131372,0.0,0.1563554301137592,0.0,485,5.739783222236328e-19,-2.226763312282988e-18,20120927553716.023
23.79,0.5,0.9536100492282042,1.9536100492282042,0.5118728788250558,0.0,0.02845617696857345,0.0,0.15517130969209986,0.0,485,5.946486206838105e-19,-2.4110668192950567e-18,26915097746826.527
24.395,0.5,0.931005970159416,1.931005970159416,0.5178647893654332,0.0,0.028666237446833078,0.0,0.15402424375099857,0.0,485,5.092605080366806e-19,-2.6059121980252444e-18,102964213170218.25
25.0,0.5,0.9087736453339574,1.9087736453339574,0.5238965879712997,0.0,0.02885921851817861,0.0,0.15291312254774223,0.0,485,4.0558037016711486e-19,-2.220638864978415e-18,48241184383042.34
0.8,0.7,0.6795686144012789,1.679568614401279,0.5953909780318639,0.0,0.023247575310415228,0.0,0.1193712915252199,0.0,476,6.256987301668999e-20,-1.7280846607857017e-18,168110262788.85855
1.405,0.7,1.4975158471729024,2.4975158471729024,0.4003978597901446,0.0,0.028306386639993672,0.0,0.18099645563809696,0.0,548,2.797188993053938e-19,-8.924163314177997e-18,187469651197.08633
2.01,0.7,1.8464127790002718,2.846412779000272,0.3513193895761049,0.0,0.03572832942905433,0.0,0.19240798384893465,0.0,548,5.317915985650014e-19,-1.5318156202644386e-18,8553379951056.648
2.615,0.7,2.04776275446018,3.04776275446018,0.32810952838654267,0.0,0.04115535642068803,0.0,0.19652658625428654,0.0,548,6.882527785343119e-19,-2.201330666051924e-18,2542753025445.7207
3.2199999999999998,0.7,2.1594639303659013,3.1594639303659013,0.316509389579956,0.0,0.04397825286098416,0.0,0.19851136849184828,0.0,548,9.763468981361277e-19,-3.0897787115892184e-18,192478771580.55276
3.825,0.7,2.2152938604637793,3.2152938604637793,0.311013563113562,0.0,0.0459946605323947,0.0,0.19899904426146559,0.0,548,8.077208055610502e-19,-2.67816890364712e-18,531218486362.311
4.43,0.7,2.2380790943217703,3.2380790943217703,0.30882506908295715,0.0,0.0478875310555779,0.0,0.19846667510403052,0.0,548,5.832561776680239e-19,-2.635620736332754e-18,1561153077013.6526
5.034999999999999,0.7,2.2395773027931227,3.2395773027931227,0.3086822466430459,0.0,0.0496729228610714,0.0,0.19732425531575423,0.0,548,8.077638890440129e-19,-2.131927387259659e-18,758606242546.3763
5.64,0.7,2.2263628785263934,3.2263628785263934,0.3099465365956415,0.0,0.05130173529129493,0.0,0.19581776749772178,0.0,548,9.802458092616323e-19,-3.86818404407403e-18,3804339230190.1714
6.245,0.7,2.2027250317779203,3.2027250317779203,0.31223411003999696,0.0,0.052755013291162,0.0,0.19408859714406507,0.0,548,4.8037662923677e-19,-4.949890976703509e-18,5926347851236.342
6.85,0.7,2.171768588011613,3.171768588011613,0.31528151321622794,0.0,0.05403160226549655,0.0,0.19222667365994817,0.0,548,5.355964656977508e-19,-2.615784564579072e-18,15473256882785.672
7.454999999999999,0.7,2.13583965311733,3.13583965311733,0.31889385638895873,0.0,0.055138231577637115,0.0,0.19029440471120168,0.0,548,6.7543141783106185e-19,-6.25738523013831e-18,39220534955890.516
8.06,0.7,2.096712383513288,3.096712383513288,0.32292311204745405,0.0,0.056085780360640464,0.0,0.1883363729571488,0.0,548,3.9782140232664936e-19,-5.4771896732520465e-18,97328070745176.31
8.665000000000001,0.7,2.055701115224028,3.055701115224028,0.3272571374922201,0.0,0.05688739311951429,0.0,0.1863841614093081,0.0,548,6.135036257021153e-19,-2.469261300345427e-18,11888611064464.252
9.27,0.7,2.0137517981066306,3.0137517981066306,0.3318123279522366,0.0,0.057557110175933415,0.0,0.18445958713384394,0.0,548,5.801748330582486e-19,-2.4443488119270477e-18,31096051501209.434
9.875,0.7,1.971523953835053,2.971523953835053,0.3365276590516454,0.0,0.05810887488461313,0.0,0.18257720672472336,0.0,548,5.720274167267969e-19,-3.6053569852289334e-18,79942261664550.64
10.48,0.7,1.9294620702858971,2.929462070285897,0.3413595998197738,0.0,0.058555910517354835,0.0,0.1807462896717085,0.0,548,9.247234803505958e-19,-2.737889185534595e-18,13867395535458.531
11.085,0.7,1.887854412483827,2.887854412483827,0.34627784408976,0.0,0.058910398269768426,0.0,0.17897233434436766,0.0,548,5.316791087949555e-19,-1.5699541949374165e-18,36536506671564.945
11.690000000000001,0.7,1.8468790237281971,2.846879023728197,0.35126185259900033,0.0,0.05918336072911231,0.0,0.17725819880210417,0.0,548,4.611336446516381e-19,-1.2303665061385333e-18,95013361419821.11
12.295,0.7,1.806638229670901,2.806638229670901,0.3562981468107692,0.0,0.059384666979596344,0.0,0.1756049236030298,0.0,548,9.312782957576105e-19,-2.304202356984902e-18,20836207044720.992
12.9,0.7,1.7671836793202478,2.767183679320248,0.361378251640183,0.0,0.059523100341517705,0.0,0.17401231914249932,0.0,548,2.6452171943952564e-19,-1.6082914359468478e-18,54808377510571.19
13.505,0.7,1.7285340489400869,2.728534048940087,0.36649716736665067,0.0,0.059606452500607865,0.0,0.17247937900457896,0.0,548,7.510038030522083e-19,-3.0585618314662864e-18,142719117129633.7
14.11,0.7,1.6906872921492924,2.6906872921492924,0.37165225513857864,0.0,0.05964162401185369,0.0,0.1710045679701556,0.0,548,8.898377454908092e-19,-1.642244125225444e-18,36989263706962.87
14.715,0.7,1.653628957568734,2.653628957568734,0.3768424357699971,0.0,0.05963472125902833,0.0,0.16958602137005763,0.0,548,6.740082466096971e-19,-1.6467233074737502e-18,96774501816948.83
15.32,0.7,1.6173377329465346,2.6173377329465346,0.3820676206254149,0.0,0.05959114566088745,0.0,0.1682216825209934,0.0,548,5.787940078335754e-19,-2.79157770047093e-18,67648279610926.97
15.925,0.7,1.5817890650289237,2.5817890650289237,0.3873283118072223,0.0,0.059515673873752714,0.0,0.166909397234761,0.0,548,2.8996253601254915e-19,-4.952452540404467e-18,73729923062689.52
16.53,0.7,1.5469574613725952,2.546957461372595,0.39262532459457894,0.0,0.059412529137152864,0.0,0.16564697864313233,0.0,548,4.447196773406502e-19,-3.854619459664237e-18,191669821217699.03
17.135,0.7,1.5128178988753995,2.5128178988753995,0.39795959764833955,0.0,0.05928544447521476,0.0,0.16443225145763432,0.0,548,3.8330530743766567e-19,-2.305506681306813e-18,162323136016686.78
17.74,0.7,1.479346633487752,2.479346633487752,0.4033320659940469,0.0,0.059137718628597825,0.0,0.16326308190644256,0.0,548,4.0981470326234485e-19,-4.049949955199924e-18,160004324581765.2
18.345,0.7,1.4465216138929864,2.4465216138929864,0.4087435787696831,0.0,0.058972265561640695,0.0,0.16213739761292428,0.0,548,7.529816260614536e-19,-3.689042913176072e-18,93565563878059.69
18.95,0.7,1.41432263756991,2.41432263756991,0.4141948488734425,0.0,0.05879165832445526,0.0,0.16105320035972848,0.0,548,4.77717200147271e-19,-1.6721929278456477e-18,143788651899707.2
19.555,0.7,1.3827313443132772,2.382731344313277,0.4196864251551651,0.0,0.05859816792790679,0.0,0.16000857377282857,0.0,548,6.093035957949794e-19,-1.6156131183183709e-18,53425732295156.56
20.16,0.7,1.3517311114734398,2.35173111147344,0.42521868045257344,0.0,0.05839379781226533,0.0,0.15900168736595635,0.0,548,4.0928801654155094e-19,-3.569909944301158e-18,137385092894240.53
20.765,0.7,1.321306894455517,2.321306894455517,0.4307918105910588,0.0,0.058180314410174155,0.0,0.15803079797479436,0.0,548,5.4540890493623925e-19,-2.9688570083061794e-18,54006823443040.97
21.37,0.7,1.2914450416375125,2.2914450416375125,0.4364058407813176,0.0,0.0579592742322068,0.0,0.15709424932515212,0.0,548,2.691538775309351e-19,-8.939866991219082e-19,22371843652664.66
21.975,0.7,1.262133102716033,2.262133102716033,0.44206063683845515,0.0,0.05773204786597179,0.0,0.15619047028782343,0.0,548,6.165352980643463e-19,-2.9862625603782445e-18,41642740392613.27
22.580000000000002,0.7,1.233359642626239,2.233359642626239,0.4477559193395677,0.0,0.057499841222637155,0.0,0.15531797222632393,0.0,548,5.587354278360365e-19,-9.442535695522319e-19,17853820051762.992
23.185,0.7,1.2051140684296007,2.2051140684296007,0.4534912793478128,0.0,0.05726371433637153,0.0,0.15447534574248445,0.0,548,4.796153066058353e-19,-4.103347892030908e-18,31062300749164.875
23.79,0.7,1.1773864732037778,2.1773864732037778,0.4592661947277615,0.0,0.057024597985241184,0.0,0.15366125704665284,0.0,548,7.469703090163393e-19,-3.59101318872408e-18,37153198992324.45
24.395,0.7,1.1501674986889383,2.1501674986889383,0.4650800463730145,0.0,0.0567833083822052,0.0,0.1528744441245027,0.0,548,4.244195689470872e-19,-2.8367101731937063e-18,17000007699301.412
25.0,0.7,1.1234482170222795,2.1234482170222795,0.47093213386776356,0.0,0.0565405601534106,0.0,0.15211371282543285,0.0,548,5.881478763804809e-19,-1.4821230803127001e-18,33931265736028.805
0.8,0.8,0.25370777031150227,1.2537077703115023,0.7976340449349972,0.0,0.01952284417615256,0.0,0.05444008890064641,0.0,494,8.514065548779784e-21,-2.2222228612420173e-19,402412942379.85114
1.405,0.8,0.5830648329983954,1.5830648329983954,0.6316860681605537,0.0,0.03392446211259794,0.0,0.10015500253182093,0.0,571,5.290326128711355e-20,-1.3710597266403941e-18,87146640461.8918
2.01,0.8,0.8869519981704677,1.8869519981704677,0.5299551875032169,0.0,0.04579386714894334,0.0,0.12615235939447103,0.0,571,1.4217719771144835e-19,-2.3642211965882612e-19,7888209812098.657
2.615,0.8,1.1521856327389295,2.1521856327389295,0.4646439344209231,0.0,0.055703726852967185,0.0,0.14131620395131078,0.0,571,2.567527157089666e-19,-8.216792857073983e-19,2051468842820.1794
3.2199999999999998,0.8,1.3584975653481934,2.3584975653481934,0.42399874169569746,0.0,0.0632343493121457,0.0,0.14984418682689454,0.0,571,3.839513038921939e-19,-1.418661238907401e-18,798473803010.3619
3.825,0.8,1.5061775646181657,2.5061775646181657,0.3990140260282624,0.0,0.06863698137844743,0.0,0.15457067606474054,0.0,571,6.082130181466377e-19,-1.84989346186397e-18,1934987655492.2085
4.43,0.8,1.6068734539728018,2.606873453972802,0.3836012824005815,0.0,0.07244830295505854,0.0,0.15716742272524908,0.0,571,7.155681537249913e-19,-1.3554251630798951e-18,535416751310.9253
5.034999999999999,0.8,1.673385970417121,2.673385970417121,0.37405747283246676,0.0,0.07515520545371085,0.0,0.15854432486043143,0.0,571,8.149643995056837e-19,-1.9285518196490077e-18,1296348312812.3293
5.64,0.8,1.7160186533279629,2.716018653327963,0.36818598383876733,0.0,0.07710274868973879,0.0,0.15920394281452116,0.0,571,8.943767171539845e-19,-2.7162117615710968e-18,1314075551459.455
6.245,0.8,1.742176106436558,2.742176106436558,0.364673879862331,0.0,0.07851454393756006,0.0,0.15943565344031915,0.0,571,9.329261294786513e-19,-1.6890249513289837e-18,3059903320958.9546
6.85,0.8,1.7569019950744456,2.7569019950744456,0.36272598800632977,0.0,0.0795336571368954,0.0,0.1594104788202535,0.0,571,8.782390415852605e-19,-2.0694379642604474e-18,7051014477975.261
7.454999999999999,0.8,1.763537244326102,2.763537244326102,0.3618550833910883,0.0,0.08025467559010477,0.0,0.15922969970021247,0.0,571,9.295992298225934e-19,-2.362656805349973e-18,16176964046707.357
8.06,0.8,1.7642693140141685,2.7642693140141685,0.3617592522299636,0.0,0.08074340798843195,0.0,0.15895257447840438,0.0,571,8.356387741158939e-19,-3.1891334270224985e-18,37082865734387.63
8.665000000000001,0.8,1.7605335886118474,2.7605335886118474,0.362248807304988,0.0,0.08104786480557916,0.0,0.1586132903496601,0.0,571,9.317985554366846e-19,-1.5293864499991065e-18,4252580307880.8345
