x,y,raw_aggregate_density,raw_density_over_max,reflection_symmetrized_density,symmetrized_density_over_max
4,28,0.09044946000843444,0.0023936699011972056,0.09050581012974492,0.002446106291561953
5,28,0.09229102175486655,0.002442405304628245,0.09229102917969667,0.002494355520463867
6,28,0.09482213440335903,0.0025093891004703763,0.09488490256232757,0.002564460301490331
7,28,0.09786773087384158,0.002589988283725939,0.09786756871584298,0.0026450730094842584
8,28,0.10182529408536335,0.0026947219100032175,0.10189592696730496,0.0027539477043733566
9,28,0.10654746259960551,0.0028196901811224544,0.1065473308391571,0.0028796614929049707
10,28,0.11256795004071325,0.002979017385253596,0.11264806152343186,0.003044546329453437
11,28,0.11978629156663298,0.0031700448037207127,0.11978626529278269,0.0032374710171130397
12,28,0.1289965896871056,0.003413787700471812,0.12908520040753976,0.0034887939283871974
13,28,0.14018921507521384,0.003709991243360759,0.14018856850788933,0.0037888853648249026
14,28,0.15469209332081332,0.004093797881166911,0.15478313467652646,0.004183333633687895
15,28,0.1727117756987799,0.004570673821976841,0.17271177040141356,0.004667892012679251
16,28,0.1967739860148208,0.005207460250380206,0.19684384586695336,0.0053201111524237895
17,28,0.22768480817760992,0.006025489508105218,0.2276858292581666,0.006153679400797509
18,28,0.27094067061884275,0.007170220012480264,0.27088526459135837,0.007321233289425874
19,28,0.32910497513909626,0.008709490064962794,0.3291097192369272,0.008894869331433766
20,28,0.41612662979546317,0.011012445942022745,0.41557655325406506,0.011231813958497568
21,28,0.5410589405269546,0.014318675872606094,0.5411081723070335,0.014624565017410052
22,28,0.7471771349264957,0.01977342284375759,0.7447381392264032,0.020128085095490883
23,28,1.074959693649521,0.028447916255653544,1.0753443223729882,0.029063399452269007
24,28,1.6880966414740162,0.044674076778696545,1.6791799361460202,0.04538330302312222
25,28,2.7935570271371724,0.07392916853801718,2.7954583862713913,0.07555303175183396
26,28,5.2752709802115945,0.13960566889856588,5.248110637297718,0.14184102026493114
27,28,10.533547263375205,0.2787615872425134,10.554843669586457,0.28526643173091776
28,28,15.656610271633689,0.41433919847050327,15.678106456670982,0.4237331812008946
-27,29,14.019193838968468,0.37100633136183336,14.327906747855856,0.38724124772321894
-26,29,9.95405231684565,0.2634257343665058,9.99240865060218,0.27006546467079245
-25,29,5.141167320924125,0.13605672683913414,5.168604264032469,0.13969219645367967
-24,29,2.766831273910493,0.07322189365677897,2.7703900469464973,0.0748755081491644
-23,29,1.6698631437571154,0.0441915423923727,1.674861624660258,0.04526659174371259
-22,29,1.0801784697246026,0.02858602683376917,1.080555491938061,0.02920424206382342
-21,29,0.7529281012779855,0.019925617395909426,0.7534651555053881,0.02036395071998489
-20,29,0.5502381762864488,0.014561596729750464,0.5503394722168528,0.014874059947695008
-19,29,0.4249225386308717,0.011245222370218431,0.42489466278929294,0.011483655098054345
-18,29,0.33776642255543105,0.008938708083283186,0.3377629955159647,0.009128741980255246
-17,29,0.27919844487640716,0.007388755155635014,0.2790968815147797,0.007543169182729104
-16,29,0.23533048712496088,0.006227826056811916,0.23533377099151892,0.006360380808857764
-15,29,0.20416247639230592,0.005402990517008908,0.20407741832331056,0.005515613375657847
-14,29,0.17951194582648844,0.004750634681402628,0.17951063385757032,0.004851645328093308
-13,29,0.1612733283551283,0.004267964805025553,0.16122307121109392,0.004357386208344512
-12,29,0.14631033785035855,0.003871981678096691,0.1463093773496454,0.003954312855013699
-11,29,0.13494928196182734,0.0035713207617831992,0.134931812893583,0.00364681069621606
-10,29,0.12543105788637288,0.003319428860160554,0.12543109209451755,0.0033900341104073474
-9,29,0.11810562414370801,0.003125567335045908,0.11810880831613976,0.0031921342806260833
-8,29,0.11191265021951813,0.0029616754192749333,0.11191215448193409,0.0030246569229984053
-7,29,0.10714972272404794,0.002835628495540635,0.10716388596046035,0.0028963251674155085
-6,29,0.10313972534685134,0.0027295072425803616,0.10313961276381314,0.002787560879562925
-5,29,0.10013589089885606,0.0026500132565944294,0.10015450878081651,0.002706882284196428
-4,29,0.09767018642496768,0.002584760433815349,0.0976700894028356,0.002639735723520979
-3,29,0.0959703126264578,0.002539774684348769,0.09598779695990728,0.002594268298578924
-2,29,0.09467845726871532,0.002505586804330025,0.09467822533744041,0.0025588744229771807
-1,29,0.0940307574057599,0.0024884459649394818,0.0940438506118721,0.0025417291368878565
0,29,0.09372531675240674,0.002480362731513154,0.09372532569449396,0.00253312034367004
1,29,0.09403853814479757,0.0024886518757414014,0.09404385061187212,0.002541729136887857
2,29,0.09467845739412221,0.0025055868076488143,0.09467822533744041,0.0025588744229771807
3,29,0.09599377341325267,0.0025403955546027656,0.09598779695990728,0.002594268298578924
