track,target_real,target_imag,radius,site_count,boundary_length,inverse_boundary_length,eigenvalue_real,eigenvalue_imag,target_distance,normalized_residual,gaussian_amplitude,gaussian_center,gaussian_sigma,kappa,gaussian_r_squared,fit_point_count
main,1.5,0.5,65,8581,65,0.015384615384615385,1.504761131827609,0.5023474738350081,0.005308390498627595,8.344639567346816e-16,1.033467822435651,-6.792811716567825,7.045797253121438,0.010071860928468531,0.9857081735054201,33
main,1.5,0.5,70,9941,70,0.014285714285714285,1.5081984919450644,0.5021143390576155,0.008466740802920805,9.929185808091532e-16,1.0357478129298279,-7.002046739242054,7.341250440521994,0.009277477815182318,0.9862593410137663,34
main,1.5,0.5,75,11401,75,0.013333333333333334,1.5111892147872894,0.5019236536984241,0.011353368271467126,1.1574554978479538e-15,1.03488002354753,-7.215699925706755,7.622499918609754,0.008605480949931167,0.9867498653128528,35
main,1.5,0.5,80,12961,80,0.0125,1.4901381854245335,0.5035240854356369,0.010472562479095173,1.9731279237407774e-15,1.051423157901788,-9.502608366475085,7.746623887731872,0.008331919454096962,0.9880014142288303,36
main,1.5,0.5,85,14621,85,0.011764705882352941,1.4938002557271706,0.5032124847369971,0.006982613209531272,1.1506876930566514e-15,1.0265009258919895,-9.796468111661541,8.048748967841204,0.007718150441054552,0.9891257856438547,38
main,1.5,0.5,90,16381,90,0.011111111111111112,1.4970657133443843,0.5029530208360194,0.004162976127158221,2.6970982587747794e-15,1.0302697952094404,-10.032911059165148,8.30135803999054,0.00725557295503228,0.9892580249907802,39
main,1.5,0.5,95,18241,95,0.010526315789473684,1.4999924183589133,0.5027199029586882,0.0027199135254566986,1.0107159336771502e-15,1.0389656553567739,-10.266626303245582,8.545750741258397,0.00684651496282279,0.9894209065961052,40
main,1.5,0.5,100,20201,100,0.01,1.5026474388366708,0.5023352980303318,0.0035302336019567915,9.47925482992314e-16,1.0378218316701044,-10.49267945089367,8.78726860869638,0.006475334384079699,0.9896888348892705,41
upper,1.7,0.6,40,3281,40,0.025,1.7082473370837503,0.610187625587672,0.013107489618061664,1.0289882375486549e-15,1.016964504400831,1.3542887295373855,6.325131373010551,0.012497723262932347,0.9657518113096591,28
upper,1.7,0.6,42,3613,42,0.023809523809523808,1.708956306323923,0.580394413590659,0.021554452937202546,1.1385731699236794e-15,0.9744866704671321,2.838076543086846,6.5743459842724565,0.011568176146332418,0.9663574262344514,29
upper,1.7,0.6,45,4141,45,0.022222222222222223,1.6925110656453837,0.5986726128317399,0.00760566200026096,1.0000693825836556e-15,1.0845373688400377,0.6183003748995038,6.529604410534323,0.011727252141060417,0.9622411415743024,31
upper,1.7,0.6,48,4705,48,0.020833333333333332,1.7050400416722509,0.5883937065863277,0.012653381637423165,1.7158611326657405e-15,0.9535476512120323,2.5545732652621504,7.076039657699796,0.009985952314040382,0.9734137708087832,32
upper,1.7,0.6,52,5513,52,0.019230769230769232,1.6913322458177487,0.5920608820784542,0.011754129314251406,1.1524046995212513e-15,1.0542908020461286,1.079934086617283,7.1088242162956,0.00989405804017383,0.9670482569158854,34
upper,1.7,0.6,56,6385,56,0.017857142857142856,1.7121710126577965,0.5972248194952764,0.012483396010302685,3.0667478995710273e-15,0.9866071868069793,3.017783742806952,7.673814287904335,0.008490777001067866,0.9722423500877295,35
upper,1.7,0.6,60,7321,60,0.016666666666666666,1.6998948356576289,0.5997703336848007,0.00025259880293372475,1.1598346457543775e-15,0.9912096401986064,1.9707013055979519,7.859629491373672,0.008094049521773278,0.9753744233369891,36
upper,1.7,0.6,65,8581,65,0.015384615384615385,1.6894848764336505,0.5924446853503527,0.012947996102516113,2.6183506673656214e-15,0.9993326448397749,1.7157282924892405,8.11488483728501,0.007592858081604576,0.9770476388711308,37
upper,1.7,0.6,70,9941,70,0.014285714285714285,1.6886482983955162,0.6060218164437046,0.012850035120532143,4.107394288122671e-15,1.0135399706692436,0.5872543525619575,8.383303077996732,0.007114422777140884,0.9778197622098964,39
upper,1.7,0.6,75,11401,75,0.013333333333333334,1.704368283898873,0.6004730716399312,0.004393825326257337,1.0037265293228174e-14,1.0392682987424904,2.877806625181461,8.778687621870036,0.006487999583741835,0.9747802523591987,41
upper,1.7,0.6,80,12961,80,0.0125,1.6956427658984046,0.5944416591465062,0.007062622888114885,1.0492232683743436e-15,1.016354384793095,2.5200308178017026,9.056850917585068,0.006095587451612525,0.9777333074367238,43
upper,1.7,0.6,85,14621,85,0.011764705882352941,1.6944922231389685,0.6054532904863733,0.007750740808444257,2.062732515060285e-15,1.0010512178777464,1.7885714136331636,9.377952356606048,0.005685307513283005,0.981648416712392,43
upper,1.7,0.6,90,16381,90,0.011111111111111112,1.7073685439631159,0.6009603293573003,0.007430859479956873,9.649479336624027e-16,0.9946377942737177,4.023944872466077,9.791945583653796,0.0052147323360959294,0.9804602430692234,46
upper,1.7,0.6,95,18241,95,0.010526315789473684,1.6998693258728061,0.5958341147236386,0.004167934244121742,1.4265845973771733e-15,1.0068805047666571,3.7147125524446474,9.98179974362853,0.00501825006462264,0.9812307949199067,47
upper,1.7,0.6,100,20201,100,0.01,1.698619938679938,0.6050921151751919,0.005275813321616938,1.0220982040179249e-15,1.045462123098462,2.6397144044174126,10.140889180702596,0.004862033319799599,0.9806455188609751,48
