radius,site_count,edge_coordinate,x_over_L,probability_over_max,gaussian_fit
45,4141,5.0,0.11703475770460735,0.316917895678108,0.19226495367885468
45,4141,7.0,0.13925697992682956,0.1639631491800858,0.09570874292784454
45,4141,9.0,0.1614792021490518,0.07034008679666676,0.04221509174315804
45,4141,11.0,0.183701424371274,0.024260368938434706,0.01649865357496416
45,4141,13.0,0.20592364659349624,0.006433507306381654,0.00571339053297518
45,4141,15.0,0.22814586881571847,0.0012209463304084507,0.0017530889764902056
45,4141,17.0,0.25036809103794067,0.00014475066538093798,0.0004766270078998683
45,4141,19.0,0.2725903132601629,7.869786898460365e-06,0.00011482011505569443
45,4141,21.0,0.2948125354823851,4.5500073031697205e-07,2.4508794393098977e-05
45,4141,23.0,0.3170347577046074,2.602926202758056e-07,4.635435689192197e-06
45,4141,25.0,0.33925697992682957,4.6241606023826684e-08,7.768261072789017e-07
45,4141,27.0,0.36147920214905177,2.0711770507793714e-09,1.1535109093874966e-07
45,4141,29.0,0.383701424371274,4.3690286493135395e-12,1.5176940818620043e-08
45,4141,31.0,0.4059236465934962,1.864377089494048e-11,1.7693404892264225e-09
45,4141,33.0,0.4281458688157185,1.1902750077209567e-12,1.8276929310911557e-10
45,4141,35.0,0.4503680910379407,8.333271075415288e-15,1.6728603560517592e-11
45,4141,37.0,0.47259031326016293,3.2070185771426516e-15,1.356690510372254e-12
45,4141,39.0,0.49481253548238513,4.3249269560829316e-17,9.749144919913655e-14
45,4141,41.0,0.5170347577046074,2.1775567353039036e-18,6.2075025409684225e-15
45,4141,43.0,0.5392569799268295,2.0041981590972112e-20,3.5021272869313494e-16
45,4141,45.0,0.5614792021490518,4.866547977320114e-22,1.7506994220137454e-17
48,4705,-48.0,-0.45293013977951263,3.260023908676194e-12,5.82203809569766e-12
48,4705,-46.0,-0.43209680644617926,3.0777293816737493e-11,5.967101728870679e-11
48,4705,-44.0,-0.41126347311284595,5.756725854727933e-10,5.481117220773985e-10
48,4705,-42.0,-0.39043013977951263,6.7202737341031615e-09,4.512237884973918e-09
48,4705,-40.0,-0.36959680644617926,5.688131352544827e-08,3.329140577466607e-08
48,4705,-38.0,-0.34876347311284595,3.8917678264595047e-07,2.201352190233507e-07
48,4705,-36.0,-0.32793013977951263,2.224634209197862e-06,1.3045603513106384e-06
48,4705,-34.0,-0.30709680644617926,1.0887811434362764e-05,6.928768791047514e-06
48,4705,-32.0,-0.28626347311284595,4.650804180751917e-05,3.298110581562481e-05
48,4705,-30.0,-0.26543013977951263,0.0001756748139373606,0.00014069919271421618
48,4705,-28.0,-0.2445968064461793,0.0005927508568807175,0.0005379417451016317
48,4705,-26.0,-0.22376347311284595,0.0018008204737664081,0.0018433004903436123
48,4705,-24.0,-0.2029301397795126,0.004956437357684822,0.005660753958588372
48,4705,-22.0,-0.1820968064461793,0.01241802121310203,0.01558007946625208
48,4705,-20.0,-0.16126347311284595,0.02842610804160522,0.038431055037518126
48,4705,-18.0,-0.1404301397795126,0.05961232045620822,0.08495954837636896
48,4705,-16.0,-0.11959680644617927,0.11473684694991788,0.16832915073401825
48,4705,-14.0,-0.09876347311284595,0.20288994765716242,0.29889848835972443
48,4705,-12.0,-0.07793013977951262,0.32969180107059115,0.4756695536039763
48,4705,-10.0,-0.05709680644617929,0.4920416522622265,0.6784287423836524
48,4705,-8.0,-0.03626347311284595,0.6735047277599772,0.867202204064977
48,4705,-6.0,-0.015430139779512622,0.8436053257286955,0.9934677101961152
48,4705,-4.0,0.005403193553820712,0.9638045138066942,1.0200099038411956
48,4705,-2.0,0.026236526887154044,1.0,0.938582106079891
48,4705,0.0,0.047069860220487376,0.9369670160565682,0.7740293005361566
48,4705,2.0,0.06790319355382071,0.787139665643268,0.5720839728977876
48,4705,4.0,0.08873652688715405,0.5875855530992433,0.37894781761919344
48,4705,6.0,0.10956986022048738,0.38537047996667745,0.22496569038859848
48,4705,8.0,0.1304031935538207,0.21893222182510397,0.11969345862033332
48,4705,10.0,0.15123652688715405,0.10581278300521066,0.05707445764274997
48,4705,12.0,0.1720698602204874,0.042500932544783876,0.024391045666390564
48,4705,14.0,0.1929031935538207,0.01374376454841271,0.009341923242222553
48,4705,16.0,0.21373652688715405,0.0034160160990624453,0.0032067080282219087
48,4705,18.0,0.2345698602204874,0.0006044104376156415,0.0009865061403062129
48,4705,20.0,0.25540319355382074,6.505287618355548e-05,0.00027199280490127105
48,4705,22.0,0.27623652688715405,2.576395261880008e-06,6.720975121177009e-05
48,4705,24.0,0.29706986022048737,3.063803475120614e-08,1.488416271459397e-05
48,4705,26.0,0.31790319355382074,8.935609961269796e-08,2.9541584099188857e-06
48,4705,28.0,0.33873652688715405,1.7438003925354234e-08,5.254850917107683e-07
48,4705,30.0,0.35956986022048737,8.651744241125898e-10,8.377303858930595e-08
48,4705,32.0,0.38040319355382074,1.2912847753555663e-11,1.1969207236392143e-08
48,4705,34.0,0.40123652688715405,6.767116492623558e-12,1.5326526972413966e-09
48,4705,36.0,0.42206986022048737,4.371700526904775e-13,1.7588927970720021e-10
48,4705,38.0,0.44290319355382074,6.842809750820898e-15,1.809056938787119e-11
48,4705,40.0,0.46373652688715405,1.0369144174844702e-15,1.6675633869187167e-12
