delta,radius,site_count,inverse_boundary_length,realization,seed,probe_index,real_E,imag_E,finite_potential,geometry_potential,amoeba_potential,absolute_difference
0.0,42,3613,0.023809523809523808,0,561572463,4,0.16,-0.14,0.13156625035126268,0.06625056070992372,0.31301879122765136,0.06531568964133896
0.0,42,3613,0.023809523809523808,0,561572463,5,-0.16,-0.06000000000000001,0.111859153070515,0.03149805697907505,0.3110250093502154,0.08036109609143996
0.0,42,3613,0.023809523809523808,0,561572463,6,-0.08,-0.06000000000000001,0.105084515729265,0.028361901098260117,0.31018502348809524,0.07672261463100488
0.0,42,3613,0.023809523809523808,0,561572463,7,0.0,-0.06000000000000001,0.09589157739613226,0.028347487609051127,0.3108631341486675,0.06754408978708112
0.0,42,3613,0.023809523809523808,0,561572463,8,0.07999999999999999,-0.06000000000000001,0.10508451573090884,0.028361901098260114,0.3100553111750942,0.07672261463264872
0.0,42,3613,0.023809523809523808,0,561572463,9,0.16,-0.06000000000000001,0.111859153070515,0.03149805697907504,0.31102500935021676,0.08036109609143996
0.0,42,3613,0.023809523809523808,0,561572463,10,-0.16,0.01999999999999999,0.10284909464881556,0.025533102161761113,0.31053033970976895,0.07731599248705445
0.0,42,3613,0.023809523809523808,0,561572463,11,-0.08,0.01999999999999999,0.09696107448257014,0.01381153579883153,0.3102205615316422,0.08314953868373862
0.0,42,3613,0.023809523809523808,0,561572463,12,0.0,0.01999999999999999,0.0676066902797505,0.009449963212444772,0.31041296635172294,0.05815672706730572
0.0,42,3613,0.023809523809523808,0,561572463,13,0.07999999999999999,0.01999999999999999,0.09696107447599782,0.01381153579883148,0.3102205615316422,0.08314953867716635
0.0,42,3613,0.023809523809523808,0,561572463,14,0.16,0.01999999999999999,0.10284909464881556,0.025533102161761127,0.3105303397097842,0.07731599248705442
0.0,42,3613,0.023809523809523808,0,561572463,15,-0.16,0.09999999999999998,0.12128669850379276,0.047333933742356823,0.3115241219099743,0.07395276476143593
0.0,42,3613,0.023809523809523808,0,561572463,16,-0.08,0.09999999999999998,0.1160623049680498,0.047261813482988746,0.3102874853590251,0.06880049148506105
0.0,42,3613,0.023809523809523808,0,561572463,17,0.0,0.09999999999999998,0.11183913035438017,0.0472378085554786,0.310321646783417,0.06460132179890157
0.0,42,3613,0.023809523809523808,0,561572463,18,0.07999999999999999,0.09999999999999998,0.11606230497142364,0.04726181348298877,0.31068284921704975,0.06880049148843487
0.0,42,3613,0.023809523809523808,0,561572463,19,0.16,0.09999999999999998,0.12128669850379276,0.04733393374235685,0.3115241219099534,0.0739527647614359
0.0,42,3613,0.023809523809523808,0,561572463,20,-0.16,0.18,0.14260801936029466,0.08515026247053452,0.31522304919731525,0.05745775688976014
0.0,42,3613,0.023809523809523808,0,561572463,21,-0.08,0.18,0.13978087362910072,0.08502077710574574,0.31434829377432116,0.05476009652335498
0.0,42,3613,0.023809523809523808,0,561572463,22,0.0,0.18,0.13864873630555655,0.08497767931497673,0.31454678782337747,0.05367105699057982
0.0,42,3613,0.023809523809523808,0,561572463,23,0.07999999999999999,0.18,0.13978087363053887,0.08502077710574574,0.3143482937743255,0.054760096524793134
0.0,42,3613,0.023809523809523808,0,561572463,24,0.16,0.18,0.14260801936029466,0.0851502624705345,0.31522304919731536,0.05745775688976015
0.0,46,4325,0.021739130434782608,0,343647873,0,-0.16,-0.14,0.13314010663355103,0.06625056070992372,0.31301879122762066,0.06688954592362731
0.0,46,4325,0.021739130434782608,0,343647873,1,-0.08,-0.14,0.1299363340135439,0.06614970249029017,0.3121849580039453,0.06378663152325373
0.0,46,4325,0.021739130434782608,0,343647873,2,0.0,-0.14,0.12810791719561399,0.06611613254671064,0.312906981203851,0.06199178464890334
0.0,46,4325,0.021739130434782608,0,343647873,3,0.07999999999999999,-0.14,0.12993633401555038,0.06614970249029024,0.31218338365071446,0.06378663152526014
0.0,46,4325,0.021739130434782608,0,343647873,4,0.16,-0.14,0.13314010663355103,0.06625056070992372,0.31301879122765136,0.06688954592362731
0.0,46,4325,0.021739130434782608,0,343647873,5,-0.16,-0.06000000000000001,0.11366762932605622,0.03149805697907505,0.3110250093502154,0.08216957234698116
0.0,46,4325,0.021739130434782608,0,343647873,6,-0.08,-0.06000000000000001,0.10743015965184553,0.028361901098260117,0.31018502348809524,0.07906825855358542
0.0,46,4325,0.021739130434782608,0,343647873,7,0.0,-0.06000000000000001,0.0993386326556797,0.028347487609051127,0.3108631341486675,0.07099114504662857
0.0,46,4325,0.021739130434782608,0,343647873,8,0.07999999999999999,-0.06000000000000001,0.10743015964449663,0.028361901098260114,0.3100553111750942,0.07906825854623652
0.0,46,4325,0.021739130434782608,0,343647873,9,0.16,-0.06000000000000001,0.11366762932605622,0.03149805697907504,0.31102500935021676,0.08216957234698118
0.0,46,4325,0.021739130434782608,0,343647873,10,-0.16,0.01999999999999999,0.10506575926580705,0.025533102161761113,0.31053033970976895,0.07953265710404595
0.0,46,4325,0.021739130434782608,0,343647873,11,-0.08,0.01999999999999999,0.09933716298022649,0.01381153579883153,0.3102205615316422,0.08552562718139496
0.0,46,4325,0.021739130434782608,0,343647873,12,0.0,0.01999999999999999,0.07335432719509576,0.009449963212444772,0.31041296635172294,0.06390436398265098
