epsilon,epsilon_out,success_probability,identity
0.16425,0.2142161270772878,0.10125604151432743,0.16425
0.1645,0.21505904090598657,0.10102577977526306,0.1645
0.16475,0.21590244933440933,0.10079671597611428,0.16475
0.165,0.21674633619119482,0.10056884477093506,0.165
0.16525,0.21759068527758443,0.10034216083367486,0.16525
0.1655,0.21843548036851101,0.1001166588581194,0.1655
0.16575,0.2192807052136903,0.09989233355783148,0.16575
0.166,0.22012634353871657,0.0996691796660921,0.166
0.16625,0.22097237904616077,0.09944719193584159,0.16625
0.1665,0.2218187954166739,0.09922636513962056,0.1665
0.16675,0.22266557631009035,0.0990066940695116,0.16675
0.167,0.2235127053665358,0.09878817353708068,0.167
0.16725,0.22436016620753757,0.09857079837331888,0.16725
0.1675,0.22520794243713788,0.09835456342858395,0.1675
0.16775,0.22605601764300837,0.09813946357254233,0.16775
0.168,0.2269043753975673,0.09792549369411138,0.168
0.16825,0.2277529992590991,0.09771264870140128,0.16825
0.1685,0.2286018727728758,0.09750092352165743,0.1685
0.16875,0.22945097947227985,0.0972903131012028,0.16875
0.169,0.23030030287992811,0.09708081240538069,0.169
0.16925,0.23114982650879792,0.09687241641849731,0.16925
0.1695,0.23199953386335503,0.09666512014376444,0.1695
0.16975,0.23284940844068114,0.09645891860324254,0.16975
0.17,0.23369943373160257,0.09625380683778396,0.17
0.17025,0.23454959322182078,0.09604977990697591,0.17025
0.1705,0.23539987039304333,0.0958468328890838,0.1705
0.17075,0.23625024872411401,0.0956449608809948,0.17075
0.171,0.2371007116921445,0.09544415899816153,0.171
0.17125,0.2379512427736453,0.09524442237454558,0.17125
0.1715,0.23880182544565795,0.09504574616256145,0.1715
0.17175,0.2396524431868858,0.09484812553302044,0.17175
0.17200000000000001,0.24050307947882438,0.09465155567507497,0.17200000000000001
0.17225000000000001,0.24135371780689205,0.09445603179616263,0.17225000000000001
0.17250000000000001,0.24220434166156,0.09426154912195053,0.17250000000000001
0.17275000000000001,0.24305493453948068,0.09406810289627983,0.17275000000000001
0.17300000000000001,0.24390547994461567,0.0938756883811104,0.17300000000000001
0.17325000000000002,0.24475596138936206,0.09368430085646559,0.17325000000000002
0.17350000000000002,0.24560636239567862,0.09349393562037689,0.17350000000000002
0.17375000000000002,0.24645666649620923,0.09330458798882905,0.17375000000000002
0.17400000000000002,0.24730685723540496,0.09311625329570533,0.17400000000000002
0.17425000000000002,0.2481569181706447,0.09292892689273258,0.17425000000000002
0.17450000000000002,0.24900683287335423,0.09274260414942656,0.17450000000000002
0.17475000000000002,0.2498565849301223,0.09255728045303757,0.17475000000000002
0.17500000000000002,0.2507061579438148,0.09237295120849606,0.17500000000000002
0.17525000000000002,0.25155553553468635,0.09218961183835835,0.17525000000000002
0.17550000000000002,0.2524047013414907,0.09200725778275241,0.17550000000000002
0.17575000000000002,0.2532536390225861,0.09182588449932395,0.17575000000000002
0.176,0.2541023322570392,0.09164548746318263,0.176
0.17625,0.2549507647457267,0.09146606216684802,0.17625
0.1765,0.255798920212431,0.09128760412019638,0.1765
0.17675,0.25664678240493666,0.09111010885040668,0.17675
0.177,0.25749433509611924,0.09093357190190761,0.177
0.17725,0.25834156208503317,0.09075798883632412,0.17725
0.1775,0.2591884471979948,0.09058335523242439,0.1775
0.17775,0.26003497428966227,0.09040966668606665,0.17775
0.178,0.2608811272441105,0.09023691881014646,0.178
0.17825,0.261726889975902,0.09006510723454389,0.17825
0.1785,0.2625722464311537,0.08989422760607088,0.1785
0.17875,0.2634171805885997,0.08972427558841865,0.17875
0.179,0.2642616764606488,0.08955524686210535,0.179
0.17925,0.26510571809443617,0.08938713712442385,0.17925
0.1795,0.2659492895728723,0.08921994208938952,0.1795
0.17975,0.26679237501568576,0.08905365748768813,0.17975
0.18,0.26763495858046055,0.088888279066624,0.18
0.18025,0.26847702446366783,0.08872380259006829,0.18025
0.1805,0.26931855690169315,0.08856022383840724,0.1805
0.18075,0.2701595401718578,0.08839753860849059,0.18075
0.181,0.27099995859343406,0.08823574271358013,0.181
0.18125,0.27183979652865414,0.0880748319832986,0.18125
0.1815,0.2726790383837137,0.08791480226357834,0.1815
0.18175,0.2735176686097703,0.08775564941661015,0.18175
0.182,0.27435567170393327,0.08759736932079246,0.182
0.18225,0.27519303221024866,0.0874399578706805,0.18225
0.1825,0.2760297347206772,0.08728341097693562,0.1825
0.18275,0.27686576387606643,0.0871277245662746,0.18275
0.183,0.27770110436711504,0.08697289458141916,0.183
0.18325,0.27853574093533023,0.0868189169810458,0.18325
0.1835,0.2793696583739788,0.08666578773973543,0.1835
0.18375,0.2802028415290314,0.08651350284792325,0.18375
0.184,0.2810352753000986,0.08636205831184873,0.184
0.18425,0.2818669446413591,0.08621145015350591,0.18425
0.1845,0.28269783456248254,0.08606167441059348,0.1845
0.18475,0.28352793012954325,0.08591272713646514,0.18475
0.185,0.28435721646592654,0.0857646044000801,0.185
0.18525,0.28518567875322676,0.0856173022859538,0.18525
0.1855,0.28601330223213817,0.08547081689410846,0.1855
0.18575,0.28684007220333824,0.085325144340024,0.18575
0.186,0.2876659740283619,0.08518028075458886,0.186
0.18625,0.28849099313046694,0.08503622228405129,0.18625
0.1865,0.2893151149954931,0.08489296508997037,0.1865
0.18675,0.29013832517271143,0.0847505053491673,0.18675
0.187,0.2909606092756657,0.08460883925367685,0.187
0.18725,0.29178195298300397,0.08446796301069895,0.18725
0.1875,0.2926023420393034,0.08432787284255028,0.1875
0.18775,0.2934217622558851,0.08418856498661599,0.18775
0.188,0.2942401995116207,0.0840500356953016,0.188
0.18825,0.29505763975372884,0.08391228123598508,0.18825
0.1885,0.2958740689985636,0.08377529789096891,0.1885
0.18875,0.2966894733323952,0.08363908195743217,0.18875
0.189,0.29750383891217796,0.08350362974738303,0.189
0.18925,0.2983171519663122,0.08336893758761123,0.18925
0.1895,0.29912939879539535,0.08323500181964054,0.1895
0.18975,0.29994056577296413,0.08310181879968145,0.18975
0.19,0.3007506393462273,0.08296938489858399,0.19
0.19025,0.3015596060367879,0.08283769650179071,0.19025
0.1905,0.30236745244135715,0.08270675000928958,0.1905
0.19075,0.30317416523245855,0.08257654183556719,0.19075
0.191,0.3039797311591213,0.08244706840956195,0.191
0.19125,0.30478413704756435,0.08231832617461758,0.19125
0.1915,0.3055873698018711,0.08219031158843647,0.1915
0.19175,0.3063894164046537,0.08206302112303324,0.19175
0.192,0.30719026391770793,0.08193645126468851,0.192
0.19225,0.3079898994826565,0.08181059851390277,0.19225
0.1925,0.30878831032158405,0.08168545938535017,0.1925
0.19275,0.30958548373766187,0.08156103040783266,0.19275
0.193,0.31038140711576134,0.08143730812423403,0.193
