epsilon,epsilon_out,success_probability,identity
0.22225,0.2686534039466422,0.07241893444688148,0.22225
0.2225,0.2691365416986958,0.07238327089843749,0.2225
0.22275,0.26961950979331856,0.07234770360781902,0.22275
0.223,0.2701023059157346,0.07231223240166668,0.223
0.22325,0.27058492775431675,0.07227685710677736,0.22325
0.2235,0.271067373000615,0.07224157755010414,0.2235
0.22375,0.27154963934938403,0.07220639355875651,0.22375
0.224,0.2720317244986116,0.07217130496000002,0.224
0.22425,0.2725136261495457,0.07213631158125648,0.22425
0.2245,0.2729953420067226,0.07210141325010416,0.2245
0.22475,0.27347686977799424,0.07206660979427734,0.22475
0.225,0.2739582071745556,0.07203190104166668,0.225
0.22525,0.2744393519109722,0.07199728682031903,0.22525
0.2255,0.27492030170520765,0.0719627669584375,0.2255
0.22575,0.27540105427865036,0.07192834128438151,0.22575
0.226,0.27588160735614087,0.07189400962666669,0.226
0.22625,0.27636195866599905,0.07185977181396482,0.22625
0.2265,0.27684210594005054,0.07182562767510416,0.2265
0.22675,0.2773220469136542,0.07179157703906901,0.22675
0.227,0.27780177932572836,0.071757619735,0.227
0.22725,0.2782813009187776,0.07172375559219403,0.22725
0.2275,0.27876060943891967,0.07168998444010416,0.2275
0.22775,0.279239702635911,0.07165630610833984,0.22775
0.228,0.27971857826317414,0.07162272042666668,0.228
0.22825,0.2801972340778233,0.07158922722500649,0.22825
0.2285,0.28067566784069087,0.07155582633343749,0.2285
0.22875,0.2811538773163532,0.07152251758219401,0.22875
0.229,0.28163186027315684,0.07148930080166667,0.229
0.22925,0.2821096144832443,0.07145617582240237,0.22925
0.2295,0.28258713772257965,0.07142314247510416,0.2295
0.22975,0.2830644277709745,0.07139020059063152,0.22975
0.23,0.28354148241211313,0.07135735,0.23
0.23025,0.2840182994335786,0.07132459053438149,0.23025
0.2305,0.2844948766268775,0.07129192202510416,0.2305
0.23075,0.28497121178746543,0.07125934430365234,0.23075
0.231,0.28544730271477226,0.07122685720166667,0.231
0.23125,0.285923147212227,0.07119446055094403,0.23125
0.2315,0.286398743087283,0.07116215418343749,0.2315
0.23175,0.2868740881514425,0.0711299379312565,0.23175
0.232,0.28734918022028155,0.07109781162666667,0.232
0.23225,0.2878240171134747,0.07106577510208982,0.23225
0.2325,0.28829859665481916,0.07103382819010416,0.2325
0.23275,0.28877291667226,0.07100197072344401,0.23275
0.233,0.2892469749979135,0.07097020253500001,0.233
0.23325,0.2897207694680921,0.07093852345781904,0.23325
0.2335,0.29019429792332835,0.07090693332510416,0.2335
0.23375,0.29066755820839846,0.07087543197021484,0.23375
0.234,0.29114054817234664,0.07084401922666668,0.234
0.23425,0.29161326566850915,0.07081269492813148,0.23425
0.23450000000000001,0.2920857085545371,0.07078145890843748,0.23450000000000001
0.23475000000000001,0.29255787469242056,0.07075031100156902,0.23475000000000001
0.23500000000000001,0.2930297619485124,0.07071925104166667,0.23500000000000001
0.23525000000000001,0.2935013681935505,0.07068827886302737,0.23525000000000001
0.23550000000000001,0.2939726913026825,0.07065739430010416,0.23550000000000001
0.23575000000000002,0.29444372915548717,0.07062659718750651,0.23575000000000002
0.23600000000000002,0.29491447963599904,0.07059588736000001,0.23600000000000002
0.23625000000000002,0.2953849406327302,0.0705652646525065,0.23625000000000002
0.23650000000000002,0.2958551100386935,0.07053472890010415,0.23650000000000002
0.23675000000000002,0.2963249857514253,0.07050427993802734,0.23675000000000002
0.23700000000000002,0.2967945656730079,0.07047391760166667,0.23700000000000002
0.23725000000000002,0.2972638477100918,0.07044364172656903,0.23725000000000002
0.23750000000000002,0.29773282977391835,0.07041345214843749,0.23750000000000002
0.23775000000000002,0.29820150978034193,0.07038334870313151,0.23775000000000002
0.23800000000000002,0.2986698856498516,0.07035333122666669,0.23800000000000002
0.23825000000000002,0.2991379553075938,0.07032339955521481,0.23825000000000002
0.23850000000000002,0.29960571668339353,0.07029355352510416,0.23850000000000002
0.23875000000000002,0.3000731677117765,0.070263792972819,0.23875000000000002
0.23900000000000002,0.30054030633199075,0.070234117735,0.23900000000000002
0.23925000000000002,0.30100713048802796,0.07020452764844402,0.23925000000000002
0.23950000000000002,0.301473638128645,0.07017502255010415,0.23950000000000002
0.23975000000000002,0.30193982720738527,0.07014560227708985,0.23975000000000002
0.24,0.30240569568259956,0.07011626666666666,0.24
0.24025,0.3028712415174676,0.07008701555625652,0.24025
0.2405,0.30333646268001835,0.07005784878343753,0.2405
0.24075,0.3038013571431515,0.070028766185944,0.24075
0.241,0.3042659228846576,0.06999976760166667,0.241
0.24125,0.3047301578872388,0.06997085286865236,0.24125
0.2415,0.30519406013852957,0.06994202182510413,0.2415
0.24175,0.3056576276311164,0.0699132743093815,0.24175
0.242,0.3061208583625588,0.06988461016,0.242
0.24225,0.30658375033540886,0.06985602921563151,0.24225
0.2425,0.30704630155723117,0.06982753131510419,0.2425
0.24275,0.3075085100406232,0.06979911629740233,0.24275
0.243,0.3079703738032342,0.06977078400166667,0.243
0.24325,0.3084318908677858,0.06974253426719401,0.24325
0.2435,0.30889305926209054,0.06971436693343748,0.2435
0.24375,0.30935387701907185,0.06968628184000651,0.24375
0.244,0.30981434217678305,0.06965827882666667,0.244
0.24425,0.31027445277842636,0.06963035773333985,0.24425
0.2445,0.3107342068723722,0.06960251840010419,0.2445
0.24475,0.3111936025121779,0.069574760667194,0.24475
0.245,0.3116526377566062,0.069547084375,0.245
0.24525,0.3121113106696442,0.06951948936406903,0.24525
0.2455,0.3125696193205219,0.06949197547510415,0.2455
0.24575,0.3130275617837301,0.06946454254896484,0.24575
0.246,0.3134851361390394,0.06943719042666667,0.246
0.24625,0.31394234047151726,0.06940991894938152,0.24625
0.2465,0.314399172871547,0.06938272795843752,0.2465
0.24675,0.3148556314348454,0.069355617295319,0.24675
0.247,0.31531171426248006,0.06932858680166666,0.247
0.24725,0.3157674194608873,0.06930163631927735,0.24725
0.2475,0.3162227451418898,0.06927476569010414,0.2475
0.24775,0.3166776894227135,0.0692479747562565,0.24775
0.248,0.3171322504260055,0.06922126336,0.248
0.24825,0.31758642627985056,0.06919463134375652,0.24825
0.2485,0.31804021511778857,0.06916807855010419,0.2485
0.24875,0.318493615078831,0.06914160482177734,0.24875
0.249,0.31894662430747756,0.06911521000166666,0.249
0.24925,0.3193992409537338,0.06908889393281901,0.24925
0.2495,0.3198514631731262,0.06906265645843748,0.2495
0.24975,0.3203032891267193,0.0690364974218815,0.24975
0.25,0.32075471698113206,0.06901041666666667,0.25
0.25025000000000003,0.32120574490855347,0.06898441403646483,0.25025000000000003
0.2505,0.3216563710867587,0.06895848937510418,0.2505
0.25075000000000003,0.3221065936991252,0.06893264252656901,0.25075000000000003
0.251,0.322556410934648,0.068906873335,0.251
0.25125000000000003,0.3230058209879557,0.06888118164469402,0.25125000000000003
0.2515,0.3234548220593255,0.06885556730010414,0.2515
0.25175000000000003,0.32390341235469894,0.06883003014583984,0.25175000000000003
0.252,0.3243515900856967,0.06880457002666666,0.252
0.25225000000000003,0.32479935346963423,0.0687791867875065,0.25225000000000003
0.2525,0.3252467007295357,0.06875388027343753,0.2525
0.25275000000000003,0.32569363009415053,0.06872865032969401,0.25275000000000003
0.253,0.3261401397979658,0.06870349680166667,0.253
0.25325000000000003,0.326586228081223,0.06867841953490236,0.25325000000000003
0.2535,0.3270318931899307,0.06865341837510415,0.2535
0.25375000000000003,0.3274771333758801,0.06862849316813151,0.25375000000000003
0.254,0.32792194689665854,0.06860364376,0.254
0.25425000000000003,0.32836633201566395,0.0685788699968815,0.25425000000000003
0.2545,0.3288102870021179,0.06855417172510418,0.2545
0.25475000000000003,0.3292538101310809,0.06852954879115235,0.25475000000000003
0.255,0.3296968996834644,0.06850500104166667,0.255
0.25525000000000003,0.3301395539460455,0.06848052832344402,0.25525000000000003
0.2555,0.3305817712114797,0.06845613048343747,0.2555
0.25575000000000003,0.3310235497783146,0.0684318073687565,0.25575000000000003
0.256,0.3314648879510023,0.06840755882666666,0.256
0.25625,0.3319057840399136,0.06838338470458985,0.25625
0.2565,0.3323462363613498,0.06835928485010419,0.2565
0.25675,0.33278624323755596,0.068335259110944,0.25675
0.257,0.33322580299673316,0.068311307335,0.257
0.25725,0.33366491397305137,0.06828742937031902,0.25725
0.2575,0.33410357450666184,0.06826362506510414,0.2575
0.25775,0.33454178294370857,0.06823989426771487,0.25775
0.258,0.3349795376363419,0.06821623682666667,0.258
0.25825,0.3354168369427285,0.06819265259063151,0.25825
0.2585,0.3358536792270651,0.06816914140843751,0.2585
0.25875,0.33629006285958885,0.068145703129069,0.25875
0.259,0.3367259862165895,0.06812233760166667,0.259
0.25925,0.3371614476804208,0.06809904467552735,0.25925
0.2595,0.3375964456395119,0.06807582420010415,0.2595
0.25975,0.3380309784883781,0.06805267602500653,0.25975
0.26,0.33846504462763266,0.0680296,0.26
0.26025,0.33889864246399676,0.06800659597500651,0.26025
0.2605,0.33933177041031115,0.06798366380010419,0.2605
0.26075,0.3397644268855465,0.06796080332552733,0.26075
0.261,0.34019661031481374,0.06793801440166666,0.261
0.26125,0.3406283191293749,0.06791529687906901,0.26125
0.2615,0.3410595517666532,0.06789265060843748,0.2615
0.26175,0.3414903066702428,0.06787007544063153,0.26175
0.262,0.34192058228991973,0.06784757122666667,0.262
0.26225,0.34235037708165067,0.06782513781771486,0.26225
0.2625,0.3427796895076039,0.06780277506510418,0.2625
0.26275,0.3432085180361579,0.067780482820319,0.26275
0.263,0.34363686114191155,0.067758260935,0.263
0.26325,0.34406471730569305,0.06773610926094402,0.26325
0.2635,0.3444920850145696,0.06771402765010415,0.2635
0.26375,0.34491896276185635,0.06769201595458986,0.26375
0.264,0.3453453490471252,0.06767007402666665,0.264
0.26425,0.3457712423762138,0.06764820171875652,0.26425
0.2645,0.3461966412612345,0.06762639888343752,0.2645
0.26475,0.3466215442205827,0.06760466537344399,0.26475
0.265,0.3470459497789455,0.06758300104166666,0.265
0.26525,0.34746985646730966,0.06756140574115234,0.26525
0.2655,0.3478932628229707,0.06753987932510415,0.2655
0.26575,0.3483161673895399,0.06751842164688153,0.26575
0.266,0.3487385687169534,0.06749703256,0.266
0.26625,0.3491604653614789,0.06747571191813152,0.26625
0.2665,0.3495818558857242,0.06745445957510418,0.2665
0.26675,0.3500027388586448,0.06743327538490233,0.26675
0.267,0.3504231128555509,0.06741215920166667,0.267
0.26725,0.3508429764581147,0.06739111087969402,0.26725
0.2675,0.3512623282543784,0.06737013027343747,0.2675
0.26775,0.3516811668387604,0.06734921723750653,0.26775
0.268,0.35209949081206277,0.06732837162666666,0.268
0.26825,0.35251729878147786,0.06730759329583985,0.26825
0.2685,0.35293458936059546,0.0672868821001042,0.2685
0.26875,0.3533513611694083,0.06726623789469399,0.26875
0.269,0.3537676128343201,0.06724566053499999,0.269
0.26925,0.3541833429881504,0.06722514987656901,0.26925
0.2695,0.35459855027014175,0.06720470577510414,0.2695
0.26975,0.355013233325965,0.06718432808646486,0.26975
0.27,0.3554273908077267,0.06716401666666666,0.27
0.27025,0.3558410213739728,0.06714377137188152,0.27025
0.2705,0.35625412368969633,0.06712359205843753,0.2705
0.27075,0.35666669642634186,0.067103478582819,0.27075
0.271,0.35707873826181136,0.06708343080166666,0.271
0.27125,0.35749024788046946,0.06706344857177736,0.27125
0.2715,0.3579012239731488,0.06704353175010415,0.2715
0.27175,0.3583116652371545,0.06702368019375654,0.27175
0.272,0.3587215703762706,0.06700389376,0.272
0.27225,0.35913093810076313,0.06698417230625651,0.27225
0.2725,0.3595397671273859,0.06696451569010418,0.2725
0.27275,0.35994805617938497,0.06694492376927731,0.27275
0.273,0.3603558039865029,0.06692539640166667,0.273
0.27325,0.3607630092849834,0.06690593344531902,0.27325
0.2735,0.3611696708175755,0.06688653475843748,0.2735
0.27375,0.361575787333537,0.06686720019938153,0.27375
0.274,0.3619813575886401,0.06684792962666668,0.274
0.27425,0.362386380345173,0.06682872289896484,0.27425
0.2745,0.3627908543719461,0.06680957987510418,0.2745
0.27475,0.36319477844429354,0.06679050041406899,0.27475
