state,length,site,probability,probability_over_max
wing_max_real,80,59,1.1257887260846448e-16,5.958965048117758e-16
wing_max_real,80,60,5.248130907510446e-17,2.7779127576242863e-16
wing_max_real,80,61,2.432655563911654e-17,1.287640313282798e-16
wing_max_real,80,62,1.1206991594631374e-17,5.932025224592337e-17
wing_max_real,80,63,5.1286242809363405e-18,2.7146561452357186e-17
wing_max_real,80,64,2.3299487136496507e-18,1.233276069199266e-17
wing_max_real,80,65,1.0500380374036086e-18,5.558005529015943e-18
wing_max_real,80,66,4.690218494109116e-19,2.4826015243228095e-18
wing_max_real,80,67,2.0741754988006338e-19,1.0978915505755282e-18
wing_max_real,80,68,9.069700660147545e-20,4.800725747065814e-19
wing_max_real,80,69,3.9149571436021896e-20,2.072244306863874e-19
wing_max_real,80,70,1.664768413500723e-20,8.811863682240659e-20
wing_max_real,80,71,6.955367843561635e-21,3.6815783384803324e-20
wing_max_real,80,72,2.8451814121241717e-21,1.5059963026426256e-20
wing_max_real,80,73,1.1341317861917806e-21,6.0031260904348844e-21
wing_max_real,80,74,4.376200164064302e-22,2.316387010902228e-21
wing_max_real,80,75,1.618742123034875e-22,8.568239767890071e-22
wing_max_real,80,76,5.654038251372058e-23,2.992765475439103e-22
wing_max_real,80,77,1.8182097156571832e-23,9.624051027257006e-23
wing_max_real,80,78,5.133992881862073e-24,2.717497824543078e-23
wing_max_real,80,79,1.1443457842272304e-24,6.057190281951946e-24
wing_max_real,80,80,1.4338967787186152e-25,7.589826216069633e-25
central_max_imag,80,1,0.1063692207030462,1.0
central_max_imag,80,2,0.04269603881070441,0.40139467534410245
central_max_imag,80,3,0.033229074282236516,0.31239369869036654
central_max_imag,80,4,0.041146618289066295,0.38682823863057536
central_max_imag,80,5,0.027485306739451824,0.25839530042420156
central_max_imag,80,6,0.02821020823680081,0.26521025584605906
central_max_imag,80,7,0.02440598312325011,0.22944591454124635
central_max_imag,80,8,0.02130468822700291,0.20028997191283163
central_max_imag,80,9,0.019460722103421604,0.1829544484278081
central_max_imag,80,10,0.0170495626358529,0.1602866179066087
central_max_imag,80,11,0.015269001701808144,0.1435471802922673
central_max_imag,80,12,0.013596211512649295,0.12782091870924017
central_max_imag,80,13,0.012084275886199702,0.11360688558521735
central_max_imag,80,14,0.010778972252473552,0.10133544441926012
central_max_imag,80,15,0.009592635300056784,0.09018243469919555
central_max_imag,80,16,0.008546470633662382,0.08034721489143737
central_max_imag,80,17,0.007615096713164915,0.0715911676595261
central_max_imag,80,18,0.0067851902486984325,0.06378903788005394
central_max_imag,80,19,0.006048842939574663,0.05686647791151333
central_max_imag,80,20,0.005393679420114159,0.05070714427035089
central_max_imag,80,21,0.004811829045601689,0.045237043326988365
central_max_imag,80,22,0.004295228526764516,0.04038037035878659
central_max_imag,80,23,0.0038367608010016437,0.036070216324258234
central_max_imag,80,24,0.0034303456431087785,0.03224941971404835
central_max_imag,80,25,0.0030704011767887906,0.028865504104429906
central_max_imag,80,26,0.002752072495885674,0.02587282747486426
central_max_imag,80,27,0.0024710457121730183,0.0232308340311292
central_max_imag,80,28,0.00222350589870757,0.020903658821709248
central_max_imag,80,29,0.0020061028010309873,0.018859805381403312
central_max_imag,80,30,0.0018158879248163784,0.01707155427871227
central_max_imag,80,31,0.0016502836948934594,0.015514673173178551
central_max_imag,80,32,0.001507045878543452,0.014168063548671775
central_max_imag,80,33,0.00138423292307266,0.013013472449300536
central_max_imag,80,34,0.0012801804923145775,0.012035253091573281
central_max_imag,80,35,0.0011934783170245466,0.011220147229962433
central_max_imag,80,36,0.001122951325308598,0.010557107759993573
central_max_imag,80,37,0.0010676436775059388,0.010037148626730172
central_max_imag,80,38,0.0010268057811320976,0.00965322274945173
central_max_imag,80,39,0.000999884165042725,0.009400126826482337
central_max_imag,80,40,0.0009865139600879946,0.009274430644199904
central_max_imag,80,41,0.0009865139600879816,0.009274430644199782
central_max_imag,80,42,0.000999884165042691,0.009400126826482018
central_max_imag,80,43,0.0010268057811320533,0.009653222749451315
central_max_imag,80,44,0.0010676436775058557,0.010037148626729392
central_max_imag,80,45,0.0011229513253085209,0.010557107759992846
central_max_imag,80,46,0.0011934783170244356,0.01122014722996139
central_max_imag,80,47,0.0012801804923144046,0.012035253091571656
central_max_imag,80,48,0.0013842329230724718,0.013013472449298766
central_max_imag,80,49,0.0015070458785432209,0.014168063548669601
central_max_imag,80,50,0.0016502836948931578,0.015514673173175715
central_max_imag,80,51,0.001815887924816056,0.01707155427870924
central_max_imag,80,52,0.0020061028010305362,0.01885980538139907
central_max_imag,80,53,0.0022235058987071167,0.020903658821704987
central_max_imag,80,54,0.0024710457121725226,0.02323083403112454
central_max_imag,80,55,0.0027520724958851883,0.025872827474859694
central_max_imag,80,56,0.00307040117678824,0.028865504104424726
central_max_imag,80,57,0.003430345643108173,0.03224941971404266
central_max_imag,80,58,0.0038367608010008844,0.03607021632425109
central_max_imag,80,59,0.004295228526763669,0.04038037035877863
central_max_imag,80,60,0.004811829045600858,0.04523704332698056
central_max_imag,80,61,0.005393679420113161,0.05070714427034151
central_max_imag,80,62,0.006048842939573644,0.056866477911503746
central_max_imag,80,63,0.006785190248697269,0.063789037880043
central_max_imag,80,64,0.007615096713163577,0.07159116765951351
central_max_imag,80,65,0.008546470633661018,0.08034721489142455
central_max_imag,80,66,0.009592635300055103,0.09018243469917975
central_max_imag,80,67,0.01077897225247174,0.10133544441924308
central_max_imag,80,68,0.012084275886197652,0.11360688558519808
central_max_imag,80,69,0.01359621151264705,0.12782091870921905
central_max_imag,80,70,0.015269001701805484,0.14354718029224228
central_max_imag,80,71,0.01704956263585011,0.16028661790658247
central_max_imag,80,72,0.019460722103418305,0.18295444842777708
central_max_imag,80,73,0.02130468822699942,0.2002899719127988
central_max_imag,80,74,0.02440598312324609,0.22944591454120855
central_max_imag,80,75,0.028210208236796333,0.265210255846017
central_max_imag,80,76,0.027485306739447223,0.2583953004241583
central_max_imag,80,77,0.04114661828905973,0.38682823863051363
central_max_imag,80,78,0.033229074282231284,0.31239369869031736
central_max_imag,80,79,0.04269603881069762,0.40139467534403855
central_max_imag,80,80,0.10636922070302944,0.9999999999998423
