panel,basis,fixed_momentum,reference_energy_real,reference_energy_imag,winding
normal_eq11_square,kx_fixed_ky_integrated,1.08646745936647,0.0,0.0,0
normal_eq11_square,kx_fixed_ky_integrated,1.1126473981463851,0.0,0.0,0
normal_eq11_square,kx_fixed_ky_integrated,1.1388273369263002,0.0,0.0,0
normal_eq11_square,kx_fixed_ky_integrated,1.1650072757062144,0.0,0.0,0
normal_eq11_square,kx_fixed_ky_integrated,1.1911872144861295,0.0,0.0,0
normal_eq11_square,kx_fixed_ky_integrated,1.2173671532660446,0.0,0.0,0
normal_eq11_square,kx_fixed_ky_integrated,1.2435470920459597,0.0,0.0,0
normal_eq11_square,kx_fixed_ky_integrated,1.2697270308258748,0.0,0.0,0
normal_eq11_square,kx_fixed_ky_integrated,1.2959069696057899,0.0,0.0,0
normal_eq11_square,kx_fixed_ky_integrated,1.322086908385704,0.0,0.0,0
normal_eq11_square,kx_fixed_ky_integrated,1.3482668471656192,0.0,0.0,0
normal_eq11_square,kx_fixed_ky_integrated,1.3744467859455343,0.0,0.0,0
normal_eq11_square,kx_fixed_ky_integrated,1.4006267247254494,0.0,0.0,0
normal_eq11_square,kx_fixed_ky_integrated,1.4268066635053644,0.0,0.0,0
normal_eq11_square,kx_fixed_ky_integrated,1.4529866022852795,0.0,0.0,0
normal_eq11_square,kx_fixed_ky_integrated,1.4791665410651937,0.0,0.0,0
normal_eq11_square,kx_fixed_ky_integrated,1.5053464798451088,0.0,0.0,0
normal_eq11_square,kx_fixed_ky_integrated,1.531526418625024,0.0,0.0,0
normal_eq11_square,kx_fixed_ky_integrated,1.557706357404939,0.0,0.0,0
normal_eq11_square,kx_fixed_ky_integrated,1.583886296184854,0.0,0.0,0
normal_eq11_square,kx_fixed_ky_integrated,1.6100662349647692,0.0,0.0,0
normal_eq11_square,kx_fixed_ky_integrated,1.6362461737446834,0.0,0.0,0
normal_eq11_square,kx_fixed_ky_integrated,1.6624261125245985,0.0,0.0,0
normal_eq11_square,kx_fixed_ky_integrated,1.6886060513045136,0.0,0.0,0
normal_eq11_square,kx_fixed_ky_integrated,1.7147859900844287,0.0,0.0,0
normal_eq11_square,kx_fixed_ky_integrated,1.7409659288643438,0.0,0.0,0
normal_eq11_square,kx_fixed_ky_integrated,1.7671458676442588,0.0,0.0,0
normal_eq11_square,kx_fixed_ky_integrated,1.793325806424173,0.0,0.0,0
normal_eq11_square,kx_fixed_ky_integrated,1.8195057452040881,0.0,0.0,0
normal_eq11_square,kx_fixed_ky_integrated,1.8456856839840032,0.0,0.0,0
normal_eq11_square,kx_fixed_ky_integrated,1.8718656227639183,0.0,0.0,0
normal_eq11_square,kx_fixed_ky_integrated,1.8980455615438334,0.0,0.0,0
normal_eq11_square,kx_fixed_ky_integrated,1.9242255003237476,0.0,0.0,0
normal_eq11_square,kx_fixed_ky_integrated,1.9504054391036627,0.0,0.0,0
normal_eq11_square,kx_fixed_ky_integrated,1.9765853778835778,0.0,0.0,0
normal_eq11_square,kx_fixed_ky_integrated,2.002765316663493,0.0,0.0,0
normal_eq11_square,kx_fixed_ky_integrated,2.028945255443408,0.0,0.0,0
normal_eq11_square,kx_fixed_ky_integrated,2.055125194223323,0.0,0.0,0
normal_eq11_square,kx_fixed_ky_integrated,2.0813051330032373,0.0,0.0,0
normal_eq11_square,kx_fixed_ky_integrated,2.1074850717831524,0.0,0.0,0
normal_eq11_square,kx_fixed_ky_integrated,2.1336650105630675,0.0,0.0,0
normal_eq11_square,kx_fixed_ky_integrated,2.1598449493429825,0.0,0.0,0
normal_eq11_square,kx_fixed_ky_integrated,2.1860248881228976,0.0,0.0,0
normal_eq11_square,kx_fixed_ky_integrated,2.2122048269028127,0.0,0.0,0
normal_eq11_square,kx_fixed_ky_integrated,2.238384765682727,0.0,0.0,0
normal_eq11_square,kx_fixed_ky_integrated,2.264564704462642,0.0,0.0,0
normal_eq11_square,kx_fixed_ky_integrated,2.290744643242557,0.0,0.0,0
normal_eq11_square,kx_fixed_ky_integrated,2.316924582022472,0.0,0.0,0
normal_eq11_square,kx_fixed_ky_integrated,2.3431045208023873,0.0,0.0,0
normal_eq11_square,kx_fixed_ky_integrated,2.3692844595823024,0.0,0.0,0
