geometry,real_energy,imag_energy,potential,density_raw,density_clipped,phi_cylinder_1,phi_cylinder_2,mu_1,mu_2
rhombus,0.39999999999999991,0.59999999999999964,0.45691360873549669,0.041744433443498062,0.041744433443498062,0.45691360873549669,0.52512663399408921,0.28898252104078326,-0.4305031525680369
rhombus,1,0.59999999999999964,0.57042849457780687,0.0070111935515811312,0.0070111935515811312,0.57042849457780687,0.57694141191340886,0.33603371177281949,-0.50172329571821173
rhombus,1.5999999999999996,0.59999999999999964,0.69596531236016335,-0.0015160686948979089,0,0.69596531236016335,0.70050431185153716,0.3588527030005999,-0.52805253809824493
rhombus,2.2000000000000002,0.59999999999999964,0.82976058638373895,0.0021009884317853716,0.0021009884317853716,0.82976058638373895,0.83459356531325546,0.38485011537618946,-0.47194827261245265
rhombus,2.7999999999999998,0.59999999999999964,0.97832589670687531,-0.0015206625044405753,0,0.98181959652502671,0.97832589670687531,0.14415210999991598,-0.37683636766341516
rhombus,3.3999999999999995,0.59999999999999964,1.1403799104101995,-0.0047070983279008053,0,1.1440101758637589,1.1403799104101995,0.5496832289406749,-0.71711919601279139
rhombus,4,0.59999999999999964,1.3194996007433923,0,0,1.3194996007433923,1.3195000552783693,0.14536864659770313,-0.48650955120632683
rhombus,-2,1.2000000000000002,0.87810982469539145,0,0,0.87810982469539145,0.87872358894744373,0.35009489440172931,-0.60528544148051389
rhombus,-1.3999999999999999,1.2000000000000002,0.66990248296127075,0.054840168637250608,0.054840168637250608,0.66990248296127075,0.67339956805862378,0.14356576389443995,-0.3038937973925902
rhombus,-0.80000000000000004,1.2000000000000002,0.54674362448721037,0.11564285324774293,0.11564285324774293,0.54674362448721037,0.57763210773395113,0.14384169432034266,-0.40793149063730327
rhombus,-0.20000000000000018,1.2000000000000002,0.56931278581864553,0.039711085898085773,0.039711085898085773,0.56931278581864553,0.58590505157772899,0.37204304695424961,-0.43006347871536343
rhombus,0.39999999999999991,1.2000000000000002,0.65269505496451286,0.0028358693012251026,0.0028358693012251026,0.65269505496451286,0.65793710733230881,0.49144049618269398,-0.51582397141317793
rhombus,1,1.2000000000000002,0.7553345322010272,-0.0026853976297438542,0,0.7553345322010272,0.75537401379393843,0.51542168826768953,-0.40784842040254876
rhombus,1.5999999999999996,1.2000000000000002,0.86422614299552925,-0.0063490506630990906,0,0.86428272564141317,0.86422614299552925,0.5234737713236981,-0.6753347507784786
rhombus,2.2000000000000002,1.2000000000000002,0.97265050772624817,0.010075321535384917,0.010075321535384917,0.98201619678694985,0.97265050772624817,0.59287365616573739,-0.29783880358011022
rhombus,2.7999999999999998,1.2000000000000002,1.0994918739908743,0.0071660539585099419,0.0071660539585099419,1.1082855657296511,1.0994918739908743,-0.40991666931596266,-0.8000529249061582
rhombus,3.3999999999999995,1.2000000000000002,1.2415509121538759,-0.0048294093048797514,0,1.2415509121538759,1.2463813506596213,-0.51892200477660155,-0.2079676861626662
rhombus,4,1.2000000000000002,1.3716763381510337,0,0,1.3842542059301257,1.3716763381510337,-0.69264533399591766,-0.90318929818409832
rhombus,-2,1.7999999999999998,0.93145525030355836,0,0,0.9326277920838757,0.93145525030355836,0.1438119944955796,-0.15315717038815335
rhombus,-1.3999999999999999,1.7999999999999998,0.73952579718393741,0.12895313900637137,0.12895313900637137,0.73952579718393741,0.74724003890899793,0.1441680945678146,-0.35844800987531017
rhombus,-0.80000000000000004,1.7999999999999998,0.72104034993940902,0.052177913892856385,0.052177913892856385,0.72198283717401956,0.72104034993940902,0.14410203087989668,-0.46147258931964669
rhombus,-0.20000000000000018,1.7999999999999998,0.77520356311810668,-0.00016656893729935228,0,0.77520356311810668,0.77863175812339513,0.57942757308019022,-0.51467919917555238
rhombus,0.39999999999999991,1.7999999999999998,0.83563387834043601,0.016714112795949171,0.016714112795949171,0.84730559436426933,0.83563387834043601,0.61032613140476255,-0.32121050631904069
rhombus,1,1.7999999999999998,0.92791420993104901,-0.0056977987272944647,0,0.92803821567475797,0.92791420993104901,0.14353898376303845,-0.73279405097621542
rhombus,1.5999999999999996,1.7999999999999998,1.0185930054319461,0.00060192556293921348,0.00060192556293921348,1.0191916545156476,1.0185930054319461,0.14406857058554581,-0.79263616824684879
rhombus,2.2000000000000002,1.7999999999999998,1.1199132679398969,-0.011037538798961636,0,1.1199132679398969,1.1199133403680859,0.14393532227433301,-0.49588319320658775
rhombus,2.7999999999999998,1.7999999999999998,1.2216494115558216,0.0062488283029738835,0.0062488283029738835,1.2289445302010211,1.2216494115558216,0.14391985233086557,-0.89437408877521418
rhombus,3.3999999999999995,1.7999999999999998,1.3437316595721562,-0.0054185785709897159,0,1.3440961546455212,1.3437316595721562,0.14888976398686338,-0.1035839918990959
rhombus,4,1.7999999999999998,1.4611527990820823,0,0,1.4612974883305434,1.4611527990820823,-0.83455892184360358,-0.95236909850230933
rhombus,-2,2.3999999999999995,1.0230583410510234,0,0,1.0230935030925603,1.0230583410510234,0.14392803840187859,-0.30421324316377768
rhombus,-1.3999999999999999,2.3999999999999995,0.92739023412653854,0.063931843191400425,0.063931843191400425,0.92739023412653854,0.92820417567432978,0.14406669459429397,-0.42432754912289006
rhombus,-0.80000000000000004,2.3999999999999995,0.94071207566349724,-0.0058737515372420867,0,0.94071207566349724,0.94115284945911148,0.58371955728573532,-0.46037673417778974
rhombus,-0.20000000000000018,2.3999999999999995,0.97445046831412629,-0.0047685969225697124,0,0.97505759468138298,0.97445046831412629,0.14359899973433721,-0.2656483305010725
rhombus,0.39999999999999991,2.3999999999999995,1.0245291178072138,-0.0050024143524104786,0,1.0253783328388812,1.0245291178072138,0.1440303809204109,-0.22276957875552955
rhombus,1,2.3999999999999995,1.0892073066620096,-0.0036388866430551491,0,1.0892073066620096,1.0892074414351731,0.14466187826393864,-0.5213260711122536
rhombus,1.5999999999999996,2.3999999999999995,1.1636799244084166,-0.0024487358041100677,0,1.1636799244084166,1.164011037946628,-0.61544826365193117,-0.88800418100867662
rhombus,2.2000000000000002,2.3999999999999995,1.2417938224663096,0.010833815189729461,0.010833815189729461,1.2417938224663096,1.2490394544563388,-0.69857065824368136,-0.5212398994466827
rhombus,2.7999999999999998,2.3999999999999995,1.3375953613452787,-0.00016971957157212384,0,1.3395764541183628,1.3375953613452787,-0.78829159906069268,-0.97472201483932108
rhombus,3.3999999999999995,2.3999999999999995,1.4383169795221504,-0.0096471348052633282,0,1.4388494723274963,1.4383169795221504,0.025497548718260057,-0.98216175128771965
rhombus,4,2.3999999999999995,1.5362971426846601,0,0,1.5387865384126873,1.5362971426846601,0.23456322734420518,0.079456001815081889
rhombus,-2,3,1.2133271475620173,0,0,1.2164902632638763,1.2133271475620173,-0.39726384519706132,-0.6876797026964111
rhombus,-1.3999999999999999,3,1.1508751450160981,0,0,1.1508751450160981,1.1515318285418796,-0.41862734787233458,-0.67494500069623664
