geometry,real_energy,imaginary_energy
square,0.21874091272845275,-17.031043420728903
square,-0.42721693160054275,-17.306089425762675
square,-0.27595311665127303,-17.579455015158334
square,-0.03224688054096897,-17.81860346399576
square,0.04867841635366149,-17.687566809604228
square,-0.18448994390212456,-17.69531854483126
square,-0.2590431323181286,16.98237547530689
square,-0.06321046168698945,16.89090025738329
square,-0.3204012957167005,17.227997563882372
square,0.19268558848995157,17.217202788191443
square,0.16754676477498176,17.3969246247982
square,-0.06521598444970533,17.774161377083917
square,-0.047412648963563425,17.726249827666027
square,-0.08461061084217536,17.727101035123994
square,-0.003950031272522313,-16.86482269924249
square,-0.297708603008817,17.406963655897904
square,-0.09049859846935396,16.953329360879053
square,-0.02832693628212096,16.953294109147155
square,-0.027842804496716382,16.952593248444217
square,0.13259700421533024,-16.971839102796483
square,-0.25904313232072335,-16.98237547530465
square,-0.3204012957158184,-17.227997563883907
square,0.14347367530492178,-17.570197361734568
square,-0.06521598440890748,-17.77416137698476
square,0.11010938444911424,17.160384839539304
square,0.0681967361289463,17.5187389763294
square,-0.010208232300108597,17.644139621172563
square,-0.12448066946876034,17.649941316765975
square,-0.0543413659569713,17.647178874952786
square,-0.07832675355964862,17.64217153599144
square,0.19268558848791048,-17.217202788188505
square,0.1675467647764083,-17.396924624793925
square,-0.08260914669786577,-17.72627920977919
square,-0.06501321018742086,-17.755233065981272
square,-0.04741264814941673,-17.7262498283271
square,-0.2389868061990812,17.170222974221232
square,0.08879227191426788,17.34267345068667
square,-0.20183932887851228,17.527017807675954
square,-0.22003707565863642,17.351711559781467
square,-0.16580472832889134,17.118813307204697
square,-0.06584584596155238,17.663995164283538
square,-0.06398807313302815,17.59058868605977
square,-0.09049859841510485,-16.95332936091035
square,-0.2977086030091763,-17.406963655897815
square,0.11010938534677897,-17.16038484494816
square,-0.028326936390328895,-16.953294109727825
square,-0.0278428007592334,-16.95259325166329
square,-0.08461061106141543,-17.72710103448415
square,0.06819673935560792,-17.51873897640953
square,-0.054341366088347366,-17.647178874674854
square,-0.12448066946816604,-17.649941316975866
square,-0.07832675350251404,-17.64217153602596
square,0.03667105766514657,17.109853554735015
square,-0.010208232223404952,-17.64413962153664
square,-0.02462831688660468,17.082027918027883
square,-0.05801250439522624,17.013997592286366
square,-0.05806064467486711,17.01311806363062
square,-0.06453004407765962,17.59044780794807
square,-0.1310745677077326,17.480345472222947
square,-0.2389868062031405,-17.17022297423441
square,0.08879226889881886,-17.342673447845335
square,-0.2200370756547162,-17.351711559782395
square,-0.20183932889784517,-17.527017807676234
square,-0.06584584576291463,-17.66399516367757
square,-0.16580472834446863,-17.118813307214847
square,0.036671057478278334,-17.10985355421241
square,-0.02462831654766348,-17.082027918119184
square,-0.05801250491485713,-17.013997592392485
square,-0.05806064132959063,-17.013118057503696
square,-0.06398807307435732,-17.590588686067917
square,-0.06453004392839973,-17.590447808570566
square,-0.1055283022787449,17.084487590516662
square,-0.06733019188676054,17.120123663141378
square,-0.06136823877196036,17.0319150985616
square,-0.054847043721784915,17.1222844577905
square,-0.06111603893226056,17.032874787460102
square,-0.004956892354319828,17.47087850460528
square,0.017220589969482888,17.297948758261217
square,-0.14989503515551517,17.30524922734963
square,-0.028564900318480458,17.20089571784626
square,-0.0923072281250691,17.20223217387722
square,-0.03171373091741535,17.198421990730523
square,-0.030528449599851865,17.428080385544497
square,-0.07886989075766711,17.504075772924303
square,-0.08363915793028368,17.43637378548564
square,-0.04270728879643095,17.440129986892916
square,-0.0978007153312221,17.429916074252926
square,-0.13107456769843506,-17.480345472191594
square,-0.10552830243587655,-17.08448758982365
square,-0.06733019181162245,-17.120123663126602
square,-0.0595423406212365,17.055748169924872
square,-0.04751792729395565,17.50332156044757
square,-0.07934960919664308,17.503729467636795
square,-0.004956893221843061,-17.470878503958602
square,-0.028564900237781157,-17.200895717212134
square,-0.05956114449087304,17.055732792601525
square,-0.09097509511463386,17.198436236486227
square,-0.06233643723142034,17.359905276775272
square,-0.06347043986004003,17.546436317408205
square,-0.06330411519525424,17.527143030231315
square,-0.04735494464996784,17.50267377743114
square,-0.03052844950017342,-17.42808038597579
square,0.017220590679502632,-17.297948758326694
square,-0.1498950350184588,-17.305249227476434
square,-0.054847042622766934,-17.12228445878534
square,-0.06136823815018912,-17.031915098702555
square,-0.08363915792479908,-17.4363737854875
square,-0.03171373284272158,-17.198421988931763
square,-0.0634627320446397,17.54646013464605
square,-0.06319476693656752,17.527147931322297
square,-0.06271678955163669,17.362349303800393
square,-0.051386587367962054,17.268489773818963
square,-0.05942911869286152,17.036539057492416
square,-0.05942519608049832,17.036523442711708
square,-0.06111604377685835,-17.03287479010702
square,-0.09230722815118045,-17.202232173846387
square,-0.09097509500146131,-17.198436237116297
square,-0.0623364373606773,-17.359905276801136
square,-0.04270728796495471,-17.44012998840832
square,-0.0978007154371452,-17.429916073586124
square,-0.047517927319678584,-17.503321560945306
square,-0.07886989065841932,-17.504075772766644
square,-0.04735494492448945,-17.50267377594171
square,-0.07934960930339445,-17.503729468687812
square,-0.06347043986057435,-17.546436317410855
square,-0.06346273210363676,-17.546460134797503
square,-0.07026969784994135,17.275388877758118
square,-0.05954234061107151,-17.05574816989812
square,-0.05956114456962321,-17.05573279259372
square,-0.06271678954250462,-17.362349303160766
square,-0.06330411524108882,-17.527143030263332
square,-0.0631947670541933,-17.527147930902007
square,-0.051056700986100045,17.267624680909343
square,-0.07031121013959872,17.271810095407194
square,-0.07186774487480085,17.269940618945654
square,-0.06151507925891008,17.287742650949443
square,-0.061564193051885534,17.306934348719707
square,-0.06157710825630518,17.306930558622255
square,-0.06138503317812697,17.287458289819057
square,-0.05942911868712407,-17.036539057516595
square,-0.059425195985167246,-17.036523444247816
square,-0.07031121023698948,-17.271810095484877
square,-0.07026969823945595,-17.2753888781109
square,-0.05138658716359202,-17.268489773151078
square,-0.051056700400736774,-17.26762468422708
square,-0.07186774514318615,-17.26994061710501
square,-0.06151507922406801,-17.287742650872328
square,-0.06156419305185479,-17.306934348716382
square,-0.061577108215229846,-17.306930558553837
square,-0.061385032968199964,-17.287458289814982
square,-0.023625557770898774,-14.529199653023436
square,0.2954157167172345,14.684491248002177
square,0.10159629825513959,-15.589206163426056
square,-0.08850409666000125,15.564043667327832
square,-0.04796917849883932,15.594616146755952
square,-0.04835961331512542,-15.65017347353251
square,-0.10173428937102995,-15.681249109519658
square,-0.10173428938439999,15.681249109538362
square,0.46510188948913794,-16.315915027698054
square,-0.5774767483564012,-16.332202894857353
square,0.46510171466371913,16.315915120118337
square,-0.050871088409832434,15.950697689534337
square,-0.57747674835643,16.33220289485745
square,0.4306571384332809,-16.524051601041368
square,0.39706188899482714,-16.72603956108548
square,0.4306572700834122,16.524051445297715
square,0.39706182612960345,16.726039739797766
square,-0.009448871071247995,-16.064775133018614
square,-0.009448870915998334,16.06477513344585
square,-0.5151306274151615,16.7405674175749
square,-0.5459616468883469,-16.53946904063279
square,-0.4850317472588931,-16.93542027026922
square,-0.48503174725882253,16.935420270269532
square,0.3024167293142908,-16.43495460960152
square,-0.5459616468882027,16.53946904063262
square,-0.08068892472336962,16.149790208001306
square,-0.4196864873005445,-16.44890244962693
square,0.30241672929544505,16.434954609606475
square,-0.41968648730049435,16.448902449627468
square,0.20559431260360678,-16.368555871794243
square,0.2736453424876193,-16.63985257459797
square,-0.3684124851264965,-16.85093647584945
square,-0.34398055975658937,-17.04262628351297
square,0.20559432341564662,16.36855587150389
square,-0.10770351564166987,16.228995788856885
square,0.27364534247213146,16.63985257460594
square,-0.368412485125652,16.85093647584963
square,-0.3439805597561407,17.04262628351264
square,0.24577604242276702,16.838569655976663
square,-0.2375661322600432,-16.322444895540222
square,0.24577604243128992,-16.83856965596623
square,-0.23756613226440534,16.322444895529085
square,-0.3936624786205534,-16.65300167576002
square,-0.3936624786205823,16.653001675759732
square,0.180314640023404,-16.575752164954345
square,-0.30157088558117845,-16.58784741896243
square,-0.013350522390662973,16.34377829346521
square,0.09620651041361039,-16.519310619921832
square,-0.2798945208338003,-16.788164302302523
square,-0.2183648525542782,-16.53057571651777
square,-0.025264942366921617,-16.42676214160866
square,-0.025201771277217948,-16.427073218700716
square,0.0962065111493555,16.519310619101905
square,-0.27989452083698585,16.78816430230042
square,0.022907509487727764,-16.475104436871575
square,-0.08493882952388973,-16.428157255052803
