target_id,n_sites,thermal_ratio,mechanism,gamma_rec,gamma_abs,gamma_deph,eta_mean,eta_sem,samples,parameter_match,artifact_stage
T004,6,12.650895102857465,rescue,0.025,0.02309994033628204,0.0,0.47479570579188823,0.005446855057646428,15,paper_subset,exploratory
T004,6,12.650895102857465,both,0.025,0.02309994033628204,0.5,0.6987975760355565,0.0034435200394753204,15,paper_subset,exploratory
T004,6,12.650895102857465,dephasing,0.0,0.0,0.5,0.6624271723114653,0.0050715490418914485,15,paper_subset,exploratory
T004,6,19.48144894728634,rescue,0.025,0.023749107258686324,0.0,0.47340277113896106,0.0054695995987177806,15,paper_subset,exploratory
T004,6,19.48144894728634,both,0.025,0.023749107258686324,0.5,0.6978649092778455,0.0034590584113096817,15,paper_subset,exploratory
T004,6,19.48144894728634,dephasing,0.0,0.0,0.5,0.6624271723114653,0.0050715490418914485,15,paper_subset,exploratory
T004,6,29.999999999999996,rescue,0.025,0.02418040251205015,0.0,0.4724829934294642,0.005484638456244901,15,paper_subset,exploratory
T004,6,29.999999999999996,both,0.025,0.02418040251205015,0.5,0.6972467786390666,0.0034693313377282702,15,paper_subset,exploratory
T004,6,29.999999999999996,dephasing,0.0,0.0,0.5,0.6624271723114653,0.0050715490418914485,15,paper_subset,exploratory
T004,64,0.029999999999999995,rescue,0.025,8.345594488412497e-17,0.0,0.4139472915378168,5.894841299921976e-05,15,paper_subset,exploratory
T004,64,0.029999999999999995,both,0.025,8.345594488412497e-17,0.5,0.31363784031608155,0.00011539370203938322,15,paper_subset,exploratory
T004,64,0.029999999999999995,dephasing,0.0,0.0,0.5,0.09337674672222769,0.00021765475336760887,15,paper_subset,exploratory
T004,64,0.046197795781784755,rescue,0.025,9.935232481095305e-12,0.0,0.4139472911959007,5.8948412971774235e-05,15,paper_subset,exploratory
T004,64,0.046197795781784755,both,0.025,9.935232481095305e-12,0.5,0.3136378401665892,0.0001153937019960293,15,paper_subset,exploratory
T004,64,0.046197795781784755,dephasing,0.0,0.0,0.5,0.09337674672222769,0.00021765475336760887,15,paper_subset,exploratory
T004,64,0.07114121116984964,rescue,0.025,1.964526354997205e-08,0.0,0.4139466154420581,5.89483586854782e-05,15,paper_subset,exploratory
T004,64,0.07114121116984964,both,0.025,1.964526354997205e-08,0.5,0.3136375447176493,0.00011539361621666989,15,paper_subset,exploratory
T004,64,0.07114121116984964,dephasing,0.0,0.0,0.5,0.09337674672222769,0.00021765475336760887,15,paper_subset,exploratory
T004,64,0.1095522381764513,rescue,0.025,2.714385672931313e-06,0.0,0.41385389666457245,5.894091270204852e-05,15,paper_subset,exploratory
T004,64,0.1095522381764513,both,0.025,2.714385672931313e-06,0.5,0.31359700288486425,0.0001153818475625144,15,paper_subset,exploratory
T004,64,0.1095522381764513,dephasing,0.0,0.0,0.5,0.09337674672222769,0.00021765475336760887,15,paper_subset,exploratory
T004,64,0.1687023975571047,rescue,0.025,6.662188121691992e-05,0.0,0.41166731620418345,5.8766771342454426e-05,15,paper_subset,exploratory
T004,64,0.1687023975571047,both,0.025,6.662188121691992e-05,0.5,0.3126386581929804,0.0001151048549791612,15,paper_subset,exploratory
T004,64,0.1687023975571047,dephasing,0.0,0.0,0.5,0.09337674672222769,0.00021765475336760887,15,paper_subset,exploratory
T004,64,0.25978929700801956,rescue,0.025,0.0005323801605002651,0.0,0.3964139092868606,5.763104284548776e-05,15,paper_subset,exploratory
T004,64,0.25978929700801956,both,0.025,0.0005323801605002651,0.5,0.3058309812384607,0.000113201698101053,15,paper_subset,exploratory
T004,64,0.25978929700801956,dephasing,0.0,0.0,0.5,0.09337674672222769,0.00021765475336760887,15,paper_subset,exploratory
T004,64,0.4000564296489972,rescue,0.025,0.002052848745438539,0.0,0.3537355941222076,5.5228417385556036e-05,15,paper_subset,exploratory
T004,64,0.4000564296489972,both,0.025,0.002052848745438539,0.5,0.28556981105005835,0.00010814521189445875,15,paper_subset,exploratory
T004,64,0.4000564296489972,dephasing,0.0,0.0,0.5,0.09337674672222769,0.00021765475336760887,15,paper_subset,exploratory
T004,64,0.6160575079371438,rescue,0.025,0.004931537181530011,0.0,0.2940798453834771,5.3946488526802705e-05,15,paper_subset,exploratory
T004,64,0.6160575079371438,both,0.025,0.004931537181530011,0.5,0.2538386789027326,0.00010173676496954107,15,paper_subset,exploratory
T004,64,0.6160575079371438,dephasing,0.0,0.0,0.5,0.09337674672222769,0.00021765475336760887,15,paper_subset,exploratory
T004,64,0.9486832980505137,rescue,0.025,0.008712713418717537,0.0,0.24097911308158365,5.495166211837831e-05,15,paper_subset,exploratory
T004,64,0.9486832980505137,both,0.025,0.008712713418717537,0.5,0.22161519823562728,9.672590556515359e-05,15,paper_subset,exploratory
T004,64,0.9486832980505137,dephasing,0.0,0.0,0.5,0.09337674672222769,0.00021765475336760887,15,paper_subset,exploratory
T004,64,1.460902575497589,rescue,0.025,0.012608453260707746,0.0,0.20330919447927276,5.686263612255128e-05,15,paper_subset,exploratory
T004,64,1.460902575497589,both,0.025,0.012608453260707746,0.5,0.1960526201189706,9.36672709125343e-05,15,paper_subset,exploratory
T004,64,1.460902575497589,dephasing,0.0,0.0,0.5,0.09337674672222769,0.00021765475336760887,15,paper_subset,exploratory
T004,64,2.2496826279973674,rescue,0.025,0.016028504698248833,0.0,0.17883434447277438,5.8596404157807596e-05,15,paper_subset,exploratory
T004,64,2.2496826279973674,both,0.025,0.016028504698248833,0.5,0.17806178899027503,9.197557244336582e-05,15,paper_subset,exploratory
T004,64,2.2496826279973674,dephasing,0.0,0.0,0.5,0.09337674672222769,0.00021765475336760887,15,paper_subset,exploratory
T004,64,3.464345954068374,rescue,0.025,0.01873177070474378,0.0,0.16332201886894573,5.9878207660606584e-05,15,paper_subset,exploratory
T004,64,3.464345954068374,both,0.025,0.01873177070474378,0.5,0.1660369860013464,9.105581306836328e-05,15,paper_subset,exploratory
T004,64,3.464345954068374,dephasing,0.0,0.0,0.5,0.09337674672222769,0.00021765475336760887,15,paper_subset,exploratory
T004,64,5.334838230116768,rescue,0.025,0.02072682420048021,0.0,0.15350686243159004,6.075672454468496e-05,15,paper_subset,exploratory
T004,64,5.334838230116768,both,0.025,0.02072682420048021,0.5,0.15816232604937686,9.054512967014541e-05,15,paper_subset,exploratory
T004,64,5.334838230116768,dephasing,0.0,0.0,0.5,0.09337674672222769,0.00021765475336760887,15,paper_subset,exploratory
T004,64,8.215258902793083,rescue,0.025,0.022134801883763808,0.0,0.1472659302106981,6.134077911088099e-05,15,paper_subset,exploratory
T004,64,8.215258902793083,both,0.025,0.022134801883763808,0.5,0.15304330266467384,9.025198939379625e-05,15,paper_subset,exploratory
T004,64,8.215258902793083,dephasing,0.0,0.0,0.5,0.09337674672222769,0.00021765475336760887,15,paper_subset,exploratory
T004,64,12.650895102857465,rescue,0.025,0.02309994033628204,0.0,0.14327515429842702,6.172412066355194e-05,15,paper_subset,exploratory
T004,64,12.650895102857465,both,0.025,0.02309994033628204,0.5,0.1497230474241069,9.007816222236546e-05,15,paper_subset,exploratory
T004,64,12.650895102857465,dephasing,0.0,0.0,0.5,0.09337674672222769,0.00021765475336760887,15,paper_subset,exploratory
T004,64,19.48144894728634,rescue,0.025,0.023749107258686324,0.0,0.14071126106749288,6.197431783772372e-05,15,paper_subset,exploratory
T004,64,19.48144894728634,both,0.025,0.023749107258686324,0.5,0.14757029224101742,8.997229042650546e-05,15,paper_subset,exploratory
T004,64,19.48144894728634,dephasing,0.0,0.0,0.5,0.09337674672222769,0.00021765475336760887,15,paper_subset,exploratory
T004,64,29.999999999999996,rescue,0.025,0.02418040251205015,0.0,0.13905836460878182,6.213720007087539e-05,15,paper_subset,exploratory
T004,64,29.999999999999996,both,0.025,0.02418040251205015,0.5,0.14617420964291403,8.990649608666695e-05,15,paper_subset,exploratory
T004,64,29.999999999999996,dephasing,0.0,0.0,0.5,0.09337674672222769,0.00021765475336760887,15,paper_subset,exploratory
