n_sites,mechanism,rate,eta_pilot_mean,pilot_samples
9,rescue,8.79922543569107,0.9997696221308757,5
9,rescue,10.0,0.9998358207960039,5
9,dephasing,0.001,0.14473142438508738,5
9,dephasing,0.0021544346900318843,0.1468121574537816,5
9,dephasing,0.004641588833612777,0.1512502956144775,5
9,dephasing,0.01,0.1606090745425743,5
9,dephasing,0.021544346900318832,0.179872467638784,5
9,dephasing,0.046415888336127774,0.21758482384484545,5
9,dephasing,0.1,0.28443265385743216,5
9,dephasing,0.21544346900318823,0.38342380712515206,5
9,dephasing,0.46415888336127775,0.4950257748901789,5
9,dephasing,1.0,0.5869465957323647,5
9,dephasing,2.154434690031882,0.6443122096891452,5
9,dephasing,4.6415888336127775,0.6719108680717993,5
9,dephasing,5.274997063702617,0.6742701722568725,5
9,dephasing,5.994842503189409,0.6760804749595507,5
9,dephasing,6.812920690579611,0.677362905342315,5
9,dephasing,7.742636826811269,0.6781313514303313,5
9,dephasing,8.79922543569107,0.6783921904596095,5
9,dephasing,10.0,0.6781443083935654,5
10,rescue,0.001,0.13914169499866466,5
10,rescue,0.0021544346900318843,0.15912180167246953,5
10,rescue,0.004641588833612777,0.20054205778778345,5
10,rescue,0.01,0.28270585000326587,5
10,rescue,0.021544346900318832,0.4311125197218611,5
10,rescue,0.046415888336127774,0.6514710737968972,5
10,rescue,0.1,0.871908552818582,5
10,rescue,0.21544346900318823,0.9781130170566623,5
10,rescue,0.46415888336127775,0.9956608725894844,5
10,rescue,1.0,0.9976517400933659,5
10,rescue,2.154434690031882,0.9983692872734368,5
10,rescue,4.6415888336127775,0.999126239558961,5
10,rescue,5.274997063702617,0.9992652148161868,5
10,rescue,5.994842503189409,0.9993998167462351,5
10,rescue,6.812920690579611,0.9995251571145077,5
10,rescue,7.742636826811269,0.9996367014271828,5
10,rescue,8.79922543569107,0.9997311426402643,5
10,rescue,10.0,0.9998070375730131,5
10,dephasing,0.001,0.12315573768269268,5
10,dephasing,0.0021544346900318843,0.12513088484015872,5
10,dephasing,0.004641588833612777,0.12934367903788685,5
10,dephasing,0.01,0.13822678588059467,5
10,dephasing,0.021544346900318832,0.1565100190358613,5
10,dephasing,0.046415888336127774,0.1923080638960938,5
10,dephasing,0.1,0.25584253630532866,5
10,dephasing,0.21544346900318823,0.350453684506813,5
10,dephasing,0.46415888336127775,0.4587674743487241,5
10,dephasing,1.0,0.5501429625058873,5
10,dephasing,2.154434690031882,0.6084864999893576,5
10,dephasing,4.6415888336127775,0.6372389750002607,5
10,dephasing,5.274997063702617,0.6397808619646349,5
10,dephasing,5.994842503189409,0.6417735797037981,5
10,dephasing,6.812920690579611,0.6432406529325139,5
10,dephasing,7.742636826811269,0.6441988465253126,5
10,dephasing,8.79922543569107,0.6446577732292221,5
10,dephasing,10.0,0.644619797764115,5
12,rescue,0.001,0.12359852300341656,5
12,rescue,0.0021544346900318843,0.1439890556335864,5
12,rescue,0.004641588833612777,0.18625735086661716,5
12,rescue,0.01,0.27009130548861693,5
12,rescue,0.021544346900318832,0.4214671162938308,5
12,rescue,0.046415888336127774,0.6460779614893143,5
12,rescue,0.1,0.8704127379567155,5
12,rescue,0.21544346900318823,0.97808048027946,5
12,rescue,0.46415888336127775,0.9956904515119216,5
12,rescue,1.0,0.9976470968311834,5
