model,param,realization,runtime_s,chi_m_tot,chi_p_tot,chi_d_tot,I_m_tot,I_p_tot,C_m_tot,C_p_tot,beta_W_irr_tot,beta_W_relax_tot,chi_m_tau1_tot,chi_m_tau2_tot,chi_p_h2_tot,chi_p_h3_tot,identity_residual_max,n_eval,n_seq
cluster,0.5,0,105.2,2.184951614771314,1.8804389551545921,0.304512659616722,1.2874078006456333,0.8817332832825828,0.8975438141257177,0.9987056718720354,0.49863750749868124,0.19412484788196602,2.0771320559420667,1.6771261188513296,1.3797916489774549,0.9996695539852625,8.881784197001252e-16,2000,5000
cluster,0.55,0,104.6,1.7701444863758655,1.5225976600452937,0.2475468263305718,0.9032197068690957,0.6273419091054873,0.8669247795067556,0.8952557509397479,0.4491136520364423,0.2015668257058645,1.675373615759126,1.3485196834584796,1.1146919054316595,0.8127451656885154,8.881784197001252e-16,2000,5000
cluster,0.6000000000000001,0,104.0,1.4947388464083122,1.3084419008069803,0.18629694560133192,0.8377205750237842,0.6243450976455982,0.6570182713845146,0.6840968031613972,0.35126177124240066,0.16496482564107748,1.3515209152223933,1.0138766346254813,0.9438401391537354,0.6501073870146103,8.881784197001252e-16,2000,5000
cluster,0.65,0,103.4,1.3744045298105743,1.2155642575766419,0.15884027223393238,0.8541760696673188,0.6670604142867367,0.5202284601432577,0.5485038432899272,0.3012894126324402,0.14244914039851234,1.1894304571689926,0.8271309456773666,0.8581982599596323,0.5611886996528743,8.881784197001252e-16,2000,5000
cluster,0.7000000000000001,0,103.4,1.2871616339139411,1.1544541136685762,0.13270752024536492,0.8715270633062193,0.715218522126448,0.4156345706077552,0.43923559154209346,0.25998868972210887,0.12728116947674667,1.0642191855175698,0.6876940362471395,0.8004333010021827,0.4965440280873574,8.881784197001252e-16,2000,5000
cluster,0.75,0,104.4,1.2330229789681777,1.1164964212120996,0.11652655775607812,0.8906455299386087,0.7602511285106788,0.34237744902958,0.3562452927014349,0.23529975510420387,0.11877319734813127,0.9787881881144749,0.588512292426834,0.7614740897132766,0.4537860319330007,8.881784197001252e-16,2000,5000
cluster,0.8,0,105.2,1.1869545333670635,1.0897112272718799,0.09724330609518361,0.9073853519989781,0.8072540978200733,0.2795691813680987,0.282457129451817,0.20902032541421103,0.11177701931901361,0.896913980782577,0.5004341736367306,0.7274681264156726,0.4082060283577853,8.881784197001252e-16,2000,5000
cluster,0.8500000000000001,0,107.4,1.15686199349897,1.0834970339821162,0.07336495951685373,0.9257917342912387,0.8551492978187039,0.2310702592077266,0.22834773616338944,0.18042329990293804,0.1070583403860907,0.8430209178907075,0.4553992314369544,0.7189909285764866,0.3811791881680566,8.881784197001252e-16,2000,5000
cluster,0.9,0,109.1,1.138302484781208,1.078594791336109,0.059707693445099075,0.9278717032535235,0.8727372972122138,0.21043078152770345,0.20585749412391263,0.16724973677002308,0.10754204332490551,0.8191138659465715,0.44164035343531793,0.7198033135440922,0.37476582252272594,8.881784197001252e-16,2000,5000
cluster,0.9500000000000001,0,110.9,1.1230110853332587,1.0724526495239655,0.0505584358092932,0.917874467689769,0.8704760449204434,0.20513661764350832,0.2019766046035416,0.16125342689489078,0.11069499108557301,0.8017945179006234,0.4327063310820267,0.7161799224481809,0.3689945937182806,8.881784197001252e-16,2000,5000
cluster,1.0,0,92.4,1.1039579420464212,1.0612258794142453,0.04273206263217588,0.8941227833139926,0.8542282998717798,0.2098351587324323,0.20699757954246345,0.1581856369747351,0.11545357434257278,0.7868967456709259,0.4261580420821609,0.7107182778354542,0.360240598788403,8.881784197001252e-16,2000,5000
