alpha,level_0,level_1,level_2,level_3,level_4,level_5,level_6,level_7,level_8,level_9,level_10,level_11,level_12,level_13,level_14,level_15,level_16,level_17,level_18,level_19,level_20,level_21,level_22,level_23,level_24,level_25,level_26,level_27,level_28,level_29,level_30,level_31,level_32,level_33,level_34,level_35,level_36,level_37,level_38,level_39,level_40,level_41,level_42,level_43,level_44,level_45,level_46,level_47,level_48,level_49,level_50,level_51,level_52,level_53,level_54,level_55,level_56,level_57,level_58,level_59,level_60,level_61,level_62,level_63
0.7000000000000001,-2.912195314363194,-2.8527264227660316,-2.799678633976768,-2.7402097423796032,-1.8283752411027958,-1.7689063495056305,-1.7158585607163706,-1.6563896691192082,-1.6431722272133658,-1.583703335616202,-1.5306555468269403,-1.4711866552297739,-1.4284919787469945,-1.3690230871498292,-1.315975298360567,-1.256506406763406,-1.0963367536468216,-1.036867862049659,-0.9838200732603962,-0.924351181663233,-0.5593521539529657,-0.4998832623558026,-0.4468354735665406,-0.3873665819693779,-0.34467190548659626,-0.2852030138894328,-0.23215522510017178,-0.17268633350300838,-0.159468891597163,-0.09999999999999978,-0.046952211210738316,-0.012516680386424513,0.01251668038642497,0.046952211210738254,0.09999999999999964,0.15946889159716277,0.17268633350300824,0.2321552251001715,0.2852030138894328,0.3446719054865961,0.3873665819693772,0.44683547356654135,0.49988326235580244,0.559352153952965,0.9243511816632355,0.9838200732603973,1.0368678620496605,1.0963367536468214,1.256506406763405,1.3159752983605695,1.3690230871498295,1.4284919787469934,1.4711866552297745,1.53065554682694,1.5837033356162005,1.6431722272133635,1.6563896691192055,1.71585856071637,1.768906349505632,1.8283752411027943,2.740209742379607,2.7996786339767685,2.852726422766026,2.912195314363194
0.71,-2.9176086182145764,-2.865483240549591,-2.8152629632254715,-2.763137585560485,-1.8202793685109115,-1.7681539908459372,-1.7179337135218113,-1.6658083358568343,-1.639473560863416,-1.5873481831984417,-1.5371279058743161,-1.4850025282093384,-1.430260435016132,-1.3781350573511526,-1.3279147800270295,-1.2757894023620493,-1.0996749046927605,-1.0475495270277828,-0.9973292497036589,-0.9452038720386814,-0.5421443111597594,-0.49001893349478226,-0.4397986561706575,-0.3876732785056813,-0.33293118531247035,-0.280805807647492,-0.23058553032336845,-0.1784601526583915,-0.15212537766497722,-0.09999999999999964,-0.04977972267587559,-0.0023456549891011113,0.002345654989101246,0.0497797226758761,0.10000000000000013,0.15212537766497697,0.17846015265839058,0.23058553032336912,0.2808058076474923,0.33293118531247,0.3876732785056807,0.4397986561706584,0.4900189334947823,0.5421443111597611,0.945203872038684,0.9973292497036593,1.0475495270277833,1.0996749046927587,1.2757894023620486,1.327914780027027,1.3781350573511513,1.4302604350161299,1.485002528209341,1.5371279058743148,1.5873481831984408,1.6394735608634181,1.665808335856835,1.7179337135218105,1.768153990845934,1.8202793685109113,2.7631375855604814,2.8152629632254746,2.8654832405495902,2.9176086182145693
0.72,-2.9247132651587644,-2.879266780961043,-2.8319243322744043,-2.7864778480766894,-1.812977364284068,-1.7675308800863532,-1.7201884313997147,-1.674741947201988,-1.6367663340434424,-1.5913198498457246,-1.5439774011590885,-1.498530916961366,-1.4333934153130377,-1.3879469311153194,-1.3406044824286871,-1.2951579982309627,-1.104524833759052,-1.0590783495613272,-1.0117359008746936,-0.9662894166769718,-0.5250304331687478,-0.4795839489710282,-0.43224150028439334,-0.3867950160866734,-0.32165751443834745,-0.2762110302406271,-0.22886858155399134,-0.18342209735627085,-0.14544648419772072,-0.10000000000000037,-0.05265755131336539,-0.007211067115643516,0.007211067115643774,0.05265755131336441,0.10000000000000023,0.1454464841977203,0.18342209735627096,0.22886858155399167,0.27621103024062654,0.32165751443834784,0.386795016086673,0.4322415002843933,0.4795839489710289,0.5250304331687489,0.9662894166769698,1.0117359008746922,1.0590783495613303,1.104524833759047,1.2951579982309651,1.3406044824286838,1.3879469311153205,1.4333934153130399,1.4985309169613659,1.5439774011590868,1.5913198498457202,1.6367663340434417,1.6747419472019924,1.7201884313997131,1.767530880086346,1.8129773642840699,2.786477848076695,2.831924332274404,2.8792667809610393,2.9247132651587595
0.73,-2.9334729638619508,-2.894071104423338,-2.8496373180120402,-2.8102354585734206,-1.8064607740802798,-1.7670589146416642,-1.7226251282303702,-1.6832232687917494,-1.6350365386690777,-1.5956346792304588,-1.5512008928191656,-1.5117990333805418,-1.4378382846314983,-1.3984364251928803,-1.354002638781584,-1.3146007793429646,-1.1108478356315863,-1.0714459761929649,-1.0270121897816724,-0.9876103303430531,-0.5080243488874054,-0.4686224894487854,-0.4241887030374915,-0.3847868435988712,-0.310826094849826,-0.27142423541120503,-0.2269904489999114,-0.18758858956129051,-0.13940185943862013,-0.09999999999999959,-0.05556621358870604,-0.016164354150085592,0.016164354150085537,0.05556621358870592,0.10000000000000027,0.13940185943862046,0.18758858956129093,0.22699044899991164,0.2714242354112054,0.31082609484982515,0.38478684359887083,0.4241887030374921,0.4686224894487856,0.5080243488874069,0.9876103303430521,1.0270121897816729,1.0714459761929664,1.110847835631584,1.314600779342962,1.3540026387815867,1.3984364251928783,1.437838284631499,1.5117990333805444,1.551200892819163,1.5956346792304583,1.6350365386690766,1.6832232687917499,1.7226251282303675,1.7670589146416624,1.8064607740802823,2.8102354585734184,2.849637318012046,2.8940711044233365,2.933472963861951
0.74,-2.9438470686403297,-2.909887999929418,-2.868374224455506,-2.8344151557446047,-1.8007190404329425,-1.766759971722037,-1.7252461962481234,-1.6912871275372159,-1.6342707245598942,-1.600311655848988,-1.558797880375077,-1.5248388116641696,-1.4435354127913367,-1.4095763440804256,-1.368062568606515,-1.3341034998956096,-1.1186008723922034,-1.0846418036812973,-1.0431280282073834,-1.0091689594964741,-0.4911426963525141,-0.45718362764160675,-0.4156698521676936,-0.381710783456786,-0.30040738458395294,-0.26644831587304496,-0.2249345403991324,-0.1909754716882255,-0.13395906871090746,-0.0999999999999999,-0.058486224526086705,-0.024527155815179336,0.02452715581517905,0.05848622452608685,0.09999999999999994,0.13395906871090743,0.19097547168822487,0.2249345403991329,0.2664483158730458,0.3004073845839531,0.3817107834567857,0.4156698521676934,0.45718362764160697,0.4911426963525145,1.0091689594964752,1.0431280282073836,1.0846418036812961,1.118600872392203,1.334103499895606,1.3680625686065144,1.4095763440804283,1.4435354127913353,1.5248388116641718,1.5587978803750768,1.6003116558489903,1.634270724559899,1.6912871275372174,1.725246196248121,1.7667599717220381,1.8007190404329432,2.834415155744602,2.868374224455507,2.9098879999294187,2.9438470686403235
0.75,-2.9557912013938608,-2.9267071134099556,-2.88810555952597,-2.859021471542051,-1.7957396473051448,-1.7666555593212332,-1.7280540054372477,-1.6989699174533335,-1.6344571053237318,-1.605373017339817,-1.56677146345583,-1.5376873754719154,-1.4504181840540489,-1.4213340960701375,-1.382732542186148,-1.3536484542022351,-1.1277371959566183,-1.098653107972706,-1.0600515540887188,-1.030967466104805,-0.4744055512350118,-0.44532146325109867,-0.4067199093671114,-0.37763582138319807,-0.290366629965331,-0.26128254198141787,-0.2226809880974296,-0.19359690011351693,-0.12908408798391333,-0.10000000000000024,-0.06139844611601276,-0.032314358132099194,0.032314358132099714,0.06139844611601262,0.10000000000000016,0.12908408798391335,0.19359690011351702,0.22268098809743017,0.2612825419814174,0.2903666299653311,0.37763582138319807,0.4067199093671112,0.44532146325109856,0.47440555123501227,1.0309674661048045,1.060051554088718,1.0986531079727042,1.1277371959566171,1.3536484542022351,1.382732542186149,1.4213340960701368,1.450418184054049,1.5376873754719182,1.5667714634558318,1.6053730173398173,1.6344571053237305,1.6989699174533321,1.728054005437246,1.7666555593212347,1.7957396473051477,2.8590214715420528,2.888105559525965,2.926707113409953,2.9557912013938616
0.76,-2.9692578886382943,-2.944516101022305,-2.9088005018389222,-2.884058714222923,-1.7915082903625674,-1.766766502746574,-1.7310509035631862,-1.7063091159471993,-1.635586790217114,-1.6108450026011214,-1.575129403417736,-1.5503876158017473,-1.4584128860371715,-1.433671098421184,-1.3979554992377956,-1.3732137116218062,-1.1382069850751064,-1.1134651974591185,-1.0777495982757288,-1.053007810659739,-0.457837191941382,-0.4330954043253919,-0.39737980514200494,-0.37263801752601433,-0.2806632877614435,-0.2559215001454537,-0.22020590096206594,-0.1954641133460765,-0.12474178761599004,-0.09999999999999981,-0.06428440081661158,-0.0395426132006226,0.0395426132006223,0.0642844008166124,0.09999999999999984,0.1247417876159897,0.19546411334607686,0.22020590096206596,0.25592150014545384,0.2806632877614434,0.3726380175260148,0.39737980514200344,0.4330954043253924,0.45783719194138217,1.0530078106597411,1.0777495982757295,1.1134651974591163,1.1382069850751064,1.3732137116218064,1.397955499237795,1.4336710984211822,1.4584128860371728,1.5503876158017438,1.5751294034177357,1.610845002601122,1.635586790217113,1.7063091159471995,1.731050903563188,1.7667665027465784,1.7915082903625665,2.8840587142229244,2.908800501838918,2.944516101022306,2.96925788863829
0.77,-2.984197195053018,-2.963300802418555,-2.930427343834042,-2.909530951199576,-1.7880090682085472,-1.7671126755740845,-1.7342392169895693,-1.7133428243551099,-1.637655140564834,-1.6167587479303773,-1.5838852893458613,-1.5629888967114045,-1.467438447122635,-1.4465420544881764,-1.4136685959036615,-1.3927722032692036,-1.1499579780634441,-1.1290615854289834,-1.0961881268444689,-1.075291734210011,-0.4414670137203663,-0.4205706210859084,-0.387697162501391,-0.3668007698669335,-0.2712503202781653,-0.25035392764370745,-0.21748046905919036,-0.19658407642473333,-0.12089639263445749,-0.09999999999999958,-0.0671265414154827,-0.04623014878102549,0.04623014878102539,0.06712654141548248,0.09999999999999995,0.12089639263445758,0.1965840764247327,0.21748046905919027,0.250353927643708,0.27125032027816537,0.3668007698669336,0.38769716250139113,0.42057062108590765,0.44146701372036523,1.0752917342100112,1.0961881268444682,1.1290615854289876,1.149957978063446,1.392772203269202,1.4136685959036603,1.4465420544881777,1.4674384471226336,1.5629888967114027,1.5838852893458617,1.6167587479303787,1.6376551405648365,1.7133428243551114,1.7342392169895695,1.767112675574086,1.7880090682085437,2.909530951199583,2.9304273438340394,2.9633008024185554,2.9841971950530164
0.78,-3.000557337698944,-2.983045428702596,-2.9529539006236454,-2.935441991627304,-1.785224689539603,-1.7677127805432615,-1.737621252464314,-1.7201093434679686,-1.6406632355187365,-1.6231513265223974,-1.593059798443444,-1.5755478894471036,-1.4774060111765435,-1.4598941021801988,-1.4298025741012517,-1.4122906651049092,-1.1629360852346298,-1.1454241762382902,-1.115332648159336,-1.0978207391629942,-0.42533058735940343,-0.4078186783630609,-0.37772715028410897,-0.36021524128776655,-0.2620733630172079,-0.24456145402086596,-0.21446992594191447,-0.19695801694557263,-0.1175119089963421,-0.10000000000000032,-0.06990847192104886,-0.05239656292470642,0.05239656292470636,0.06990847192104845,0.1000000000000002,0.11751190899634224,0.19695801694557197,0.21446992594191436,0.24456145402086654,0.2620733630172076,0.3602152412877667,0.377727150284109,0.4078186783630607,0.4253305873594029,1.0978207391629937,1.1153326481593353,1.1454241762382866,1.1629360852346278,1.4122906651049087,1.4298025741012514,1.4598941021802028,1.4774060111765448,1.575547889447103,1.5930597984434447,1.6231513265223962,1.64066323551874,1.7201093434679708,1.737621252464311,1.767712780543264,1.7852246895396056,2.935441991627297,2.9529539006236467,2.9830454287026,3.0005573376989405
0.79,-3.0182852681837438,-3.003732759710452,-2.97634787710186,-2.9617953686285605,-1.783136691181961,-1.7685841827086677,-1.7411993001000763,-1.7266467916267796,-1.6446193993882516,-1.6300668909149558,-1.6026820083063678,-1.5881294998330702,-1.4882183772687918,-1.4736658687954924,-1.446280986186905,-1.431728477713608,-1.17708596808367,-1.162533459610371,-1.135148577001784,-1.1205960685284866,-0.4094708223864692,-0.39491831391317217,-0.36753343130458316,-0.35298092283128657,-0.25306980026700604,-0.23851729179370923,-0.2111324091851201,-0.19657990071182363,-0.11455250847329665,-0.10000000000000013,-0.07261511739141083,-0.05806260891811439,0.05806260891811417,0.0726151173914109,0.10000000000000013,0.11455250847329657,0.19657990071182266,0.21113240918511958,0.23851729179370892,0.2530698002670058,0.3529809228312865,0.3675334313045827,0.39491831391317217,0.40947082238646937,1.120596068528487,1.135148577001784,1.1625334596103731,1.1770859680836703,1.431728477713607,1.446280986186904,1.4736658687954935,1.4882183772687898,1.5881294998330697,1.6026820083063673,1.6300668909149554,1.6446193993882534,1.7266467916267807,1.741199300100076,1.768584182708666,1.7831366911819657,2.9617953686285623,2.976347877101858,3.0037327597104535,3.0182852681837447
0.8,-3.03732721328098,-3.0253443454215976,-3.000577188866658,-2.9885943210072727,-1.7817256622421036,-1.7697427943827162,-1.7449756378277768,-1.73299276996839,-1.6495406793438825,-1.6375578114844924,-1.6127906549295534,-1.6008077870701671,-1.4997694017964942,-1.4877865339371066,-1.4630193773821671,-1.45103650952278,-1.1923515754532075,-1.1803687075938214,-1.1556015510388806,-1.1436186831794946,-0.39393912830499755,-0.3819562604456111,-0.35718910389067215,-0.345206236031286,-0.24416785075761044,-0.23218498289822326,-0.20741782634328468,-0.1954349584838975,-0.11198286785938631,-0.10000000000000014,-0.07523284344506204,-0.06324997558567472,0.06324997558567488,0.07523284344506191,0.10000000000000009,0.11198286785938653,0.19543495848389786,0.20741782634328454,0.2321849828982228,0.24416785075760972,0.3452062360312856,0.3571891038906728,0.3819562604456107,0.39393912830499794,1.1436186831794957,1.1556015510388828,1.1803687075938216,1.1923515754532077,1.4510365095227786,1.463019377382168,1.487786533937106,1.499769401796493,1.6008077870701678,1.6127906549295556,1.6375578114844918,1.649540679343878,1.7329927699683922,1.7449756378277759,1.7697427943827169,1.781725662242102,2.988594321007271,3.0005771888666586,3.0253443454215967,3.037327213280986
0.81,-3.0576291676191394,-3.047860706695232,-3.025610235176565,-3.0158417742526558,-1.7809714701136947,-1.7712030091897895,-1.7489525376711224,-1.7391840767472113,-1.655454054279454,-1.6456855933555405,-1.6234351218368783,-1.6136666609129682,-1.5119435742635992,-1.5021751133396868,-1.479924641821026,-1.470156180897115,-1.2086766299480172,-1.1989081690241083,-1.1766576975054432,-1.1668892365815333,-0.37879635677400886,-0.36902789585009876,-0.3467774243314338,-0.3370089634075237,-0.2352858767581549,-0.2255174158342448,-0.20326694431558076,-0.1934984833916706,-0.10976846092390993,-0.09999999999999969,-0.07774952848133528,-0.06798106755742572,0.06798106755742553,0.07774952848133533,0.1000000000000001,0.10976846092390988,0.19349848339167058,0.20326694431558046,0.22551741583424506,0.23528587675815513,0.3370089634075242,0.34677742433143405,0.36902789585009854,0.37879635677400847,1.1668892365815349,1.1766576975054441,1.198908169024108,1.2086766299480183,1.4701561808971122,1.4799246418210261,1.5021751133396883,1.5119435742635976,1.613666660912966,1.6234351218368788,1.6456855933555403,1.6554540542794502,1.7391840767472149,1.7489525376711206,1.7712030091897912,1.7809714701136983,3.0158417742526575,3.0256102351765652,3.047860706695226,3.057629167619141
