n,signal_example,mean,variance
274,0.276261150690855,0.008327412586259771,0.1118323027108625
275,0.3043863487619931,0.0018749283258244118,0.10993005740935452
276,0.25618234182351146,-0.0026220061055735556,0.10798273815139627
277,0.23439406100257526,-0.003959291336571558,0.1089210823933503
278,0.25755178740287293,-0.00578978378991598,0.11128230906184607
279,0.24696090377544394,-0.013170655162377207,0.11107934340203766
280,0.10281235316247837,-0.02060880911244721,0.10964957629111906
281,-0.08583580777947938,-0.021295044863273604,0.10827865596456443
282,-0.20785828197542486,-0.015483745675317873,0.10933990535841806
283,-0.26388408053381657,-0.00903076567815469,0.1104732380805985
284,-0.30945998629196747,-0.004691996332492794,0.11062675226033925
285,-0.35700452978311986,-0.0017504662964192236,0.10964758673157218
286,-0.31671549519386066,0.004745736642027314,0.1042646811686706
287,-0.11651575010388507,0.0152860460715515,0.101646458188342
288,0.10211341343408943,0.02341493550087155,0.10630288183191725
289,0.2602362202286597,0.025191218850849528,0.11404874881090504
290,0.3657521209259802,0.021496943849346237,0.11856489421122929
291,0.4267845059716009,0.015623315718879927,0.11548683134730243
292,0.4670301066319062,0.01249148780238878,0.10959274860985746
293,0.5291357062556258,0.012301404179453891,0.1063012527470248
294,0.5069042162961617,0.0033689130738808514,0.10439414663452609
295,0.3152270184624828,-0.015347255402608933,0.10087443002234053
296,0.059870807382155763,-0.03199365125416613,0.10242708253747104
297,-0.18056648439499517,-0.03991108380524008,0.10900103100699773
298,-0.3809169683570509,-0.037898586761831575,0.11477899269973642
299,-0.5488647545898248,-0.02951612229047678,0.11687766603338698
300,-0.6841589721771012,-0.019493268165657253,0.11727601376587446
301,-0.7366085352986902,-0.007635102405191696,0.110089517992372
302,-0.596120800362619,0.009314893636369162,0.09693412436234249
303,-0.2847587091314742,0.026214056998276673,0.09149584261208563
304,-0.041774736041549854,0.03576323134426647,0.0979969959359694
305,0.06455220553834677,0.03775066559959922,0.10873489813500767
306,0.06676772809552067,0.03405371974089132,0.11579122304839735
