n,signal_example,mean,variance
307,0.01765955040636575,0.028078754583547503,0.11599879638204104
308,0.0013517737048507517,0.023906353512965706,0.11022695193431961
309,0.111359467919981,0.022548322911191087,0.10436231477130845
310,0.26258388115295156,0.01724015846335576,0.10694661061071718
311,0.2974303282278237,0.002311542049594402,0.11488041372233294
312,0.28011803265829127,-0.01751402208981961,0.12064237568847905
313,0.29572745813432055,-0.03280888022441557,0.12356876487158094
314,0.3422343498723551,-0.03843524479758198,0.1229937816466346
315,0.3355917401549575,-0.038027851018731705,0.11795736020986901
316,0.1814364525441533,-0.034683871249270776,0.11040861945616069
317,-0.017995604449805646,-0.030860986990889336,0.1079823831166873
318,-0.16412616529644622,-0.02827710976442542,0.11042907917632759
319,-0.26940535360751655,-0.021566737228764676,0.10930723560749282
320,-0.3744394288495317,-0.010374719970329554,0.1065725137177209
321,-0.47200973723705975,0.002198817124843923,0.1076852091599503
322,-0.47947127316533183,0.015777451158988497,0.10769687931038696
323,-0.3001793149890313,0.027805358060265774,0.10433572111240488
324,-0.04672259784245155,0.03489796167748052,0.10199395926920891
325,0.15238893148938443,0.036619915915226176,0.10462435678427952
326,0.27287551016849954,0.03474293519294134,0.10996100011591041
327,0.31824965732712873,0.028621214065327957,0.10963283529086258
328,0.3229442182267809,0.01672522417523957,0.10562845898409884
329,0.3676319775352962,0.003360571143741058,0.10171531886970804
330,0.4536378264040447,-0.009295494365857922,0.10043060765339176
331,0.4002542918764872,-0.020392456887821927,0.103190391158744
332,0.20444235223111248,-0.031364560890144125,0.10936492224356047
333,-0.010280083351176382,-0.04054234237206261,0.11512539183813322
334,-0.18360625026547908,-0.040485706119893855,0.1168645739512468
335,-0.3246157652622836,-0.02900412761368472,0.11337472081438939
336,-0.47264894259056267,-0.010926723528373821,0.10911968526966803
337,-0.5947636496521165,0.006048985269286059,0.10284093437370961
338,-0.5995054672300208,0.018217013558603275,0.09855290120854329
339,-0.4041504160874778,0.02608015453246122,0.10069512984305673
340,-0.12359565566269047,0.03045217286954911,0.10472452529324945
341,0.08748709309947905,0.0322304094756424,0.10851550380855639
342,0.19268311195612187,0.032078674198020886,0.11129528836891041
343,0.20329140800899462,0.028440122097422717,0.11285631277816904
344,0.17580388835094943,0.021949126983715227,0.11289665757282032
345,0.20536009360094315,0.015362144058466688,0.11103299218275799
346,0.3259679638518902,0.00702682279603394,0.11218688387161561
347,0.36201984818827954,-0.003947483948264041,0.11764599635155099
348,0.24621983929542157,-0.017200318361194084,0.12085350622552733
349,0.10645317864857752,-0.02981341832174284,0.12005029079038375
350,0.018921099146334528,-0.038324518833432325,0.11615840802267897
351,-0.039985129376369645,-0.04023717547686441,0.1102999282726546
352,-0.16054482547788954,-0.03466727168153107,0.1101996630123186
353,-0.32063200423587157,-0.028215379043979798,0.11231878411988278
354,-0.40288887777253607,-0.024572936141354872,0.1112971111457834
355,-0.3390500327921502,-0.017702632121271548,0.10777245249599869
356,-0.17566771817096244,-0.005685436663358855,0.10339139632758855
357,0.0017495726483787288,0.009577965242555109,0.10036047452759397
358,0.17687274519107954,0.02311824372210327,0.10080680055227917
359,0.31193067958715764,0.029330655256073306,0.10325513679996762
360,0.3713066889899496,0.030213406418605943,0.10540724349062927
361,0.4123681347992091,0.03150939726151778,0.10405674222312747
362,0.4840486007646186,0.03475296527545716,0.10359627558587635
363,0.5258390311535793,0.03280360146436654,0.10474146857243216
364,0.42580874547674225,0.02357952276577142,0.10400599404741608
365,0.19471540623345276,0.011401451534543573,0.10450991265370321
366,-0.04955473258225954,-0.0010152244533672338,0.10872107174646865
367,-0.2565033438512396,-0.010869961355076256,0.11495729495420053
368,-0.4371592852978966,-0.01727588110853623,0.12144933377967725
369,-0.595630855224803,-0.02286087547282455,0.1241415843888361
370,-0.7035892784494863,-0.02635743351595481,0.1206456293979071
371,-0.6836274176648844,-0.02269677822520139,0.11429063585387503
372,-0.4435243119713893,-0.014171917470615797,0.11093994436718385
373,-0.14428450883798158,-0.010092820412727233,0.11038797891802526
374,0.04099142973704465,-0.010561045111739836,0.1098400588430377
375,0.10048015823662673,-0.01083367285604288,0.10996448790063809
376,0.07555779001344069,-0.006891476958635047,0.11371082051686837
377,0.0309627855240021,0.0033219819772600666,0.1159111654377113
378,0.06732016595183413,0.013821560061758796,0.11392204370842768
379,0.2172959708521592,0.01916991918867541,0.11204363675296207
380,0.3040635707587217,0.019326414138555268,0.11046713710998732
381,0.27594525972089257,0.019181459495965166,0.10845121341818352
382,0.24432752408370417,0.01881389145326752,0.10968204290838825
383,0.26216576112724654,0.012663199545225785,0.11354554425431149
384,0.28564254109874887,2.8071925042072038e-05,0.11829565274407068
385,0.19998065765759884,-0.015128125513906729,0.11587161819549634
386,0.008459901192235178,-0.027101913604508043,0.10390144047825599
387,-0.14931968781771512,-0.0315345470405915,0.09528575329225729
388,-0.23453322173249572,-0.030769725692321656,0.09868107806185357
389,-0.29242618853455543,-0.030076292631139246,0.10925733294348769
390,-0.3595610435849521,-0.031338480691791855,0.11425901019831804
391,-0.3877616830504653,-0.02729388923337199,0.10987861588723805
392,-0.25863854082934157,-0.010730598279019348,0.10633792021883222
393,-0.023749043589663996,0.016271264571905614,0.10557580630355572
394,0.1722097084166089,0.04119521258437987,0.1024571867732127
395,0.30662223176836984,0.05027024720947741,0.10184795674356165
396,0.3862489859222754,0.04491322029431925,0.10321887005807533
397,0.4231506193363218,0.039091840071939506,0.09990435613704228
398,0.4687120779232506,0.03784977260891351,0.09520857700407362
399,0.5259384904289989,0.03134522956253841,0.0988573645652024
400,0.43466971419440464,0.013211792550688052,0.11024822771527047
401,0.20712908647544304,-0.009698236893429878,0.11913989602584228
402,-0.043224733205848784,-0.027470274244771335,0.11865634714989111
403,-0.26060693314129585,-0.03365466938442015,0.1162967818739574
404,-0.4384687855090919,-0.031232438577756816,0.11674590795700256
405,-0.5932934863630219,-0.027574705129502282,0.11666428526476107
406,-0.704211262578687,-0.02595424872818313,0.11183454465990542
407,-0.6921835613335923,-0.025345719013487745,0.10596166905637018
408,-0.4595088258006557,-0.017694745242385717,0.10486334620088385
409,-0.15688759961028093,-0.002989557224055094,0.11187066997175829
410,0.030260214193240837,0.009214772409494688,0.11736852562120306
411,0.09320183642440932,0.01447826356787974,0.11674339266789509
412,0.07071585125367498,0.01854578634295194,0.1130924350215134
413,0.025234924935177545,0.026849081105519413,0.10681561778091575
414,0.05620764435442044,0.0342093063187248,0.10057744675763786
415,0.2052179934926263,0.03277375112123181,0.09962998913126578
416,0.30178760309364755,0.01860687318826107,0.1064133719973079
417,0.2831785235221613,-9.262343189104766e-05,0.11399362934443535
418,0.25558518832922117,-0.012494625033207456,0.11671438560880111
419,0.27508317861211684,-0.01901175747415621,0.11542730177398142
420,0.30272532716278966,-0.0245036232426441,0.11390194441895364
421,0.22544010858892755,-0.02753990147340449,0.11181883427903383
422,0.03377812165109458,-0.02660034735749463,0.10953365149119752
423,-0.1330960666181049,-0.02369221110659141,0.1062353188556595
424,-0.2309310991022036,-0.017543478935986595,0.10520210479293274
425,-0.30040127852846527,-0.00804892387762105,0.11193549116913354
426,-0.37722200198980077,0.0009014470092351748,0.11630616371586468
427,-0.4194168199301966,0.008896067258922176,0.11136901203906391
428,-0.30835310386572606,0.018199689135000433,0.10664024418370716
429,-0.07079477479681483,0.027510489150474965,0.10861257463832295
430,0.13756291045108848,0.032579492441029076,0.10886070643360926
431,0.2801244485745151,0.030066304897915477,0.1049406753001789
432,0.36160211669842746,0.018461958778074283,0.10281747232259705
433,0.3941281211164383,0.005682833143563851,0.10331467770432484
434,0.4306478628355703,-0.0012545177899634585,0.10623566907160839
435,0.5021571647334381,-0.0074519419083027,0.11067054016707889
436,0.45386944227646525,-0.017718692921676615,0.11613429370314052
437,0.24895825212169823,-0.02688294966581159,0.12074815922608724
438,0.004488443154837082,-0.02578956848756185,0.12072380455439273
439,-0.21107142900815087,-0.018207991360325845,0.11603662462157682
440,-0.3858918770751024,-0.011620708979205205,0.10923256841880188
441,-0.5417641055431269,-0.006875569768921,0.10338946016568375
442,-0.6661516053481007,-0.003943862933774169,0.10085577776857858
