series,frequency_ratio,fitted_log_probability
backreaction,0.5275471698113208,2.3129401412299817
backreaction,0.5281446540880503,2.299663922688989
backreaction,0.5287421383647799,2.286387704147998
backreaction,0.5293396226415095,2.2731114856070054
backreaction,0.529937106918239,2.2598352670660127
backreaction,0.5305345911949686,2.2465590485250218
backreaction,0.5311320754716982,2.233282829984029
backreaction,0.5317295597484277,2.220006611443038
backreaction,0.5323270440251573,2.2067303929020454
backreaction,0.5329245283018867,2.1934541743610563
backreaction,0.5335220125786163,2.1801779558200636
backreaction,0.5341194968553459,2.1669017372790726
backreaction,0.5347169811320754,2.15362551873808
backreaction,0.535314465408805,2.140349300197089
backreaction,0.5359119496855346,2.1270730816560963
backreaction,0.5365094339622641,2.1137968631151036
backreaction,0.5371069182389937,2.1005206445741127
backreaction,0.5377044025157233,2.08724442603312
backreaction,0.5383018867924528,2.073968207492129
backreaction,0.5388993710691824,2.0606919889511364
backreaction,0.539496855345912,2.0474157704101454
backreaction,0.5400943396226415,2.0341395518691527
backreaction,0.5406918238993711,2.02086333332816
backreaction,0.5412893081761007,2.007587114787169
backreaction,0.5418867924528302,1.9943108962461764
backreaction,0.5424842767295598,1.9810346777051855
backreaction,0.5430817610062894,1.9677584591641928
backreaction,0.5436792452830189,1.9544822406232019
backreaction,0.5442767295597484,1.941206022082211
backreaction,0.5448742138364779,1.92792980354122
backreaction,0.5454716981132075,1.9146535850002273
backreaction,0.5460691823899371,1.9013773664592364
backreaction,0.5466666666666666,1.8881011479182437
backreaction,0.5472641509433962,1.874824929377251
backreaction,0.5478616352201258,1.86154871083626
backreaction,0.5484591194968553,1.8482724922952674
backreaction,0.5490566037735849,1.8349962737542764
backreaction,0.5496540880503145,1.8217200552132837
backreaction,0.550251572327044,1.8084438366722928
backreaction,0.5508490566037736,1.7951676181313
backreaction,0.5514465408805032,1.7818913995903074
backreaction,0.5520440251572327,1.7686151810493165
backreaction,0.5526415094339623,1.7553389625083238
backreaction,0.5532389937106919,1.7420627439673328
backreaction,0.5538364779874214,1.7287865254263401
backreaction,0.554433962264151,1.7155103068853492
backreaction,0.5550314465408805,1.7022340883443565
backreaction,0.5556289308176101,1.6889578698033638
backreaction,0.5562264150943397,1.675681651262373
backreaction,0.5568238993710691,1.6624054327213837
backreaction,0.5574213836477987,1.649129214180391
backreaction,0.5580188679245283,1.6358529956394001
backreaction,0.5586163522012578,1.6225767770984074
backreaction,0.5592138364779874,1.6093005585574147
backreaction,0.559811320754717,1.5960243400164238
backreaction,0.5604088050314465,1.582748121475431
backreaction,0.5610062893081761,1.5694719029344402
backreaction,0.5616037735849057,1.5561956843934475
backreaction,0.5622012578616352,1.5429194658524565
backreaction,0.5627987421383648,1.5296432473114638
backreaction,0.5633962264150943,1.5163670287704711
backreaction,0.5639937106918239,1.5030908102294802
backreaction,0.5645911949685535,1.4898145916884875
backreaction,0.565188679245283,1.4765383731474966
backreaction,0.5657861635220126,1.4632621546065039
backreaction,0.5663836477987422,1.449985936065513
backreaction,0.5669811320754717,1.4367097175245203
backreaction,0.5675786163522012,1.423433498983531
backreaction,0.5681761006289308,1.4101572804425384
backreaction,0.5687735849056603,1.3968810619015475
backreaction,0.5693710691823899,1.3836048433605548
backreaction,0.5699685534591195,1.370328624819562
backreaction,0.570566037735849,1.3570524062785712
backreaction,0.5711635220125786,1.3437761877375785
backreaction,0.5717610062893081,1.3304999691965875
backreaction,0.5723584905660377,1.3172237506555948
backreaction,0.5729559748427673,1.303947532114604
backreaction,0.5735534591194968,1.2906713135736112
backreaction,0.5741509433962264,1.2773950950326185
backreaction,0.574748427672956,1.2641188764916276
backreaction,0.5753459119496855,1.2508426579506349
backreaction,0.5759433962264151,1.237566439409644
backreaction,0.5765408805031447,1.2242902208686512
backreaction,0.5771383647798742,1.2110140023276603
backreaction,0.5777358490566038,1.1977377837866676
backreaction,0.5783333333333334,1.184461565245675
backreaction,0.5789308176100629,1.171185346704684
backreaction,0.5795283018867925,1.1579091281636913
backreaction,0.5801257861635221,1.1446329096227004
backreaction,0.5807232704402515,1.1313566910817112
backreaction,0.5813207547169811,1.1180804725407185
backreaction,0.5819182389937106,1.1048042539997258
backreaction,0.5825157232704402,1.091528035458735
backreaction,0.5831132075471698,1.0782518169177422
backreaction,0.5837106918238993,1.0649755983767513
backreaction,0.5843081761006289,1.0516993798357586
backreaction,0.5849056603773585,1.0384231612947659
backreaction,0.585503144654088,1.025146942753775
backreaction,0.5861006289308176,1.0118707242127822
backreaction,0.5866981132075472,0.9985945056717913
backreaction,0.5872955974842767,0.9853182871307986
